Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Robert Arboleda,ecECU,DF,32-333,20.7,2,0,0,13,9,1,0,19,17,0,0,0,68,52,26,66.7,Matches
Jonathan Calleri,arARG,FW,30-362,17.6,4,0,0,28,38,17,19,3,6,0,0,0,20,52,43,54.7,Matches
Igor Vinícius de Souza,brBRA,DF,27-171,17.6,5,1,1,15,26,1,70,14,25,0,1,1,97,5,12,29.4,Matches
Welington,brBRA,DF,23-213,16.9,5,0,0,21,20,0,60,20,20,0,1,0,54,27,23,54.0,Matches
Alan Franco,arARG,DF,27-344,15.5,5,1,0,13,4,1,0,6,12,0,0,1,88,34,23,59.6,Matches
Luciano,brBRA,"MF,FW",31-124,15.5,11,1,1,22,30,2,5,5,11,1,0,0,69,10,12,45.5,Matches
Alisson,brBRA,MF,31-086,15.0,4,0,0,22,27,0,13,13,16,0,0,0,84,7,6,53.8,Matches
Rafael Pires,brBRA,GK,35-088,15.0,1,0,0,0,0,0,0,0,0,0,0,0,9,1,0,100.0,Matches
Lucas Moura,brBRA,"FW,MF",32-037,14.5,3,0,0,17,34,0,25,12,7,0,0,0,70,22,20,52.4,Matches
Luiz Gustavo,brBRA,MF,37-058,14.7,3,0,0,24,17,0,7,23,12,0,0,0,58,9,8,52.9,Matches
Jandrei,brBRA,GK,31-202,11.0,0,0,0,0,7,0,0,0,0,0,0,0,5,3,0,100.0,Matches
Damián Bobadilla,pyPAR,MF,23-070,9.0,3,0,0,20,2,0,7,5,15,0,0,0,46,1,1,50.0,Matches
André Silva,brBRA,"FW,MF",27-108,10.2,1,0,0,20,9,4,11,5,0,0,0,0,29,17,34,33.3,Matches
Diego,brBRA,DF,25-060,9.9,2,0,0,16,2,0,5,12,8,0,0,0,39,35,13,72.9,Matches
Ferreira,brBRA,"FW,MF",26-263,9.4,4,0,0,10,29,1,43,4,12,1,0,0,45,3,5,37.5,Matches
Rodrigo Nestor,brBRA,"MF,FW",24-041,8.8,2,0,0,9,8,4,49,8,8,1,0,0,43,3,1,75.0,Matches
Nahuel Ferraresi,veVEN,DF,25-305,8.8,1,0,0,7,4,0,10,7,17,0,0,0,40,12,13,48.0,Matches
Wellington Rato,brBRA,"FW,MF",32-083,8.7,1,0,0,8,16,3,58,2,3,0,0,0,25,3,6,33.3,Matches
Michel Araujo,uyURU,"DF,FW",27-357,8.1,4,0,0,11,13,0,21,6,14,0,0,0,50,11,10,52.4,Matches
José Sabino,brBRA,DF,27-330,5.0,1,0,0,4,1,0,1,8,7,0,0,0,12,15,6,71.4,Matches
Patryck,brBRA,"DF,FW",21-245,4.3,1,0,0,6,4,1,13,5,5,0,0,0,14,3,6,33.3,Matches
Giuliano Galoppo,arARG,MF,25-093,4.1,2,0,0,7,6,0,6,5,4,0,0,0,17,10,5,66.7,Matches
Marcos Antônio,brBRA,MF,24-098,3.4,0,0,0,3,4,0,1,2,3,0,0,0,15,4,4,50.0,Matches
William Gomes,brBRA,"FW,MF",18-188,3.3,1,0,0,3,0,2,16,2,6,0,0,0,13,2,6,25.0,Matches
Juan Santos,brBRA,"FW,MF",22-197,2.9,0,0,0,6,2,2,0,2,3,0,0,0,8,3,11,21.4,Matches
Pablo Maia,brBRA,MF,22-253,2.9,0,0,0,6,4,0,0,0,2,0,0,0,13,1,3,25.0,Matches
Rafinha,brBRA,DF,39-012,2.6,2,0,0,6,3,0,5,2,1,0,0,0,12,0,0,,Matches
João Moreira,ptPOR,"DF,MF",20-121,1.9,0,0,0,3,3,0,2,3,2,0,0,0,4,1,0,100.0,Matches
Erick,brBRA,"MF,FW",26-284,3.9,1,0,0,5,7,0,21,2,4,0,1,0,17,1,3,25.0,Matches
Liziero,brBRA,MF,26-225,1.1,1,0,0,6,1,0,1,0,6,0,0,0,5,0,0,,Matches
Ruan,brBRA,DF,25-104,1.0,0,0,0,2,1,0,0,0,3,0,0,0,1,7,0,100.0,Matches
Santiago Longo,arARG,MF,26-160,0.8,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0.0,Matches
Rodrigo,brBRA,MF,20-187,0.7,0,0,0,1,2,0,3,1,2,0,0,0,3,0,0,,Matches
James Rodríguez,coCOL,MF,33-069,0.4,0,0,0,0,0,1,5,0,0,0,0,0,2,0,0,,Matches
Jamal Lewis,nirNIR,DF,26-238,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches
Henrique,brBRA,FW,17-315,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0,Matches
Squad Total,,,29.0,26.0,71,3,2,334,335,40,477,197,252,3,3,2,1078,354,302,54.0,
Opponent Total,,,28.4,26.0,75,7,2,354,315,18,424,176,258,2,3,1,1052,301,354,46.0,
