Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Léo Jardim,brBRA,GK,29-183,25.0,0,0,0,0,1,0,0,0,0,0,0,0,19,2,1,66.7,Matches
Pablo Vegetti,arARG,FW,35-340,22.1,4,0,0,27,55,17,11,1,9,2,0,0,28,109,120,47.6,Matches
Paulo Henrique,brBRA,DF,28-056,20.6,4,0,0,34,18,0,68,32,46,0,0,0,123,15,15,50.0,Matches
Léo Pelé,brBRA,DF,28-197,20.0,2,0,0,14,9,1,3,15,12,0,0,0,58,20,19,51.3,Matches
Maicon,brBRA,DF,36-005,19.9,4,0,0,11,7,1,10,22,13,0,0,0,64,59,27,68.6,Matches
Lucas Piton,brBRA,DF,23-346,19.4,4,0,0,19,10,0,127,24,26,0,0,0,76,21,20,51.2,Matches
David,brBRA,FW,28-338,16.5,7,1,1,22,17,9,14,8,15,0,0,0,84,17,16,51.5,Matches
Hugo Moura,brBRA,MF,26-260,13.4,5,1,0,31,11,0,13,9,29,0,0,0,66,11,7,61.1,Matches
Mateus Cocão,brBRA,MF,22-185,14.6,8,0,0,28,22,2,6,21,35,0,0,0,87,18,10,64.3,Matches
Adson,brBRA,FW,23-349,13.6,2,0,0,7,18,0,22,6,20,0,0,0,73,9,12,42.9,Matches
Juan Sforza,arARG,MF,22-218,11.1,3,0,0,15,13,0,5,15,13,0,0,0,41,17,9,65.4,Matches
João Victor,brBRA,DF,26-064,9.3,3,1,0,7,13,0,2,8,15,0,0,0,34,16,9,64.0,Matches
Pablo Galdames Millán,clCHI,MF,27-264,8.5,3,0,0,24,10,1,15,9,11,0,0,0,40,3,3,50.0,Matches
Dimitri Payet,frFRA,MF,37-174,7.8,0,0,0,8,13,2,59,4,7,0,0,0,30,2,1,66.7,Matches
Rossi,brBRA,"FW,MF",31-150,5.6,3,0,0,9,8,2,49,5,8,0,0,0,20,7,11,38.9,Matches
Victor Luis,brBRA,DF,31-088,4.4,3,1,0,10,10,0,19,6,9,0,0,0,17,8,7,53.3,Matches
Rayan Vitor,brBRA,"FW,MF",18-047,5.9,2,0,0,3,11,0,8,3,5,0,0,0,27,13,9,59.1,Matches
João Pedro,brBRA,MF,19-153,4.8,0,0,0,7,4,1,1,4,12,0,0,0,17,10,11,47.6,Matches
Zé Gabriel,brBRA,MF,25-242,5.1,3,0,0,13,6,0,1,5,11,0,0,0,33,11,7,61.1,Matches
José Luis Rodríguez Bebanz,uyURU,DF,27-189,3.6,0,0,0,3,0,0,22,3,9,0,0,0,14,6,5,54.5,Matches
Bruno Praxedes,brBRA,MF,22-224,2.9,2,0,0,5,5,0,6,2,4,0,0,0,16,3,3,50.0,Matches
Emerson Rodríguez,coCOL,FW,24-025,2.8,0,0,0,1,3,2,12,1,4,0,0,0,7,4,4,50.0,Matches
Guilherme Estrella,brBRA,MF,19-150,1.6,1,0,0,4,4,0,2,3,0,0,0,0,6,1,3,25.0,Matches
Robert Rojas,pyPAR,DF,28-142,1.9,0,0,0,2,0,0,1,1,3,0,0,0,4,6,5,54.5,Matches
Gary Medel,clCHI,DF,37-047,1.2,0,0,0,2,0,0,0,0,0,0,0,0,4,0,1,0.0,Matches
Leandrinho,brBRA,"DF,FW",19-186,2.5,0,0,0,2,7,0,9,1,4,0,0,0,9,3,2,60.0,Matches
Clayton,brBRA,FW,25-252,1.6,0,0,0,7,1,3,2,1,3,0,0,0,4,6,7,46.2,Matches
Philippe Coutinho,brBRA,MF,32-099,1.3,0,0,0,4,2,0,7,3,2,0,0,0,10,2,2,50.0,Matches
Jean Meneses,clCHI,"FW,MF",31-187,1.2,0,0,0,0,1,0,2,2,2,0,0,0,4,0,1,0.0,Matches
Gabriel Souza,brBRA,FW,19-258,1.0,1,0,0,2,3,0,1,1,2,0,0,0,4,2,5,28.6,Matches
Josef de Souza,brBRA,MF,35-221,0.8,1,0,0,2,1,0,0,1,1,0,0,0,3,2,1,66.7,Matches
Erick Marcus,brBRA,"FW,MF",20-202,1.9,1,0,0,2,6,0,3,2,4,0,0,0,17,2,4,33.3,Matches
Lyncon,brBRA,DF,19-135,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Sergio Antonio De Luiz Junior,brBRA,"FW,MF",29-166,0.5,1,0,0,2,4,1,3,0,0,0,0,0,1,0,3,0.0,Matches
Alex Teixeira,brBRA,FW,34-257,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
Bruno Lopes,brBRA,FW,17-056,0.1,1,0,0,3,0,0,0,0,1,0,0,0,0,1,1,50.0,Matches
Squad Total,,,28.1,25.0,68,4,1,330,294,42,503,218,335,2,0,0,1041,407,361,53.0,
Opponent Total,,,28.4,25.0,49,2,0,311,316,36,523,186,240,0,2,1,1104,361,405,47.1,
