Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Kaique Rocha,brBRA,DF,23-204,21.6,903,1028,87.8,17321,6680,298,329,90.6,526,569,92.4,73,112,65.2,1,1.3,0.7,-0.3,15,64,9,1,70,Matches
Erick,brBRA,"MF,DF",26-310,18.7,722,836,86.4,13294,3747,273,307,88.9,373,410,91.0,62,81,76.5,1,1.3,1.2,-0.3,11,76,6,1,77,Matches
Lucas Esquivel,arARG,DF,22-341,17.8,906,1144,79.2,16520,5437,360,408,88.2,447,530,84.3,85,162,52.5,3,2.4,2.9,+0.6,22,86,23,13,93,Matches
Fernandinho,brBRA,MF,39-138,15.2,720,901,79.9,13710,5196,285,322,88.5,334,380,87.9,93,170,54.7,3,2.1,2.7,+0.9,34,120,26,3,150,Matches
Thiago Heleno,brBRA,DF,36-002,14.5,639,743,86.0,14327,5596,163,180,90.6,359,377,95.2,112,171,65.5,0,0.2,0.2,-0.2,4,45,2,0,34,Matches
Leonardo Linck,brBRA,GK,23-200,13.6,262,358,73.2,8023,5911,43,43,100.0,121,122,99.2,98,187,52.4,0,0.5,0.3,-0.5,2,6,0,0,1,Matches
Christian,brBRA,"MF,FW",23-275,13.3,348,434,80.2,5410,1452,181,206,87.9,135,158,85.4,24,42,57.1,0,1.8,0.9,-1.8,13,32,9,1,52,Matches
Leonardo Godoy,arARG,DF,29-144,11.9,397,550,72.2,7030,2811,157,178,88.2,200,272,73.5,32,77,41.6,1,0.6,0.7,+0.4,5,41,11,5,47,Matches
Bruno Zapelli,arARG,"MF,FW",22-125,11.9,422,566,74.6,6727,1809,226,263,85.9,135,181,74.6,43,84,51.2,3,3.5,3.4,-0.5,36,43,24,6,61,Matches
Julimar,brBRA,"FW,MF",23-238,13.3,325,425,76.5,4780,890,187,215,87.0,115,146,78.8,13,24,54.2,1,1.4,1.3,-0.4,15,17,10,4,31,Matches
Mateo Gamarra,pyPAR,DF,23-335,11.6,562,690,81.4,10901,4783,187,210,89.0,303,338,89.6,66,126,52.4,0,0.0,0.2,0.0,1,49,3,0,49,Matches
Tomás Cuello,arARG,"FW,MF",24-198,10.5,304,430,70.7,5151,1433,148,173,85.5,129,171,75.4,23,59,39.0,3,2.4,2.4,+0.6,25,22,16,7,38,Matches
Agustín Canobbio,uyURU,"FW,MF",25-354,9.7,230,305,75.4,3307,908,135,155,87.1,78,101,77.2,7,21,33.3,1,1.7,1.2,-0.7,17,25,18,2,44,Matches
Nikão,brBRA,"FW,MF",32-052,9.7,369,455,81.1,7055,1614,161,178,90.4,146,172,84.9,59,89,66.3,1,1.4,1.7,-0.4,24,42,16,4,59,Matches
Pablo,brBRA,"FW,MF",32-088,10.1,221,295,74.9,3703,640,104,141,73.8,83,99,83.8,25,33,75.8,1,1.0,1.1,0.0,10,10,7,1,31,Matches
Gabriel,brBRA,MF,32-071,9.4,585,653,89.6,10205,2731,265,288,92.0,260,281,92.5,49,57,86.0,0,0.2,0.5,-0.2,7,73,7,1,86,Matches
Gonzalo Mastriani,uyURU,FW,31-144,8.7,105,159,66.0,1462,313,61,84,72.6,36,55,65.5,2,2,100.0,0,0.9,0.8,-0.9,9,9,4,0,16,Matches
Bento,brBRA,GK,25-101,7.0,121,171,70.8,4251,3329,20,20,100.0,44,48,91.7,57,101,56.4,0,0.0,0.0,0.0,0,4,0,0,0,Matches
Lucas Di Yorio,arARG,FW,27-302,6.9,86,132,65.2,1077,94,57,76,75.0,21,35,60.0,1,3,33.3,0,0.2,0.2,-0.2,4,2,2,0,7,Matches
Fernando,brBRA,DF,25-005,5.8,275,334,82.3,4627,1566,121,129,93.8,136,157,86.6,12,35,34.3,1,0.5,0.6,+0.5,6,27,6,5,29,Matches
Mádson,brBRA,DF,32-250,7.6,250,332,75.3,4472,1753,102,119,85.7,113,142,79.6,29,55,52.7,1,1.4,1.4,-0.4,14,14,9,6,20,Matches
João Machado Cruz,brBRA,MF,18-130,4.3,161,216,74.5,2837,659,69,84,82.1,70,83,84.3,16,34,47.1,1,0.6,0.5,+0.4,9,14,6,2,22,Matches
Mycael,brBRA,GK,20-191,3.4,61,82,74.4,1263,889,17,17,100.0,32,32,100.0,9,30,30.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Filipinho,brBRA,MF,22-337,1.9,52,61,85.2,785,179,31,35,88.6,19,22,86.4,2,4,50.0,0,0.0,0.0,0.0,0,3,0,0,4,Matches
Emersonn,brBRA,"FW,MF",20-065,1.8,17,34,50.0,218,54,12,12,100.0,5,11,45.5,0,5,0.0,0,0.1,0.1,-0.1,3,1,1,0,3,Matches
José Vitor Silva Neves,brBRA,"MF,FW",24-140,2.0,79,103,76.7,1208,313,43,50,86.0,30,41,73.2,4,6,66.7,0,0.0,0.2,0.0,0,12,1,0,12,Matches
Alex Santana,brBRA,"MF,FW",29-129,1.1,45,50,90.0,619,131,32,33,97.0,13,13,100.0,0,2,0.0,0,0.0,0.1,0.0,0,2,0,0,2,Matches
Bruno Praxedes,brBRA,"MF,FW",22-224,0.3,17,23,73.9,307,135,7,11,63.6,7,9,77.8,3,3,100.0,0,0.3,0.4,-0.3,4,0,1,0,4,Matches
Kayke Santos,brBRA,FW,16-146,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,27.3,24.0,9184,11510,79.8,170590,61053,3745,4266,87.8,4270,4955,86.2,999,1775,56.3,22,25.6,25.4,-3.6,290,839,217,62,1042,
Opponent Total,,,28.0,24.0,8457,10696,79.1,156905,59237,3424,3942,86.9,3865,4471,86.4,976,1723,56.6,17,19.3,16.7,-2.3,226,692,154,40,877,
