Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Adriano Martins,brBRA,DF,27-171,22.6,778,934,83.3,17499,7762,184,207,88.9,448,491,91.2,141,212,66.5,0,0.1,0.3,-0.1,3,90,3,1,70,Matches
Guilherme Romão,brBRA,DF,26-348,22.5,759,1069,71.0,12582,5370,381,435,87.6,292,396,73.7,67,186,36.0,3,2.6,2.4,+0.4,23,98,16,11,103,Matches
Luiz Fernando,brBRA,"FW,MF",27-339,21.9,427,581,73.5,6596,1795,255,306,83.3,119,160,74.4,38,56,67.9,0,1.0,1.5,-1.0,21,40,24,5,69,Matches
Ronaldo,brBRA,GK,28-028,22.0,400,592,67.6,12919,9908,61,62,98.4,161,165,97.6,172,359,47.9,1,0.3,0.0,+0.7,2,12,1,0,0,Matches
Shaylon,brBRA,"FW,MF",27-145,19.2,645,870,74.1,11265,3489,295,340,86.8,259,329,78.7,74,148,50.0,1,4.1,3.8,-3.1,50,79,26,6,102,Matches
Gabriel Baralhas,brBRA,MF,25-345,16.6,508,622,81.7,9298,2846,201,240,83.8,233,259,90.0,56,78,71.8,1,1.4,0.9,-0.4,20,60,12,3,73,Matches
Rhaldney,brBRA,MF,25-304,16.4,701,791,88.6,12368,3071,296,334,88.6,310,338,91.7,69,80,86.3,1,0.6,0.9,+0.4,13,91,8,1,90,Matches
Maguinho,brBRA,DF,31-257,15.1,553,749,73.8,9178,3548,268,308,87.0,227,303,74.9,43,103,41.7,1,1.1,1.4,-0.1,22,41,17,10,45,Matches
Alix Vinicius,brBRA,DF,24-318,12.7,417,485,86.0,9629,3599,94,107,87.9,233,260,89.6,86,107,80.4,0,0.6,0.9,-0.6,7,46,4,0,43,Matches
Emiliano Rodríguez,uyURU,FW,21-065,12.2,141,224,62.9,1927,358,85,127,66.9,48,66,72.7,3,6,50.0,0,0.5,0.6,-0.5,11,12,5,1,13,Matches
Lucas Kal,brBRA,"MF,DF",28-187,12.8,462,571,80.9,9641,3211,139,169,82.2,239,267,89.5,75,116,64.7,1,0.5,0.5,+0.5,1,69,4,1,64,Matches
Alejo Cruz,uyURU,"MF,FW",24-018,13.2,408,577,70.7,6679,2631,220,255,86.3,130,176,73.9,44,100,44.0,1,2.1,2.8,-1.1,38,40,17,8,62,Matches
Luiz Felipe,brBRA,DF,31-010,9.1,254,310,81.9,5083,1519,73,84,86.9,145,164,88.4,31,53,58.5,0,0.0,0.1,0.0,0,20,0,0,14,Matches
Bruno Tubarão,brBRA,DF,29-198,8.1,307,411,74.7,5181,2060,142,159,89.3,134,163,82.2,26,63,41.3,0,0.5,0.5,-0.5,8,32,9,8,40,Matches
Budiga Roni,brBRA,"MF,DF",25-157,7.9,268,335,80.0,4968,1336,110,129,85.3,128,151,84.8,26,38,68.4,0,0.1,0.2,-0.1,2,34,3,0,26,Matches
