Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Paulinho,brBRA,"FW,MF",24-066,18.9,618,716,86.3,8855,1821,369,402,91.8,187,212,88.2,35,44,79.5,1,1.3,1.6,-0.3,24,50,14,3,69,Matches
Gustavo Scarpa,brBRA,"DF,MF",30-258,18.6,906,1196,75.8,18576,5169,373,409,91.2,357,442,80.8,165,294,56.1,4,3.4,4.4,+0.6,37,69,40,18,112,Matches
Rodrigo Battaglia,arARG,"DF,MF",33-069,18.4,1003,1121,89.5,17707,5375,400,433,92.4,521,555,93.9,69,108,63.9,0,0.1,0.4,-0.1,6,62,4,1,67,Matches
Renzo Saravia,arARG,DF,31-095,15.7,996,1170,85.1,16452,6139,495,524,94.5,410,458,89.5,71,136,52.2,0,0.9,1.2,-0.9,18,118,12,9,120,Matches
Bruno Fuchs,brBRA,DF,25-171,15.2,929,1045,88.9,18475,8003,319,341,93.5,466,501,93.0,132,183,72.1,1,1.3,1.1,-0.3,8,110,12,3,102,Matches
Hulk,brBRA,FW,38-056,14.0,312,408,76.5,4939,940,162,204,79.4,107,124,86.3,25,43,58.1,3,1.2,1.5,+1.8,16,23,15,0,40,Matches
Otávio,brBRA,MF,30-138,13.9,748,829,90.2,13160,3287,314,334,94.0,352,380,92.6,68,86,79.1,0,0.1,0.5,-0.1,4,76,3,1,64,Matches
Éverson,brBRA,GK,34-059,14.0,324,394,82.2,8235,5544,70,71,98.6,161,163,98.8,93,160,58.1,0,0.0,0.0,0.0,0,3,0,0,1,Matches
Alan Franco,ecECU,MF,26-029,13.0,486,565,86.0,7163,1651,277,307,90.2,179,205,87.3,18,27,66.7,0,1.5,1.6,-1.5,9,37,7,1,42,Matches
Guilherme Arana,brBRA,DF,27-158,12.1,812,963,84.3,13523,3939,417,458,91.0,334,379,88.1,54,87,62.1,1,0.9,1.2,+0.1,18,65,19,7,82,Matches
