Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Marcos Felipe,brBRA,GK,28-159,26.0,852,1004,84.9,19947,12899,203,204,99.5,438,449,97.6,185,322,57.5,0,0.0,0.0,0.0,0,5,0,0,2,Matches
Jean Lucas,brBRA,MF,26-089,23.4,784,921,85.1,12651,2536,400,432,92.6,288,329,87.5,64,86,74.4,5,2.4,2.5,+2.6,18,76,17,2,87,Matches
Gabriel,brBRA,DF,23-136,24.0,1355,1539,88.0,25195,9033,497,528,94.1,749,813,92.1,97,163,59.5,0,0.0,0.2,0.0,1,76,2,0,75,Matches
Caio Alexandre,brBRA,MF,25-208,22.3,1578,1737,90.8,26566,7016,743,782,95.0,681,733,92.9,117,162,72.2,0,1.8,1.7,-1.8,22,188,17,5,168,Matches
Cauly Oliveira Souza,brBRA,"MF,FW",29-004,21.3,786,980,80.2,12079,2937,420,474,88.6,268,327,82.0,58,100,58.0,4,3.2,3.3,+0.8,46,101,16,3,101,Matches
Luciano Juba,brBRA,DF,25-021,22.9,1253,1514,82.8,21432,7721,566,610,92.8,570,655,87.0,100,199,50.3,1,2.1,2.4,-1.1,33,78,30,15,88,Matches
Everton Ribeiro,brBRA,MF,35-162,20.2,1107,1307,84.7,17428,5672,578,644,89.8,418,478,87.4,73,103,70.9,5,3.1,3.5,+1.9,37,163,43,7,219,Matches
Thaciano,brBRA,FW,29-130,19.2,363,435,83.4,5335,929,217,246,88.2,113,130,86.9,21,29,72.4,2,2.0,1.2,0.0,17,25,8,1,35,Matches
Everaldo Stum,brBRA,FW,33-076,17.7,262,376,69.7,3412,593,176,219,80.4,60,95,63.2,12,21,57.1,2,1.4,1.1,+0.6,15,10,10,2,28,Matches
Kanu,brBRA,DF,27-196,20.0,1186,1256,94.4,21362,8383,445,465,95.7,633,660,95.9,91,105,86.7,0,0.0,0.2,0.0,0,33,0,0,50,Matches
Santiago Arias,coCOL,DF,32-250,14.2,690,829,83.2,10621,4183,371,397,93.5,267,323,82.7,36,59,61.0,0,2.4,2.1,-2.4,19,45,32,14,74,Matches
Gilberto,brBRA,DF,31-196,10.3,626,739,84.7,9291,2345,351,377,93.1,231,263,87.8,30,57,52.6,0,0.8,1.1,-0.8,11,35,13,4,50,Matches
Víctor Cuesta,arARG,DF,35-305,5.1,274,303,90.4,4497,1631,116,122,95.1,146,158,92.4,10,20,50.0,0,0.0,0.1,0.0,0,11,0,0,14,Matches
Ademir Santos,brBRA,"FW,MF",29-216,6.0,170,224,75.9,2597,509,93,109,85.3,54,76,71.1,13,18,72.2,1,1.3,0.8,-0.3,6,11,4,2,14,Matches
Rezende,brBRA,"MF,DF",29-261,5.9,265,283,93.6,4338,1631,112,120,93.3,138,143,96.5,9,10,90.0,0,0.0,0.1,0.0,1,13,0,0,20,Matches
Biel,brBRA,"FW,MF",23-171,7.7,198,259,76.4,2715,757,121,138,87.7,61,75,81.3,8,17,47.1,4,3.0,2.1,+1.0,17,9,13,0,31,Matches
Carlos de Pena,uyURU,MF,32-192,6.0,343,458,74.9,6736,2113,138,161,85.7,134,175,76.6,58,98,59.2,3,2.0,1.8,+1.0,16,36,9,2,52,Matches
Iago,brBRA,"DF,MF",27-180,4.1,234,261,89.7,3746,1289,115,124,92.7,99,108,91.7,11,15,73.3,0,0.9,0.5,-0.9,3,31,3,1,19,Matches
Oscar Estupiñan,coCOL,"FW,MF",27-265,2.8,38,47,80.9,434,65,25,29,86.2,9,13,69.2,0,0,,1,0.1,0.1,+0.9,3,1,4,0,6,Matches
Luciano Rodríguez,uyURU,FW,21-065,1.9,30,44,68.2,390,123,17,24,70.8,10,16,62.5,1,1,100.0,0,0.1,0.3,-0.1,2,2,3,0,7,Matches
Cicinho,bgBUL,"DF,FW",35-268,0.9,95,107,88.8,1458,538,59,63,93.7,32,35,91.4,4,5,80.0,0,0.1,0.1,-0.1,2,7,1,1,8,Matches
David Duarte,brBRA,DF,29-239,0.8,41,46,89.1,796,344,10,13,76.9,26,26,100.0,4,6,66.7,0,0.0,0.0,0.0,0,1,0,0,2,Matches
Rafael Ratão,brBRA,"FW,MF",28-294,2.4,77,98,78.6,1057,206,46,54,85.2,22,27,81.5,4,8,50.0,2,0.5,0.3,+1.5,3,4,1,1,6,Matches
Yago,brBRA,MF,29-229,0.3,16,20,80.0,251,82,8,8,100.0,8,9,88.9,0,0,,0,0.0,0.0,0.0,1,0,0,0,2,Matches
Vitor Hugo,brBRA,DF,33-122,0.2,10,11,90.9,161,103,5,6,83.3,4,4,100.0,1,1,100.0,0,0.0,0.1,0.0,0,0,0,0,0,Matches
Tiago,brBRA,FW,19-164,0.1,3,4,75.0,52,16,2,3,66.7,1,1,100.0,0,0,,0,0.4,0.4,-0.4,1,0,1,1,0,Matches
Ruan Pablo,brBRA,MF,16-058,0.1,1,2,50.0,11,0,1,1,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,28.6,26.0,12637,14804,85.4,214558,73654,5835,6353,91.8,5460,6122,89.2,1007,1605,62.7,30,27.7,26.0,+2.3,274,961,227,61,1158,
Opponent Total,,,28.2,26.0,9376,11587,80.9,165208,56726,4200,4658,90.2,3931,4504,87.3,959,1734,55.3,21,21.0,18.6,0.0,237,784,142,47,908,
