Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Bastos,aoANG,DF,33-176,22.9,1150,1267,90.8,21680,7765,396,418,94.7,635,669,94.9,104,155,67.1,0,0.1,0.3,-0.1,4,73,2,0,77,Matches
John,brBRA,GK,28-219,23.0,634,811,78.2,16602,11525,132,133,99.2,330,330,100.0,169,343,49.3,0,0.0,0.0,0.0,0,11,0,0,0,Matches
Luiz Henrique,brBRA,"FW,MF",23-261,18.4,350,467,74.9,5342,1049,190,226,84.1,130,155,83.9,18,30,60.0,3,2.6,2.1,+0.4,23,26,15,2,41,Matches
Marlon Freitas,brBRA,MF,29-176,18.5,1055,1206,87.5,21065,6215,352,394,89.3,523,562,93.1,160,199,80.4,4,2.5,2.2,+1.5,27,143,28,2,170,Matches
Lucas Halter,brBRA,DF,24-140,14.8,768,845,90.9,15276,6190,221,238,92.9,450,474,94.9,91,122,74.6,0,0.1,0.2,-0.1,4,42,1,0,40,Matches
Júnior Santos,brBRA,FW,29-344,14.6,195,273,71.4,2770,652,122,154,79.2,56,80,70.0,9,13,69.2,1,1.4,1.5,-0.4,17,16,12,2,28,Matches
Gregore,brBRA,MF,30-201,14.1,784,872,89.9,13878,4734,324,353,91.8,375,395,94.9,67,88,76.1,1,0.2,0.3,+0.8,8,77,4,2,88,Matches
Cuiabano,brBRA,DF,21-216,13.4,389,589,66.0,6125,2281,212,249,85.1,148,235,63.0,21,70,30.0,1,0.5,0.5,+0.5,6,25,10,4,29,Matches
Tchê Tchê,brBRA,"MF,FW",32-020,14.7,524,604,86.8,9634,2865,222,239,92.9,220,244,90.2,66,92,71.7,0,2.6,1.2,-2.6,14,68,7,4,68,Matches
Damián Suárez,uyURU,DF,36-145,13.8,491,658,74.6,8563,3739,243,273,89.0,191,250,76.4,52,106,49.1,1,1.6,1.1,-0.6,18,42,15,10,37,Matches
Alexander Barboza,arARG,DF,29-187,12.6,544,661,82.3,10425,3867,181,206,87.9,303,341,88.9,51,97,52.6,1,0.6,0.4,+0.4,5,34,2,0,47,Matches
