Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Rodrigo Garro,arARG,"MF,FW",26-259,22.7,854,1237,69.0,16238,6105,352,419,84.0,345,441,78.2,127,280,45.4,3,4.6,6.4,-1.6,66,131,46,10,165,Matches
Raniele,brBRA,"MF,DF",27-263,19.4,488,648,75.3,8242,2682,217,267,81.3,228,278,82.0,29,55,52.7,0,0.6,0.6,-0.6,16,45,2,0,52,Matches
Hugo,brBRA,DF,27-021,19.3,700,885,79.1,10918,4962,369,421,87.6,283,357,79.3,37,71,52.1,4,1.5,0.3,+2.5,17,63,4,1,70,Matches
Cacá,brBRA,DF,25-147,19.8,774,883,87.7,15897,4766,231,250,92.4,405,439,92.3,122,162,75.3,1,0.2,0.2,+0.8,5,33,2,1,39,Matches
Wesley,brBRA,FW,19-198,16.0,298,401,74.3,5016,1306,153,184,83.2,109,135,80.7,28,50,56.0,1,2.4,2.1,-1.4,29,25,24,6,45,Matches
Félix Torres Caicedo,ecECU,DF,27-252,15.5,656,766,85.6,12520,4430,217,248,87.5,363,404,89.9,66,92,71.7,0,0.8,0.6,-0.8,5,44,1,0,52,Matches
Yuri Alberto,brBRA,FW,23-185,15.7,193,266,72.6,2473,429,113,149,75.8,50,56,89.3,8,11,72.7,3,0.9,0.8,+2.1,14,12,8,0,19,Matches
Matheuzinho,brBRA,DF,24-011,15.9,627,777,80.7,10735,3722,290,315,92.1,276,321,86.0,48,102,47.1,0,0.9,1.1,-0.9,14,49,19,9,60,Matches
Ángel Romero,pyPAR,FW,32-077,12.1,292,397,73.6,4380,1292,163,188,86.7,88,112,78.6,24,40,60.0,0,1.1,1.7,-1.1,14,36,14,4,43,Matches
Breno,brBRA,MF,19-212,11.6,441,520,84.8,7922,2569,201,224,89.7,161,182,88.5,61,77,79.2,0,0.4,0.9,-0.4,10,64,4,1,69,Matches
Igor Coronado,brBRA,"MF,FW",32-032,12.4,479,663,72.2,8709,3060,216,246,87.8,178,234,76.1,67,125,53.6,1,2.7,3.3,-1.7,36,77,29,9,95,Matches
Hugo Souza,brBRA,GK,25-232,10.0,181,254,71.3,4569,3156,46,46,100.0,85,87,97.7,47,115,40.9,0,0.0,0.0,0.0,0,3,0,0,1,Matches
André Ramalho,brBRA,DF,32-216,9.0,400,462,86.6,8191,2999,111,122,91.0,236,256,92.2,50,78,64.1,0,0.0,0.2,0.0,1,33,1,0,35,Matches
Gustavo Henrique,brBRA,DF,31-179,8.2,307,351,87.5,6118,1785,90,96,93.8,188,203,92.6,28,51,54.9,0,0.2,0.0,-0.2,3,10,1,0,13,Matches
Fagner,brBRA,"DF,MF",35-100,7.7,297,384,77.3,5415,2389,118,134,88.1,144,168,85.7,29,61,47.5,1,1.6,1.4,-0.6,14,20,16,10,33,Matches
Matheus Donelli,brBRA,GK,22-125,7.0,147,198,74.2,3523,2324,35,35,100.0,81,83,97.6,30,79,38.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Carlos Miguel,brBRA,GK,25-346,6.0,147,185,79.5,4342,3127,20,21,95.2,76,77,98.7,50,86,58.1,0,0.1,0.0,-0.1,1,3,1,0,0,Matches
