Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Marcelo Hermes,brBRA,"DF,MF",29-231,22.6,634,935,67.8,11138,5166,297,349,85.1,259,346,74.9,67,175,38.3,4,1.4,2.4,+2.6,37,51,22,8,84,Matches
Gustavo,brBRA,GK,31-193,21.7,425,594,71.5,12650,9076,63,63,100.0,169,171,98.8,181,344,52.6,0,0.0,0.0,0.0,1,10,0,0,0,Matches
Rodrigo Fagundes,brBRA,DF,37-193,20.0,782,955,81.9,16841,7015,230,265,86.8,408,452,90.3,137,210,65.2,1,0.9,0.7,+0.1,7,110,9,2,76,Matches
Yannick Bolasie,cdCOD,FW,35-118,17.4,227,341,66.6,3334,855,125,161,77.6,67,98,68.4,16,29,55.2,3,0.9,1.1,+2.1,13,20,8,2,33,Matches
Barreto,brBRA,MF,28-284,16.4,498,584,85.3,7801,2534,265,286,92.7,172,199,86.4,37,47,78.7,1,0.5,1.0,+0.5,10,55,11,0,63,Matches
Claudinho,brBRA,DF,23-361,16.7,670,846,79.2,11350,4251,317,362,87.6,283,337,84.0,54,110,49.1,3,3.0,1.8,0.0,32,50,16,7,73,Matches
Newton,brBRA,MF,24-191,15.7,473,607,77.9,8512,2291,213,252,84.5,186,227,81.9,58,94,61.7,1,0.8,0.8,+0.2,13,52,5,4,50,Matches
Arthur,brBRA,FW,32-096,13.8,159,227,70.0,2165,416,97,139,69.8,46,59,78.0,7,8,87.5,0,1.5,0.5,-1.5,15,9,5,0,23,Matches
Miguel Trauco,pePER,DF,32-025,12.4,472,661,71.4,9067,4717,184,218,84.4,221,273,81.0,61,143,42.7,0,0.5,0.9,-0.5,9,58,12,2,69,Matches
Matheusinho,brBRA,"MF,FW",26-221,11.6,321,437,73.5,5646,1919,146,172,84.9,112,152,73.7,43,71,60.6,2,1.6,3.0,+0.4,18,44,23,9,60,Matches
Higor Meritão,brBRA,MF,30-088,10.8,426,475,89.7,6868,2338,213,241,88.4,175,186,94.1,26,29,89.7,0,0.1,0.3,-0.1,2,45,3,1,50,Matches
Fellipe Mateus,brBRA,"MF,FW",33-220,12.9,378,476,79.4,5970,1542,191,222,86.0,128,162,79.0,32,48,66.7,0,0.8,1.0,-0.8,16,37,5,2,50,Matches
Tobias Figueiredo,ptPOR,DF,30-230,11.1,407,476,85.5,8677,3071,107,117,91.5,228,254,89.8,66,94,70.2,0,0.0,0.1,0.0,1,24,0,0,31,Matches
Wilker Ángel,veVEN,DF,31-185,9.8,245,310,79.0,4952,1859,75,88,85.2,135,155,87.1,34,64,53.1,0,0.0,0.0,0.0,2,15,0,0,15,Matches
Marquinhos Gabriel,brBRA,MF,34-060,9.4,296,369,80.2,5031,1295,135,158,85.4,118,135,87.4,31,47,66.0,0,1.8,1.6,-1.8,19,28,12,2,40,Matches
Éder,itITA,FW,37-309,8.5,164,221,74.2,2591,614,85,111,76.6,62,76,81.6,11,14,78.6,0,1.3,0.8,-1.3,12,18,8,5,22,Matches
Walisson Maia,brBRA,DF,33-029,9.5,287,367,78.2,6162,2480,79,85,92.9,162,180,90.0,45,93,48.4,1,0.7,0.1,+0.3,3,14,0,0,12,Matches
Ronald,brBRA,MF,27-093,9.4,316,382,82.7,5390,1322,157,173,90.8,120,141,85.1,31,44,70.5,2,1.2,1.6,+0.8,14,22,2,2,26,Matches
Allano,brBRA,"FW,MF",29-148,8.0,229,283,80.9,3609,918,119,147,81.0,83,95,87.4,16,21,76.2,1,1.6,1.9,-0.6,14,16,13,4,35,Matches
