Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Matheus Pereira,ptPOR,"FW,MF",28-137,23.1,897,1183,75.8,13674,4572,529,586,90.3,259,339,76.4,71,177,40.1,5,3.9,3.9,+1.1,56,118,51,5,153,Matches
William,brBRA,DF,29-169,22.4,945,1261,74.9,16350,5575,469,546,85.9,341,439,77.7,109,195,55.9,5,3.2,2.2,+1.8,30,90,29,9,97,Matches
João Marcelo,brBRA,DF,24-098,22.0,1140,1250,91.2,22039,8414,353,382,92.4,667,701,95.1,108,136,79.4,2,0.5,0.7,+1.5,8,77,2,0,102,Matches
Lucas Romero,arARG,MF,30-154,20.0,1043,1189,87.7,18086,5489,461,506,91.1,461,504,91.5,95,128,74.2,2,0.6,0.8,+1.4,20,99,8,1,106,Matches
Zé Ivaldo,brBRA,DF,27-211,21.5,897,1140,78.7,18995,7761,278,309,90.0,479,530,90.4,137,257,53.3,0,0.2,0.6,-0.2,2,83,4,3,72,Matches
Lucas Silva,brBRA,MF,31-216,15.0,591,687,86.0,9856,1939,293,316,92.7,242,272,89.0,49,76,64.5,0,0.6,0.6,-0.6,16,58,5,1,57,Matches
Marlon,brBRA,DF,27-122,15.9,751,958,78.4,13965,4776,336,377,89.1,311,367,84.7,94,175,53.7,0,0.9,1.3,-0.9,15,63,15,6,77,Matches
Anderson,brBRA,GK,26-198,15.0,331,390,84.9,7614,4577,67,68,98.5,194,196,99.0,66,122,54.1,0,0.0,0.0,0.0,0,4,0,0,0,Matches
Arthur,brBRA,FW,26-078,14.1,352,449,78.4,5162,900,218,246,88.6,110,130,84.6,17,30,56.7,1,0.8,1.5,+0.2,10,13,16,5,35,Matches
Álvaro Barreal,arARG,"MF,FW",24-033,11.9,432,573,75.4,7225,2120,236,264,89.4,142,180,78.9,44,85,51.8,3,1.4,1.4,+1.6,21,42,16,10,48,Matches
Ramiro Benetti,brBRA,MF,31-120,11.0,422,532,79.3,6074,1621,227,272,83.5,163,187,87.2,15,31,48.4,0,0.6,0.7,-0.6,4,40,6,1,33,Matches
Gabriel Veron,brBRA,"FW,MF",22-016,10.0,164,218,75.2,2081,472,103,117,88.0,50,68,73.5,1,9,11.1,1,0.6,0.5,+0.4,12,9,7,0,19,Matches
Cássio,brBRA,GK,37-105,11.0,240,288,83.3,5930,3341,49,49,100.0,117,118,99.2,72,118,61.0,0,0.0,0.0,0.0,0,3,0,0,1,Matches
Kaiki,brBRA,DF,21-195,9.4,393,501,78.4,5566,1762,235,272,86.4,132,162,81.5,12,32,37.5,0,0.8,0.4,-0.8,7,27,5,3,31,Matches
Matheus Henrique,brBRA,"MF,FW",26-275,8.9,292,348,83.9,4734,1265,145,157,92.4,112,124,90.3,23,40,57.5,0,0.2,0.3,-0.2,10,31,6,3,36,Matches
Rafael Silva,brBRA,FW,32-168,5.9,83,98,84.7,953,183,59,62,95.2,16,19,84.2,2,2,100.0,0,0.1,0.1,-0.1,4,2,1,0,10,Matches
Kaio Jorge,brBRA,FW,22-239,7.0,87,114,76.3,1134,115,57,69,82.6,22,28,78.6,3,4,75.0,1,0.6,0.2,+0.4,7,3,2,0,7,Matches
Lucas Villalba,arARG,DF,30-031,6.7,331,392,84.4,6668,2480,102,112,91.1,193,215,89.8,35,58,60.3,0,0.0,0.1,0.0,1,19,1,1,20,Matches
Lautaro Díaz,arARG,FW,26-121,4.5,61,99,61.6,760,239,36,54,66.7,18,28,64.3,2,4,50.0,0,0.3,0.4,-0.3,7,6,5,0,9,Matches
Neris,brBRA,DF,32-094,3.4,132,151,87.4,2802,1158,41,45,91.1,69,75,92.0,22,28,78.6,0,0.0,0.0,0.0,0,6,0,0,6,Matches
Walace,brBRA,MF,29-168,3.2,174,189,92.1,3043,764,82,89,92.1,68,71,95.8,19,21,90.5,0,0.0,0.1,0.0,0,18,1,0,19,Matches
Robert,brBRA,"MF,FW",19-159,4.4,78,107,72.9,1005,199,50,60,83.3,20,31,64.5,3,8,37.5,1,0.3,0.1,+0.7,3,2,3,0,7,Matches
Juan Ignacio Dinenno,arARG,"FW,DF",30-022,2.7,28,44,63.6,468,24,18,27,66.7,6,8,75.0,4,7,57.1,0,0.0,0.1,0.0,0,0,0,0,0,Matches
Machado,brBRA,MF,28-243,1.9,104,115,90.4,2067,411,38,38,100.0,49,51,96.1,14,22,63.6,0,0.1,0.0,-0.1,3,11,0,0,7,Matches
Vitor Hugo Amorim,brBRA,"MF,FW",20-214,4.8,137,170,80.6,1941,465,86,99,86.9,36,43,83.7,8,14,57.1,1,0.4,0.1,+0.6,4,10,3,0,13,Matches
João Wellington,brBRA,"MF,FW",20-261,2.0,54,64,84.4,718,243,34,39,87.2,13,16,81.3,3,5,60.0,0,0.1,0.1,-0.1,3,4,1,0,3,Matches
Helibelton Palacios,coCOL,DF,31-100,1.0,37,42,88.1,467,141,23,25,92.0,11,13,84.6,1,2,50.0,0,0.0,0.0,0.0,0,1,1,0,2,Matches
José Cifuentes,ecECU,MF,25-191,0.8,28,39,71.8,380,88,19,23,82.6,9,14,64.3,0,1,0.0,0,0.0,0.0,0.0,0,4,0,0,3,Matches
Mateus Vital,brBRA,"MF,FW",26-220,2.2,93,111,83.8,1322,273,58,61,95.1,30,37,81.1,3,5,60.0,0,0.3,0.4,-0.3,2,15,2,0,13,Matches
Rafael Elias,brBRA,FW,25-160,1.1,17,24,70.8,242,76,13,13,100.0,1,5,20.0,2,3,66.7,0,0.0,0.0,0.0,0,3,1,0,3,Matches
Arthur Rodrigues,brBRA,"FW,MF",20-220,0.9,9,15,60.0,141,15,6,9,66.7,2,3,66.7,1,2,50.0,0,0.1,0.1,-0.1,2,0,0,0,0,Matches
João Pedro,brBRA,"FW,MF",21-230,0.9,13,23,56.5,203,19,9,12,75.0,3,8,37.5,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Wesley Gasolina,brBRA,"DF,MF",24-190,0.5,27,37,73.0,381,107,18,20,90.0,8,12,66.7,1,2,50.0,0,0.1,0.0,-0.1,1,0,1,1,2,Matches
Fabrizio Peralta,pyPAR,MF,22-048,0.0,4,5,80.0,59,0,2,2,100.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,27.5,26.0,10387,12806,81.1,182105,61584,4750,5326,89.2,4356,4997,87.2,1037,1801,57.6,22,16.7,16.9,+5.3,248,862,192,49,992,
Opponent Total,,,28.6,26.0,9358,11723,79.8,176551,65348,3864,4413,87.6,4121,4766,86.5,1177,1980,59.4,18,22.4,20.2,-4.4,237,769,185,64,932,
