Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Walter,brBRA,GK,36-306,24.0,494,651,75.9,14784,10395,71,71,100.0,231,231,100.0,191,343,55.7,0,0.0,0.0,0.0,1,10,1,0,0,Matches
Marllon Borges,brBRA,DF,32-156,23.0,837,952,87.9,16337,6402,267,290,92.1,444,481,92.3,103,141,73.0,0,0.2,0.2,-0.2,2,47,1,0,47,Matches
Isidro Pitta,pyPAR,FW,25-036,21.3,289,415,69.6,4052,586,166,222,74.8,88,120,73.3,13,19,68.4,1,2.4,1.1,-1.4,25,11,9,2,31,Matches
Alan Empereur,brBRA,DF,30-193,20.8,969,1155,83.9,20596,9340,304,322,94.4,489,533,91.7,159,264,60.2,0,1.0,0.5,-1.0,15,104,10,2,74,Matches
Lucas Mineiro,brBRA,MF,28-208,19.9,676,777,87.0,12167,3130,281,314,89.5,314,346,90.8,66,85,77.6,0,0.2,0.4,-0.2,8,65,2,0,69,Matches
Denilson,brBRA,MF,23-180,16.5,625,723,86.4,10109,2501,305,331,92.1,259,278,93.2,43,77,55.8,3,1.8,1.5,+1.2,21,68,19,5,77,Matches
Ramon,brBRA,DF,23-190,17.4,583,777,75.0,9909,3727,256,287,89.2,253,325,77.8,51,105,48.6,1,1.1,0.8,-0.1,23,40,15,10,58,Matches
Matheus Alexandre,brBRA,DF,25-165,16.3,593,770,77.0,9386,3786,313,345,90.7,238,312,76.3,31,68,45.6,0,0.4,0.5,-0.4,9,58,8,6,61,Matches
Clayson,brBRA,"FW,MF",29-184,12.5,288,404,71.3,4396,1015,165,194,85.1,91,119,76.5,23,61,37.7,0,0.4,1.1,-0.4,8,22,10,2,36,Matches
Jonathan Cafu,brBRA,"FW,MF",33-071,13.1,274,368,74.5,4082,1013,154,187,82.4,93,117,79.5,15,34,44.1,2,1.0,1.2,+1.0,11,22,14,6,36,Matches
Max,brBRA,MF,23-130,11.2,300,428,70.1,5407,1783,123,155,79.4,120,153,78.4,41,77,53.2,0,1.3,1.1,-1.3,15,42,12,5,46,Matches
Fernando Sobral,brBRA,MF,29-277,12.6,479,620,77.3,8697,2666,217,249,87.1,178,227,78.4,67,100,67.0,2,2.0,1.8,0.0,19,65,19,7,72,Matches
Bruno Fabiano Alves,brBRA,DF,33-156,10.4,372,421,88.4,7512,2917,111,122,91.0,219,234,93.6,39,58,67.2,0,0.0,0.2,0.0,1,30,2,0,29,Matches
Derik Lacerda,brBRA,"FW,MF",24-358,10.4,191,241,79.3,2789,578,116,138,84.1,58,67,86.6,11,16,68.8,0,1.8,1.2,-1.8,12,14,4,2,18,Matches
Railan,brBRA,"DF,FW",24-193,8.9,346,442,78.3,5908,2346,169,197,85.8,130,159,81.8,36,63,57.1,3,0.6,0.5,+2.4,8,42,9,6,38,Matches
Lucas Fernandes,brBRA,"MF,FW",26-365,6.6,230,277,83.0,3865,953,120,129,93.0,84,98,85.7,21,34,61.8,0,0.4,0.9,-0.4,11,21,11,2,31,Matches
Rikelme,brBRA,DF,21-065,5.5,141,202,69.8,2309,1035,78,89,87.6,46,65,70.8,12,33,36.4,0,0.1,0.1,-0.1,3,9,2,1,10,Matches
Filipe Augusto,brBRA,MF,31-038,4.3,200,227,88.1,3492,728,89,100,89.0,88,98,89.8,16,17,94.1,0,0.1,0.2,-0.1,1,15,2,0,14,Matches
Juan Pablo,brBRA,DF,22-147,2.8,92,113,81.4,1384,643,45,46,97.8,35,45,77.8,8,12,66.7,0,0.0,0.0,0.0,0,8,1,1,10,Matches
André Luis,brBRA,"FW,MF",27-151,4.6,124,156,79.5,1667,401,74,87,85.1,41,47,87.2,3,6,50.0,0,0.1,0.2,-0.1,1,5,3,0,13,Matches
Deyverson,brBRA,FW,33-134,2.4,33,53,62.3,676,121,15,25,60.0,12,15,80.0,6,9,66.7,0,0.1,0.1,-0.1,2,4,1,0,6,Matches
Gabriel Knesowitsch,brBRA,DF,20-337,2.2,77,92,83.7,1489,565,19,25,76.0,46,52,88.5,10,12,83.3,0,0.0,0.0,0.0,0,0,1,0,3,Matches
Eliel Chrystian,brBRA,"FW,MF",21-237,3.6,27,44,61.4,373,96,16,20,80.0,9,13,69.2,1,3,33.3,0,0.0,0.0,0.0,1,1,0,0,1,Matches
Mateus Pasinato,brBRA,GK,32-083,1.0,17,26,65.4,629,528,1,1,100.0,6,6,100.0,9,18,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Allyson Aires dos Santos,brBRA,DF,33-332,1.0,35,37,94.6,690,214,8,8,100.0,24,25,96.0,3,3,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Guilherme Madruga,brBRA,"MF,FW",23-313,1.2,44,57,77.2,684,181,24,28,85.7,17,21,81.0,2,4,50.0,1,0.6,0.2,+0.4,4,4,2,0,8,Matches
Luciano Giménez,arARG,"FW,MF",24-214,0.8,8,9,88.9,92,6,6,6,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Gustavo Sauer,brBRA,"MF,FW",31-142,0.5,6,12,50.0,123,57,3,4,75.0,2,3,66.7,1,4,25.0,0,0.1,0.1,-0.1,2,1,2,0,3,Matches
Jadson,brBRA,MF,19-040,0.2,4,4,100.0,41,16,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Squad Total,,,28.4,25.0,8354,10453,79.9,153645,57729,3518,3994,88.1,3618,4193,86.3,981,1666,58.9,13,15.5,13.9,-2.5,203,710,160,57,793,
Opponent Total,,,28.2,25.0,11260,13448,83.7,204093,67673,4792,5267,91.0,4892,5496,89.0,1256,1924,65.3,27,24.3,24.0,+2.7,262,948,203,76,1114,
