Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Agustín Rossi,arARG,GK,29-029,24.0,684,868,78.8,18001,11772,127,128,99.2,309,315,98.1,239,413,57.9,0,0.0,0.0,0.0,1,12,0,0,1,Matches
Gerson,brBRA,"MF,FW",27-122,20.3,868,1026,84.6,13171,3010,460,500,92.0,311,354,87.9,50,82,61.0,4,1.9,2.8,+2.1,27,76,30,2,125,Matches
Fabrício Bruno,brBRA,DF,28-220,19.6,1072,1178,91.0,21425,8089,340,361,94.2,596,627,95.1,123,164,75.0,0,0.2,0.6,-0.2,4,72,2,1,79,Matches
Pedro,brBRA,FW,27-091,18.4,221,295,74.9,3149,746,122,157,77.7,65,79,82.3,14,18,77.8,5,2.2,2.4,+2.8,23,15,11,0,36,Matches
Ayrton Lucas,brBRA,DF,27-092,16.9,686,881,77.9,11536,3127,337,372,90.6,290,360,80.6,50,95,52.6,2,1.5,2.1,+0.5,16,55,12,7,64,Matches
Luiz Araújo,brBRA,"FW,MF",28-109,16.7,456,630,72.4,8164,2127,216,249,86.7,156,206,75.7,62,102,60.8,5,4.6,4.1,+0.4,33,34,19,5,70,Matches
Léo Pereira,brBRA,DF,28-232,16.2,768,955,80.4,14996,5532,284,316,89.9,376,435,86.4,99,179,55.3,0,0.7,0.8,-0.7,6,91,6,2,87,Matches
Wesley,brBRA,DF,21-013,16.2,666,784,84.9,9230,2579,403,448,90.0,201,245,82.0,25,41,61.0,1,1.7,0.9,-0.7,15,50,13,5,50,Matches
David Luiz,brBRA,DF,37-150,13.7,629,729,86.3,12131,3915,217,240,90.4,334,360,92.8,70,111,63.1,0,0.2,0.4,-0.2,4,66,4,0,68,Matches
Bruno Henrique,brBRA,FW,33-264,13.8,226,315,71.7,3134,767,137,170,80.6,77,97,79.4,6,16,37.5,0,0.7,1.2,-0.7,8,12,10,3,25,Matches
Leo Ortiz,brBRA,"MF,DF",28-260,13.2,513,601,85.4,9478,3648,193,219,88.1,243,262,92.7,58,80,72.5,2,1.2,0.9,+0.8,14,67,7,0,82,Matches
Allan,brBRA,MF,27-200,12.5,586,671,87.3,10100,2468,278,299,93.0,250,278,89.9,49,70,70.0,0,0.2,0.5,-0.2,10,77,5,0,60,Matches
Erick Pulgar,clCHI,MF,30-248,11.2,542,628,86.3,8744,2388,270,305,88.5,219,238,92.0,35,49,71.4,0,0.2,0.4,-0.2,6,65,3,1,53,Matches
Everton Soares,brBRA,FW,28-181,6.0,106,145,73.1,1510,420,63,72,87.5,28,42,66.7,9,16,56.3,2,1.2,1.1,+0.8,4,7,5,0,15,Matches
Giorgian De Arrascaeta,uyURU,MF,30-110,8.7,367,470,78.1,5543,1587,196,220,89.1,128,166,77.1,24,52,46.2,5,1.6,1.9,+3.4,20,36,23,3,62,Matches
Nicolás De La Cruz,uyURU,MF,27-110,8.6,473,585,80.9,8350,3020,232,269,86.2,185,217,85.3,49,82,59.8,2,2.0,1.8,0.0,28,88,20,3,79,Matches
Guillermo Varela,uyURU,DF,31-179,8.2,364,437,83.3,5184,1412,191,202,94.6,136,162,84.0,15,34,44.1,0,1.0,0.8,-1.0,8,15,4,3,17,Matches
Lorran,brBRA,"MF,FW",18-077,6.6,192,260,73.8,2528,850,122,141,86.5,44,59,74.6,11,26,42.3,1,0.9,1.0,+0.1,13,26,14,2,34,Matches
Matías Viña,uyURU,DF,26-315,4.7,178,226,78.8,2765,994,100,112,89.3,63,81,77.8,11,16,68.8,0,0.6,0.4,-0.6,3,12,4,3,15,Matches
Carlinhos,brBRA,FW,27-220,4.1,35,63,55.6,436,48,20,30,66.7,12,18,66.7,0,0,,0,0.1,0.1,-0.1,1,1,0,0,1,Matches
Matheus Gonçalves,brBRA,"FW,MF",19-032,2.2,95,135,70.4,1523,459,46,53,86.8,36,50,72.0,10,15,66.7,0,0.3,0.6,-0.3,4,6,9,3,14,Matches
Igor,brBRA,MF,21-196,0.8,32,36,88.9,551,147,18,19,94.7,8,9,88.9,4,4,100.0,0,0.2,0.1,-0.2,1,2,1,0,4,Matches
Gabriel Barbosa,brBRA,"MF,FW",28-020,3.5,80,95,84.2,1354,298,38,43,88.4,32,37,86.5,7,11,63.6,1,0.5,0.6,+0.5,5,9,5,1,13,Matches
Victor Hugo,brBRA,"FW,MF",20-131,2.9,81,103,78.6,1353,367,42,50,84.0,29,37,78.4,8,10,80.0,0,0.2,0.2,-0.2,2,9,4,0,12,Matches
Matheus Cunha,brBRA,GK,23-118,1.0,38,47,80.9,986,590,8,8,100.0,19,19,100.0,11,19,57.9,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Michael,brBRA,FW,28-191,1.0,26,36,72.2,299,52,18,20,90.0,6,11,54.5,0,1,0.0,0,0.0,0.1,0.0,1,3,0,0,2,Matches
Gonzalo Plata,ecECU,FW,23-323,1.0,45,55,81.8,607,166,30,33,90.9,12,14,85.7,2,3,66.7,0,0.4,0.4,-0.4,3,0,5,1,8,Matches
Alex Sandro,brBRA,DF,33-237,1.0,66,70,94.3,997,335,39,40,97.5,22,24,91.7,5,6,83.3,0,0.5,0.7,-0.5,2,7,3,2,7,Matches
Evertton,brBRA,MF,21-204,1.0,53,58,91.4,762,198,28,30,93.3,21,23,91.3,2,3,66.7,0,0.0,0.0,0.0,0,8,0,0,4,Matches
