Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Fábio,brBRA,GK,43-355,25.0,473,628,75.3,9749,6937,144,146,98.6,158,163,96.9,107,253,42.3,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Martinelli,brBRA,"MF,DF",23-132,18.4,968,1076,90.0,15336,4617,492,522,94.3,366,385,95.1,63,106,59.4,0,0.4,0.5,-0.4,7,75,5,1,55,Matches
Ganso,brBRA,MF,34-343,17.8,974,1125,86.6,13721,4977,585,639,91.5,278,323,86.1,58,83,69.9,4,2.8,2.4,+1.2,42,101,25,4,119,Matches
Samuel Xavier,brBRA,DF,34-105,17.8,879,1025,85.8,12650,4140,518,556,93.2,289,346,83.5,41,73,56.2,2,0.9,1.1,+1.1,11,51,9,5,53,Matches
Jhon Arias,coCOL,FW,26-364,14.9,555,655,84.7,7064,1607,362,376,96.3,139,162,85.8,19,50,38.0,2,1.5,1.3,+0.5,22,44,8,2,45,Matches
Germán Cano,arARG,FW,36-230,12.4,145,187,77.5,2184,398,75,92,81.5,46,59,78.0,13,17,76.5,0,0.5,0.3,-0.5,7,6,3,1,14,Matches
Marquinhos,brBRA,"FW,DF",21-165,12.7,442,580,76.2,6377,1443,267,309,86.4,125,166,75.3,27,47,57.4,1,2.1,1.0,-1.1,15,14,10,6,26,Matches
Thiago dos Santos,brBRA,DF,35-014,12.9,698,822,84.9,13098,4934,265,288,92.0,347,377,92.0,73,131,55.7,0,0.0,0.1,0.0,1,43,0,0,36,Matches
André,brBRA,MF,23-065,11.9,690,732,94.3,10882,3151,367,377,97.3,256,269,95.2,50,60,83.3,1,0.1,0.2,+0.9,6,57,0,0,64,Matches
Diogo Barbosa,brBRA,DF,32-033,11.6,526,628,83.8,7912,2830,303,336,90.2,189,218,86.7,22,42,52.4,0,0.4,0.6,-0.4,9,45,14,10,49,Matches
Marcelo,brBRA,DF,36-130,9.4,462,607,76.1,7803,2875,237,258,91.9,164,201,81.6,48,113,42.5,1,1.7,1.1,-0.7,12,51,9,5,58,Matches
Lima,brBRA,"MF,FW",28-100,10.8,471,548,85.9,6528,1803,301,321,93.8,122,145,84.1,28,41,68.3,0,0.3,0.3,-0.3,9,28,2,0,27,Matches
Antonio Carlos,brBRA,DF,31-196,10.0,555,639,86.9,10446,3784,223,234,95.3,265,292,90.8,62,98,63.3,0,0.2,0.2,-0.2,4,32,2,1,35,Matches
Keno,brBRA,"FW,MF",35-009,9.4,192,277,69.3,2823,731,108,139,77.7,65,86,75.6,10,23,43.5,0,0.5,0.7,-0.5,12,12,13,5,25,Matches
Kauã Elias,brBRA,FW,18-175,8.9,168,219,76.7,2110,588,100,130,76.9,47,55,85.5,3,4,75.0,1,1.2,0.6,-0.2,11,19,4,1,22,Matches
Thiago Silva,brBRA,DF,39-363,8.0,381,420,90.7,6854,3009,148,154,96.1,190,200,95.0,35,54,64.8,0,0.6,0.5,-0.6,2,15,2,0,18,Matches
Alexsander,brBRA,MF,20-347,8.8,392,457,85.8,5464,1587,230,249,92.4,120,135,88.9,17,26,65.4,1,0.9,0.4,+0.1,7,37,8,2,36,Matches
Felipe Melo,brBRA,DF,41-085,4.6,184,215,85.6,3677,1331,59,63,93.7,96,104,92.3,27,42,64.3,0,0.0,0.0,0.0,0,10,0,0,8,Matches
Manoel,brBRA,DF,34-206,5.5,234,270,86.7,3883,1432,110,118,93.2,104,118,88.1,14,25,56.0,0,0.0,0.0,0.0,0,4,0,0,9,Matches
John Kennedy,brBRA,"FW,MF",22-124,7.3,112,144,77.8,1389,219,75,90,83.3,28,31,90.3,3,6,50.0,0,0.1,0.4,-0.1,5,8,2,1,8,Matches
Kevin Serna,coCOL,FW,26-277,4.6,89,125,71.2,1206,277,53,64,82.8,28,44,63.6,3,7,42.9,2,0.7,0.5,+1.3,4,5,2,1,5,Matches
Marlon,brBRA,DF,29-012,3.9,245,273,89.7,4228,1503,102,108,94.4,117,124,94.4,19,31,61.3,0,0.0,0.0,0.0,2,9,0,0,7,Matches
Guga,brBRA,DF,26-021,2.9,134,158,84.8,2102,813,66,73,90.4,57,63,90.5,7,12,58.3,1,0.1,0.1,+0.9,3,8,3,2,12,Matches
