Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
João Ricardo Riedi,brBRA,GK,36-013,26.0,455,687,66.2,15032,11248,57,58,98.3,176,181,97.2,221,443,49.9,0,0.0,0.0,0.0,0,9,0,0,0,Matches
Emanuel Brítez,arARG,DF,32-177,19.0,507,669,75.8,9984,4150,197,222,88.7,231,291,79.4,75,135,55.6,1,1.8,0.8,-0.8,7,36,3,0,46,Matches
Guilherme Tinga,brBRA,DF,31-018,19.7,703,1021,68.9,14331,6192,267,312,85.6,311,438,71.0,121,232,52.2,0,1.4,0.9,-1.4,24,90,20,9,85,Matches
Breno,brBRA,FW,28-239,16.6,415,521,79.7,7264,973,203,226,89.8,153,181,84.5,52,86,60.5,3,1.0,1.3,+2.0,12,28,8,3,35,Matches
Hércules,brBRA,MF,23-335,15.5,408,527,77.4,7086,1867,187,223,83.9,173,200,86.5,39,65,60.0,1,0.9,1.2,+0.1,10,53,8,1,65,Matches
Tomas Pochettino,arARG,"MF,FW",28-231,14.9,349,526,66.3,7175,2765,144,172,83.7,122,178,68.5,73,143,51.0,5,3.7,2.7,+1.3,44,51,25,7,69,Matches
Felipe Jonatan,brBRA,DF,26-217,15.7,567,753,75.3,9934,4156,251,286,87.8,241,304,79.3,64,128,50.0,0,0.4,0.6,-0.4,8,53,8,3,54,Matches
Yago Pikachu,brBRA,"FW,MF",32-106,15.0,298,385,77.4,5164,1476,150,173,86.7,116,142,81.7,30,50,60.0,3,1.9,1.4,+1.1,17,31,12,2,48,Matches
Juan Martín Lucero,arARG,FW,32-294,15.0,163,225,72.4,2059,415,107,129,82.9,39,52,75.0,5,11,45.5,2,1.2,0.5,+0.8,10,11,2,0,11,Matches
Titi,brBRA,DF,36-191,14.4,454,551,82.4,8591,3290,173,188,92.0,234,259,90.3,44,94,46.8,0,0.5,0.1,-0.5,2,18,1,0,29,Matches
Lucas Sasha,brBRA,MF,34-202,13.4,360,431,83.5,5745,1447,179,199,89.9,148,171,86.5,20,35,57.1,0,1.6,1.2,-1.6,13,33,0,0,40,Matches
Pedro Borges,brBRA,MF,27-200,12.5,370,460,80.4,6141,1929,183,219,83.6,152,174,87.4,25,43,58.1,1,0.2,0.3,+0.8,4,35,1,1,49,Matches
Tomás Cardona,arARG,DF,28-345,12.0,388,499,77.8,7874,3110,110,121,90.9,233,264,88.3,42,103,40.8,0,0.0,0.1,0.0,0,30,1,0,32,Matches
Renato Kayser,brBRA,FW,28-215,10.6,135,198,68.2,1903,478,78,106,73.6,47,66,71.2,4,6,66.7,1,1.2,0.3,-0.2,12,12,4,0,19,Matches
Benjamín Kuscevic,clCHI,DF,28-140,10.6,321,396,81.1,6514,2378,108,123,87.8,166,181,91.7,42,79,53.2,0,0.1,0.1,-0.1,1,14,1,0,13,Matches
