Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
João Pedro,brBRA,DF,27-309,17.9,705,891,79.1,10743,4458,378,427,88.5,285,353,80.7,29,74,39.2,1,1.4,2.0,-0.4,14,48,15,3,79,Matches
Dodi,brBRA,MF,28-155,16.1,398,464,85.8,6411,2120,194,223,87.0,174,195,89.2,19,29,65.5,0,0.5,0.9,-0.5,4,45,8,2,54,Matches
Agustín Marchesín,arARG,GK,36-187,16.0,277,449,61.7,9007,7009,35,35,100.0,110,114,96.5,130,297,43.8,0,0.0,0.0,0.0,0,5,0,0,1,Matches
Franco Cristaldo,arARG,"MF,FW",28-035,15.4,613,798,76.8,9894,3111,322,359,89.7,204,255,80.0,62,134,46.3,2,3.2,3.7,-1.2,48,74,18,2,104,Matches
Reinaldo,brBRA,"DF,MF",34-357,15.1,673,883,76.2,12361,5277,284,320,88.8,289,361,80.1,80,149,53.7,0,1.2,1.0,-1.2,21,76,11,4,80,Matches
Mathías Villasanti,pyPAR,MF,27-239,15.0,664,767,86.6,11043,2982,289,331,87.3,305,336,90.8,45,59,76.3,1,1.0,1.3,0.0,10,53,12,0,67,Matches
Cristian Pavón,arARG,"FW,MF",28-242,9.7,275,389,70.7,4507,1151,144,180,80.0,100,141,70.9,24,46,52.2,2,2.0,1.5,0.0,15,23,18,3,36,Matches
Rodrigo Ely,brBRA,DF,30-321,12.9,456,566,80.6,8989,2966,138,161,85.7,279,308,90.6,36,85,42.4,0,0.1,0.1,-0.1,3,17,1,0,27,Matches
Gustavo Martins Santos,brBRA,DF,22-039,11.5,490,566,86.6,9653,3355,143,155,92.3,303,334,90.7,42,67,62.7,0,0.0,0.1,0.0,0,21,0,0,27,Matches
Gustavo Nunes,brBRA,"FW,MF",18-304,13.8,353,490,72.0,5199,1382,216,268,80.6,107,146,73.3,21,36,58.3,1,1.3,1.8,-0.3,13,24,21,3,48,Matches
Yeferson Soteldo,veVEN,"FW,MF",27-081,10.5,279,369,75.6,4232,1184,150,175,85.7,93,125,74.4,18,31,58.1,2,2.4,2.5,-0.4,27,16,21,4,41,Matches
Edenílson,brBRA,"FW,MF",34-276,8.2,205,269,76.2,2797,889,124,151,82.1,56,66,84.8,10,22,45.5,0,0.4,0.7,-0.4,6,24,7,1,30,Matches
Walter Kannemann,arARG,DF,33-189,8.1,196,250,78.4,4048,1737,65,70,92.9,99,116,85.3,29,51,56.9,2,0.8,0.0,+1.2,2,14,0,0,17,Matches
João Pedro Pepê,brBRA,MF,26-257,8.2,348,399,87.2,6034,1962,171,187,91.4,117,129,90.7,40,47,85.1,0,0.1,0.4,-0.1,2,41,6,1,53,Matches
Fábio,brBRA,DF,34-072,7.5,271,363,74.7,4202,2033,155,173,89.6,88,122,72.1,21,48,43.8,0,0.4,0.7,-0.4,6,14,7,4,15,Matches
João Pedro,itITA,FW,32-194,6.4,84,105,80.0,1199,178,44,51,86.3,30,36,83.3,4,5,80.0,0,0.2,0.2,-0.2,4,5,1,0,9,Matches
Du Queiroz,brBRA,MF,24-244,6.5,351,404,86.9,5528,1465,182,202,90.1,138,149,92.6,20,30,66.7,0,0.4,0.4,-0.4,5,41,5,1,48,Matches
Miguel Monsalve,coCOL,"FW,MF",20-205,5.0,118,142,83.1,1733,536,70,73,95.9,30,38,78.9,9,12,75.0,1,0.5,0.7,+0.5,5,13,5,0,20,Matches
