Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Wesley,brBRA,"FW,MF",25-173,17.4,381,539,70.7,6328,1775,182,228,79.8,142,198,71.7,38,53,71.7,1,1.9,2.6,-0.9,20,47,25,7,64,Matches
Thiago Maia,brBRA,MF,27-180,14.5,676,787,85.9,11015,3122,324,360,90.0,269,308,87.3,55,71,77.5,1,1.3,1.3,-0.3,8,59,12,1,78,Matches
Bruno Henrique,brBRA,"MF,FW",34-334,15.1,610,750,81.3,10080,3018,296,332,89.2,240,288,83.3,51,93,54.8,1,2.1,2.4,-1.1,23,72,14,7,86,Matches
Vitão,brBRA,DF,24-230,14.0,657,762,86.2,12853,3749,197,210,93.8,396,427,92.7,59,109,54.1,0,0.1,0.2,-0.1,2,67,5,1,54,Matches
Sergio Rochet,uyURU,GK,31-180,14.0,252,378,66.7,6939,5385,51,51,100.0,119,121,98.3,80,201,39.8,0,0.0,0.0,0.0,0,5,0,0,0,Matches
Gabriel Mercado,arARG,DF,37-185,12.8,628,703,89.3,11591,4275,226,240,94.2,346,370,93.5,50,82,61.0,0,0.7,0.2,-0.7,4,28,0,0,31,Matches
Rafael Borré,coCOL,FW,29-004,10.9,179,225,79.6,2380,394,110,129,85.3,45,56,80.4,10,15,66.7,1,0.5,0.4,+0.5,7,10,5,0,17,Matches
Fernando,brBRA,"DF,MF",37-056,11.6,634,691,91.8,11875,3782,216,234,92.3,364,385,94.5,51,64,79.7,0,0.2,0.5,-0.2,4,46,1,0,48,Matches
Romulo,brBRA,MF,24-202,11.4,425,510,83.3,7065,1873,215,239,90.0,170,199,85.4,33,46,71.7,0,0.0,0.2,0.0,1,45,1,0,38,Matches
Bruno Gomes,brBRA,"DF,MF",23-168,11.0,618,769,80.4,9654,3562,323,359,90.0,230,276,83.3,38,73,52.1,1,0.9,1.2,+0.1,12,60,10,3,73,Matches
Renê,brBRA,DF,32-005,10.6,548,720,76.1,10163,3856,210,230,91.3,259,322,80.4,63,127,49.6,0,0.6,0.9,-0.6,8,70,15,1,81,Matches
Robert Renan,brBRA,DF,20-344,10.7,521,604,86.3,9881,3107,175,190,92.1,293,310,94.5,48,90,53.3,1,0.3,0.2,+0.7,5,45,5,3,45,Matches
Alexandro Bernabei,arARG,DF,23-361,9.9,459,589,77.9,8006,3202,209,242,86.4,192,238,80.7,49,76,64.5,1,2.0,2.2,-1.0,19,49,12,6,54,Matches
Gabriel Carvalho,brBRA,"FW,MF",17-033,8.4,306,402,76.1,4685,1301,184,218,84.4,93,117,79.5,20,38,52.6,2,2.7,2.1,-0.7,20,25,13,1,35,Matches
Fabricio Bustos,arARG,DF,28-144,9.6,496,602,82.4,8039,2874,247,276,89.5,206,249,82.7,29,49,59.2,1,0.8,0.9,+0.2,16,37,13,5,63,Matches
Wanderson,brBRA,"FW,MF",29-348,8.6,187,244,76.6,2772,687,109,120,90.8,64,84,76.2,10,17,58.8,0,1.7,1.8,-1.7,11,11,9,6,21,Matches
Alan Patrick,brBRA,"MF,FW",33-129,8.0,327,420,77.9,5020,1475,176,199,88.4,115,146,78.8,21,43,48.8,0,3.8,2.8,-3.8,29,30,19,2,51,Matches
Fabrício,brBRA,GK,38-256,8.0,134,202,66.3,3191,2337,37,37,100.0,60,61,98.4,34,98,34.7,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Igor Gomes,brBRA,DF,23-197,6.9,311,398,78.1,5369,1835,132,142,93.0,160,198,80.8,18,41,43.9,1,0.1,0.1,+0.9,1,19,0,0,20,Matches
Lucas Alario,arARG,FW,31-347,6.8,76,99,76.8,882,164,48,55,87.3,20,28,71.4,1,1,100.0,0,0.1,0.2,-0.1,3,4,1,0,7,Matches
Enner Valencia,ecECU,FW,34-320,5.2,46,72,63.9,611,71,33,41,80.5,13,19,68.4,0,4,0.0,0,0.3,0.1,-0.3,5,1,2,1,3,Matches
Bruno Tabata,brBRA,"MF,FW",27-173,5.1,135,193,69.9,2342,902,71,88,80.7,43,55,78.2,16,43,37.2,3,1.8,1.7,+1.2,15,16,11,7,29,Matches
Agustín Rogel,uyURU,DF,26-338,4.3,191,222,86.0,3679,1011,45,54,83.3,137,146,93.8,9,18,50.0,0,0.0,0.0,0.0,0,9,0,0,8,Matches
Mauricio,brBRA,MF,23-120,4.2,104,144,72.2,1510,283,62,75,82.7,30,37,81.1,6,16,37.5,0,0.7,0.7,-0.7,11,3,2,1,6,Matches
Hugo Mallo,esESP,DF,33-089,4.0,168,219,76.7,3051,1124,62,73,84.9,83,104,79.8,19,30,63.3,0,0.0,0.1,0.0,1,20,2,1,17,Matches
Hyoran,brBRA,"FW,MF",31-117,3.7,69,105,65.7,1048,277,35,44,79.5,30,40,75.0,2,13,15.4,0,0.1,0.3,-0.1,3,5,4,0,11,Matches
Lucca Holanda,brBRA,"FW,MF",21-170,3.0,25,40,62.5,261,64,16,23,69.6,4,6,66.7,1,2,50.0,0,0.2,0.2,-0.2,1,4,0,0,2,Matches
Charles Aránguiz,clCHI,MF,35-155,3.2,131,166,78.9,1995,500,73,90,81.1,39,51,76.5,10,13,76.9,0,0.1,0.2,-0.1,3,9,1,0,9,Matches
Anthoni,brBRA,GK,22-240,2.0,37,72,51.4,1254,988,4,4,100.0,18,18,100.0,15,50,30.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Lucca Drummond,brBRA,FW,20-251,1.8,27,35,77.1,282,38,17,18,94.4,5,6,83.3,0,1,0.0,1,0.3,0.2,+0.7,2,0,1,0,1,Matches
Gustavo Prado,brBRA,"FW,MF",19-105,5.1,163,210,77.6,2509,632,76,84,90.5,68,80,85.0,10,23,43.5,0,1.2,1.0,-1.2,7,13,9,3,21,Matches
Matheus Dias,brBRA,"FW,MF",27-225,0.8,30,38,78.9,475,30,16,20,80.0,13,14,92.9,1,3,33.3,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Ricardo Mathias,brBRA,"FW,MF",18-056,0.7,5,13,38.5,83,17,2,5,40.0,3,5,60.0,0,2,0.0,0,0.4,0.0,-0.4,2,0,0,0,0,Matches
Nathan,brBRA,DF,23-014,0.1,6,7,85.7,110,25,2,2,100.0,3,4,75.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Squad Total,,,28.6,24.0,9562,11930,80.2,166998,57735,4181,4712,88.7,4272,4966,86.0,848,1606,52.8,15,24.7,25.0,-9.7,243,811,192,56,974,
Opponent Total,,,28.4,24.0,8334,10754,77.5,159099,57776,3350,3936,85.1,3664,4342,84.4,1123,1898,59.2,12,14.4,16.0,-2.4,190,646,138,56,774,
