Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Gabriel,brBRA,GK,31-358,22.5,605,764,79.2,15568,9515,106,108,98.1,341,348,98.0,155,303,51.2,0,0.0,0.0,0.0,0,3,0,0,0,Matches
Erick,brBRA,FW,27-260,18.8,308,412,74.8,4155,899,200,237,84.4,77,106,72.6,14,21,66.7,2,2.1,1.4,-0.1,13,15,6,0,26,Matches
Jadson,brBRA,MF,31-020,20.7,774,930,83.2,13591,4065,343,389,88.2,340,387,87.9,73,106,68.9,5,2.9,1.4,+2.1,42,92,9,2,113,Matches
Lucas Barbosa,brBRA,FW,23-210,19.1,412,601,68.6,7297,1717,207,265,78.1,138,194,71.1,55,90,61.1,1,2.1,2.9,-1.1,20,41,13,4,58,Matches
Danilo Boza,brBRA,DF,26-136,20.5,1092,1213,90.0,20095,6822,400,423,94.6,590,631,93.5,90,129,69.8,0,0.1,0.4,-0.1,3,51,1,0,59,Matches
Alan Ruschel,brBRA,DF,35-027,17.9,721,910,79.2,12412,5217,329,358,91.9,308,383,80.4,67,119,56.3,1,0.9,1.0,+0.1,16,58,10,4,77,Matches
João Lucas,brBRA,DF,26-194,17.8,625,896,69.8,11658,4585,247,283,87.3,286,383,74.7,75,162,46.3,2,2.0,2.8,0.0,23,50,26,17,65,Matches
Zé Marcos,brBRA,DF,26-231,16.3,641,776,82.6,12661,4214,191,217,88.0,369,406,90.9,69,126,54.8,0,0.1,0.1,-0.1,2,21,0,0,26,Matches
Caíque de Jesus Gonçalves,brBRA,MF,28-345,15.8,764,841,90.8,14176,3679,297,327,90.8,355,376,94.4,97,107,90.7,0,0.3,0.3,-0.3,6,61,5,1,59,Matches
Nenê,brBRA,"MF,FW",43-062,13.4,327,548,59.7,7288,2605,113,150,75.3,132,188,70.2,76,162,46.9,3,2.7,3.4,+0.3,33,35,13,7,61,Matches
Jean Carlos Vicente,brBRA,"MF,FW",32-217,10.0,225,354,63.6,4313,1714,99,134,73.9,78,111,70.3,41,88,46.6,2,2.3,2.2,-0.3,18,33,14,6,46,Matches
Marcelinho,brBRA,"FW,MF",21-283,9.1,153,226,67.7,2817,776,71,93,76.3,54,75,72.0,24,39,61.5,3,0.4,0.6,+2.6,11,17,6,4,24,Matches
Gilberto,brBRA,FW,35-106,7.6,74,124,59.7,1073,172,41,64,64.1,22,31,71.0,6,11,54.5,0,0.7,0.3,-0.7,7,6,1,1,7,Matches
Ronie Carrillo,ecECU,FW,28-011,6.1,69,111,62.2,901,222,42,60,70.0,19,26,73.1,2,5,40.0,0,0.0,0.2,0.0,2,6,5,2,7,Matches
Gabriel Inocêncio,brBRA,DF,30-030,9.5,365,451,80.9,5521,1683,208,228,91.2,126,161,78.3,21,37,56.8,1,0.6,0.3,+0.4,5,27,4,4,23,Matches
Rodrigo Sam,brBRA,DF,29-057,8.4,342,395,86.6,6816,2457,82,99,82.8,233,243,95.9,24,40,60.0,0,0.1,0.2,-0.1,2,15,2,0,21,Matches
Lucas Freitas,brBRA,DF,23-243,6.2,273,315,86.7,5422,2359,91,98,92.9,143,157,91.1,35,51,68.6,0,0.0,0.1,0.0,1,17,0,0,13,Matches
Ewerton,brBRA,"DF,FW",23-314,7.2,227,318,71.4,3770,1322,112,132,84.8,96,125,76.8,14,44,31.8,1,1.0,0.4,0.0,3,16,2,0,17,Matches
Luis Oyama,brBRA,MF,27-233,5.7,208,252,82.5,3933,1092,82,96,85.4,95,104,91.3,25,35,71.4,0,0.5,0.2,-0.5,3,25,6,0,24,Matches
