Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Wéverton,brBRA,GK,36-281,25.0,551,788,69.9,15884,10722,81,82,98.8,278,278,100.0,192,426,45.1,1,0.3,0.1,+0.7,1,26,3,0,0,Matches
Aníbal Moreno,arARG,MF,25-129,19.0,855,1009,84.7,15470,4828,370,416,88.9,373,419,89.0,94,133,70.7,1,0.9,1.0,+0.1,16,113,8,3,123,Matches
Murilo Cerqueira,brBRA,DF,27-176,17.5,653,785,83.2,13582,5493,185,210,88.1,383,433,88.5,81,127,63.8,0,0.1,0.4,-0.1,4,62,3,0,82,Matches
Raphael Veiga,brBRA,MF,29-092,17.0,609,799,76.2,11300,3760,295,318,92.8,201,245,82.0,96,192,50.0,3,4.2,3.0,-1.2,54,88,21,7,109,Matches
Estevão,brBRA,FW,18-148,15.5,360,474,75.9,5394,1589,214,255,83.9,110,140,78.6,20,47,42.6,7,4.6,2.4,+2.4,26,29,21,2,59,Matches
Gustavo Gómez,pyPAR,DF,31-136,16.0,604,729,82.9,11878,4245,185,216,85.6,358,402,89.1,56,98,57.1,2,1.8,0.9,+0.2,4,30,3,0,49,Matches
José López,arARG,FW,23-288,14.9,146,259,56.4,2335,561,75,120,62.5,43,80,53.8,16,26,61.5,2,2.0,0.3,0.0,15,24,8,1,32,Matches
Joaquín Piquerez,uyURU,DF,26-026,14.6,616,782,78.8,11126,4001,277,313,88.5,275,329,83.6,57,113,50.4,0,2.0,1.6,-2.0,19,59,25,13,87,Matches
Marcos Rocha,brBRA,DF,35-283,15.5,817,1075,76.0,15554,7428,317,356,89.0,374,466,80.3,111,205,54.1,2,2.8,1.8,-0.8,21,96,16,6,97,Matches
Rony,brBRA,FW,29-131,15.2,173,240,72.1,2623,531,103,122,84.4,49,67,73.1,14,29,48.3,2,2.7,1.6,-0.7,23,10,12,4,20,Matches
Richard Ríos,coCOL,MF,24-109,10.6,366,452,81.0,6412,1617,154,173,89.0,154,183,84.2,40,61,65.6,2,0.6,0.8,+1.4,10,39,11,4,61,Matches
Gabriel Menino,brBRA,"MF,FW",23-356,10.2,434,554,78.3,8402,2232,182,205,88.8,168,205,82.0,72,115,62.6,0,1.1,1.1,-1.1,20,52,10,4,68,Matches
Mayke,brBRA,DF,31-314,9.6,492,610,80.7,8829,3695,195,224,87.1,242,282,85.8,45,72,62.5,0,0.9,2.0,-0.9,14,38,13,5,61,Matches
Zé Rafael,brBRA,MF,31-095,9.2,321,369,87.0,5512,1325,141,152,92.8,137,150,91.3,31,44,70.5,2,1.3,0.8,+0.7,12,33,5,1,45,Matches
Vitor Reis,brBRA,DF,18-251,9.2,434,472,91.9,8205,2825,128,137,93.4,277,293,94.5,26,36,72.2,0,0.1,0.2,-0.1,3,22,0,0,25,Matches
Kaiky Naves,brBRA,DF,22-134,8.1,332,398,83.4,7186,2958,83,98,84.7,196,217,90.3,53,73,72.6,0,0.3,0.5,-0.3,5,36,2,0,40,Matches
Lázaro,brBRA,"FW,MF",22-191,8.3,196,263,74.5,3299,842,106,129,82.2,64,82,78.0,22,32,68.8,0,0.5,0.7,-0.5,10,23,9,2,40,Matches
Vanderlan,brBRA,DF,22-012,8.2,250,323,77.4,3846,1198,134,154,87.0,91,116,78.4,16,27,59.3,1,1.9,1.4,-0.9,8,14,11,9,23,Matches
Mauricio,brBRA,"MF,FW",23-120,6.1,196,249,78.7,2861,447,102,121,84.3,63,76,82.9,14,24,58.3,0,0.5,1.1,-0.5,9,13,4,2,17,Matches
Caio Paulista,brBRA,"DF,FW",26-131,5.1,289,332,87.0,4454,1207,154,167,92.2,114,126,90.5,12,24,50.0,0,0.3,0.7,-0.3,9,21,8,2,40,Matches
Endrick,brBRA,"MF,FW",18-060,5.0,74,104,71.2,1320,319,36,49,73.5,21,28,75.0,12,15,80.0,0,0.7,0.4,-0.7,2,11,4,1,15,Matches
Felipe Anderson,brBRA,"FW,MF",31-157,5.8,210,288,72.9,2941,654,117,139,84.2,74,99,74.7,7,16,43.8,1,1.7,1.0,-0.7,12,8,9,2,22,Matches
Fabinho,brBRA,MF,22-163,4.5,167,210,79.5,3012,921,68,78,87.2,73,84,86.9,21,34,61.8,0,0.2,0.1,-0.2,4,27,2,0,30,Matches
Dudu,brBRA,"FW,MF",32-256,3.4,124,171,72.5,1805,499,81,91,89.0,35,54,64.8,6,16,37.5,0,0.2,0.5,-0.2,4,13,1,0,19,Matches
Agustín Giay,arARG,DF,20-247,2.8,171,210,81.4,2587,824,100,106,94.3,61,71,85.9,8,21,38.1,0,0.0,0.1,0.0,1,15,2,1,20,Matches
Luan Garcia,brBRA,DF,31-132,2.6,77,90,85.6,1611,442,22,26,84.6,47,49,95.9,8,13,61.5,0,0.0,0.0,0.0,0,4,0,0,1,Matches
