Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Luan Cândido,brBRA,DF,23-230,19.0,594,742,80.1,10914,3796,214,247,86.6,312,363,86.0,50,96,52.1,0,0.1,0.2,-0.1,4,44,1,0,42,Matches
Cleiton Schwengber,brBRA,GK,27-031,18.0,415,602,68.9,11823,7442,66,66,100.0,182,184,98.9,163,345,47.2,0,0.0,0.0,0.0,0,10,0,0,0,Matches
Lucas Evangelista,brBRA,MF,29-136,16.0,474,579,81.9,7497,2179,247,270,91.5,154,172,89.5,43,81,53.1,1,0.5,0.8,+0.5,16,63,12,0,75,Matches
Henry Mosquera,coCOL,"FW,MF",22-309,16.7,279,365,76.4,3885,785,172,194,88.7,92,118,78.0,7,23,30.4,1,0.8,1.0,+0.2,22,10,20,7,28,Matches
Juninho Capixaba,brBRA,"DF,MF",27-075,13.1,581,757,76.8,11024,4241,227,266,85.3,256,325,78.8,83,124,66.9,0,0.6,1.1,-0.6,9,59,8,5,66,Matches
Pedro Henrique,brBRA,DF,28-353,13.8,532,678,78.5,12239,5278,126,149,84.6,289,329,87.8,111,181,61.3,0,0.1,0.2,-0.1,4,43,4,0,42,Matches
Eduardo Sasha,brBRA,FW,32-208,12.7,200,294,68.0,2832,731,113,149,75.8,64,87,73.6,12,18,66.7,3,1.6,1.6,+1.4,13,20,8,0,32,Matches
Helinho,brBRA,"FW,MF",24-147,12.2,390,568,68.7,6586,1751,192,238,80.7,132,180,73.3,48,108,44.4,2,2.1,1.5,-0.1,24,37,16,2,43,Matches
Jadsom,brBRA,"MF,DF",23-122,11.3,381,488,78.1,6933,2567,160,185,86.5,171,204,83.8,45,73,61.6,0,0.4,0.6,-0.4,6,56,7,2,53,Matches
Raul,brBRA,MF,28-070,11.8,454,542,83.8,8269,2734,205,228,89.9,183,203,90.1,58,92,63.0,1,1.1,0.6,-0.1,9,51,7,1,55,Matches
Vitinho,brBRA,"FW,MF",25-171,12.9,333,496,67.1,5314,1828,176,214,82.2,106,154,68.8,30,71,42.3,3,2.0,2.3,+1.0,20,19,13,3,31,Matches
Nathan Mendes,brBRA,DF,22-031,12.4,496,654,75.8,7864,3465,245,288,85.1,213,272,78.3,25,56,44.6,1,0.8,0.5,+0.2,9,42,6,2,49,Matches
Douglas Mendes,brBRA,DF,20-098,12.3,340,460,73.9,7187,2898,94,103,91.3,183,222,82.4,57,117,48.7,0,0.0,0.2,0.0,1,22,2,0,24,Matches
Eric Ramires,brBRA,MF,24-040,11.5,362,431,84.0,5582,1269,185,205,90.2,135,156,86.5,26,41,63.4,2,0.3,0.3,+1.7,8,36,3,0,33,Matches
Eduardo Santos,brBRA,DF,26-296,11.0,418,509,82.1,8297,2805,130,154,84.4,237,261,90.8,46,76,60.5,0,0.1,0.1,-0.1,2,21,0,0,35,Matches
Lincoln,brBRA,"MF,FW",25-317,9.8,361,472,76.5,6110,1878,169,195,86.7,128,155,82.6,46,85,54.1,1,1.7,2.0,-0.7,17,39,13,5,62,Matches
Gustavinho,brBRA,"MF,FW",20-149,8.8,227,323,70.3,3830,1392,105,133,78.9,79,96,82.3,28,60,46.7,3,1.3,1.5,+1.7,20,31,8,3,34,Matches
Thiago Borbas,uyURU,FW,22-165,10.6,98,156,62.8,1164,253,68,91,74.7,19,32,59.4,2,3,66.7,0,0.3,0.3,-0.3,7,5,5,1,12,Matches
José Hurtado,ecECU,DF,22-271,6.7,207,306,67.6,3495,1492,99,125,79.2,88,128,68.8,15,37,40.5,0,0.7,0.2,-0.7,6,19,3,1,25,Matches
Lucão,brBRA,GK,23-206,6.0,112,170,65.9,2835,1826,28,28,100.0,46,46,100.0,31,89,34.8,0,0.4,0.0,-0.4,1,4,1,0,0,Matches
Jhonatan Jowjow,brBRA,"MF,FW",22-010,4.1,110,148,74.3,2018,712,51,62,82.3,34,44,77.3,17,27,63.0,0,0.9,0.9,-0.9,14,13,8,2,23,Matches
