Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Robert Arboleda,ecECU,DF,32-333,20.7,1188,1304,91.1,23524,8316,343,368,93.2,697,728,95.7,136,185,73.5,0,0.5,0.2,-0.5,4,36,2,0,34,Matches
Jonathan Calleri,arARG,FW,30-362,17.6,212,331,64.0,2801,531,134,178,75.3,54,82,65.9,8,15,53.3,2,0.9,1.1,+1.1,13,17,8,3,22,Matches
Igor Vinícius de Souza,brBRA,DF,27-171,17.6,950,1111,85.5,14620,5264,500,536,93.3,360,410,87.8,57,99,57.6,2,2.1,1.9,-0.1,25,74,15,7,81,Matches
Welington,brBRA,DF,23-213,16.9,721,877,82.2,11795,3676,354,377,93.9,296,367,80.7,54,90,60.0,1,0.8,1.1,+0.2,14,57,20,11,74,Matches
Alan Franco,arARG,DF,27-344,15.5,897,993,90.3,17675,6271,280,295,94.9,507,537,94.4,106,142,74.6,1,0.3,0.1,+0.7,5,51,1,0,57,Matches
Luciano,brBRA,"MF,FW",31-124,15.5,433,517,83.8,7137,1201,199,229,86.9,178,199,89.4,34,42,81.0,1,1.2,1.5,-0.2,11,38,6,1,38,Matches
Alisson,brBRA,MF,31-086,15.0,970,1083,89.6,18500,4755,361,387,93.3,469,506,92.7,119,145,82.1,2,0.5,0.8,+1.5,13,97,6,3,87,Matches
Rafael Pires,brBRA,GK,35-088,15.0,322,411,78.3,8607,5697,63,63,100.0,149,150,99.3,101,188,53.7,0,0.0,0.0,0.0,0,4,0,0,1,Matches
Lucas Moura,brBRA,"FW,MF",32-037,14.5,494,627,78.8,7813,2023,253,292,86.6,178,220,80.9,41,70,58.6,3,1.8,1.6,+1.2,25,66,15,3,72,Matches
Luiz Gustavo,brBRA,MF,37-058,14.7,824,904,91.2,15970,4152,293,317,92.4,407,423,96.2,109,136,80.1,0,0.4,0.5,-0.4,7,92,2,0,80,Matches
Jandrei,brBRA,GK,31-202,11.0,317,420,75.5,9096,5870,43,43,100.0,158,165,95.8,112,208,53.8,0,0.0,0.0,0.0,0,6,0,0,0,Matches
Damián Bobadilla,pyPAR,MF,23-070,9.0,437,484,90.3,7520,2213,175,194,90.2,210,222,94.6,34,41,82.9,0,0.7,0.7,-0.7,11,51,10,4,47,Matches
André Silva,brBRA,"FW,MF",27-108,10.2,178,244,73.0,2578,451,106,127,83.5,54,74,73.0,8,15,53.3,2,0.8,0.5,+1.2,13,12,8,3,21,Matches
