Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Léo Jardim,brBRA,GK,29-183,25.0,457,652,70.1,13943,10541,69,69,100.0,203,205,99.0,174,365,47.7,0,0.0,0.0,0.0,0,10,0,0,0,Matches
Pablo Vegetti,arARG,FW,35-340,22.1,226,378,59.8,3111,624,115,176,65.3,88,131,67.2,4,11,36.4,1,1.7,0.6,-0.7,11,24,2,1,27,Matches
Paulo Henrique,brBRA,DF,28-056,20.6,692,923,75.0,11357,4317,351,397,88.4,273,344,79.4,55,127,43.3,0,0.7,1.7,-0.7,18,44,23,15,65,Matches
Léo Pelé,brBRA,DF,28-197,20.0,713,842,84.7,13512,5747,270,285,94.7,350,387,90.4,84,150,56.0,1,0.6,0.5,+0.4,5,59,3,1,52,Matches
Maicon,brBRA,DF,36-005,19.9,744,924,80.5,17003,6747,185,207,89.4,392,436,89.9,160,259,61.8,0,0.4,0.7,-0.4,4,61,3,0,53,Matches
Lucas Piton,brBRA,DF,23-346,19.4,759,994,76.4,13210,4872,358,398,89.9,286,365,78.4,95,164,57.9,4,3.1,4.2,+0.9,36,43,36,28,65,Matches
David,brBRA,FW,28-338,16.5,336,448,75.0,5146,1142,183,223,82.1,122,149,81.9,18,30,60.0,3,1.9,2.1,+1.1,19,23,15,2,42,Matches
Hugo Moura,brBRA,MF,26-260,13.4,473,588,80.4,8818,2588,208,231,90.0,187,216,86.6,67,98,68.4,3,0.6,1.2,+2.4,12,58,8,2,75,Matches
Mateus Cocão,brBRA,MF,22-185,14.6,615,720,85.4,10315,3200,279,308,90.6,260,295,88.1,55,70,78.6,1,0.2,0.4,+0.8,6,69,6,2,74,Matches
Adson,brBRA,FW,23-349,13.6,528,622,84.9,7363,1834,321,350,91.7,159,184,86.4,22,33,66.7,1,2.6,3.2,-1.6,21,49,19,3,72,Matches
Juan Sforza,arARG,MF,22-218,11.1,589,678,86.9,10705,3084,256,284,90.1,263,286,92.0,61,85,71.8,0,0.1,0.2,-0.1,2,57,2,0,55,Matches
João Victor,brBRA,DF,26-064,9.3,401,469,85.5,7734,2648,138,158,87.3,214,235,91.1,44,60,73.3,0,0.6,0.4,-0.6,3,31,2,0,30,Matches
Pablo Galdames Millán,clCHI,MF,27-264,8.5,306,369,82.9,5883,2054,115,128,89.8,136,154,88.3,47,65,72.3,1,0.4,0.7,+0.6,11,48,3,2,51,Matches
Dimitri Payet,frFRA,MF,37-174,7.8,333,429,77.6,5643,1653,172,191,90.1,108,129,83.7,43,80,53.8,3,1.6,1.5,+1.4,16,40,13,5,60,Matches
Rossi,brBRA,"FW,MF",31-150,5.6,92,163,56.4,1602,472,39,61,63.9,35,52,67.3,13,31,41.9,1,0.8,0.8,+0.2,15,8,10,6,11,Matches
Victor Luis,brBRA,DF,31-088,4.4,199,252,79.0,3144,1156,101,109,92.7,71,89,79.8,17,34,50.0,1,0.4,0.4,+0.6,5,12,3,1,15,Matches
Rayan Vitor,brBRA,"FW,MF",18-047,5.9,92,124,74.2,1727,585,36,47,76.6,39,48,81.3,13,17,76.5,0,1.3,0.9,-1.3,10,12,7,4,11,Matches
João Pedro,brBRA,MF,19-153,4.8,128,157,81.5,2204,679,69,81,85.2,44,51,86.3,13,14,92.9,1,0.2,0.3,+0.8,3,25,5,0,20,Matches
Zé Gabriel,brBRA,MF,25-242,5.1,173,211,82.0,3045,780,75,90,83.3,76,87,87.4,20,27,74.1,0,0.0,0.1,0.0,1,15,0,0,11,Matches
José Luis Rodríguez Bebanz,uyURU,DF,27-189,3.6,114,176,64.8,1915,655,51,62,82.3,46,69,66.7,9,28,32.1,1,0.8,0.9,+0.2,5,11,5,3,19,Matches
Bruno Praxedes,brBRA,MF,22-224,2.9,84,108,77.8,1297,370,50,61,82.0,24,29,82.8,7,12,58.3,0,0.4,0.4,-0.4,6,7,4,1,10,Matches
Emerson Rodríguez,coCOL,FW,24-025,2.8,51,78,65.4,734,213,31,40,77.5,12,20,60.0,4,10,40.0,0,0.2,0.2,-0.2,3,4,2,1,7,Matches
Guilherme Estrella,brBRA,MF,19-150,1.6,36,46,78.3,634,159,18,20,90.0,11,11,100.0,6,11,54.5,0,0.0,0.0,0.0,1,7,0,0,4,Matches
Robert Rojas,pyPAR,DF,28-142,1.9,63,78,80.8,1284,496,17,19,89.5,37,45,82.2,9,12,75.0,0,0.0,0.0,0.0,0,0,1,0,4,Matches
Gary Medel,clCHI,DF,37-047,1.2,67,75,89.3,1300,426,19,19,100.0,41,43,95.3,7,13,53.8,0,0.0,0.0,0.0,0,2,0,0,1,Matches
Leandrinho,brBRA,"DF,FW",19-186,2.5,94,126,74.6,1600,670,41,47,87.2,43,51,84.3,7,23,30.4,1,0.0,0.1,+1.0,1,6,0,0,3,Matches
Clayton,brBRA,FW,25-252,1.6,21,29,72.4,335,19,11,14,78.6,5,6,83.3,3,4,75.0,0,0.0,0.1,0.0,0,0,1,0,2,Matches
Philippe Coutinho,brBRA,MF,32-099,1.3,52,78,66.7,760,238,31,44,70.5,13,17,76.5,4,11,36.4,0,0.0,0.2,0.0,1,7,2,1,6,Matches
Jean Meneses,clCHI,"FW,MF",31-187,1.2,30,34,88.2,376,55,20,21,95.2,9,10,90.0,0,2,0.0,0,0.0,0.0,0.0,1,0,1,0,1,Matches
Gabriel Souza,brBRA,FW,19-258,1.0,18,25,72.0,289,19,7,10,70.0,6,7,85.7,2,2,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Josef de Souza,brBRA,MF,35-221,0.8,46,57,80.7,675,89,29,30,96.7,14,17,82.4,2,4,50.0,0,0.0,0.0,0.0,0,3,0,0,4,Matches
Erick Marcus,brBRA,"FW,MF",20-202,1.9,47,64,73.4,747,234,25,30,83.3,16,20,80.0,3,6,50.0,0,0.3,0.2,-0.3,6,7,2,0,9,Matches
Lyncon,brBRA,DF,19-135,0.5,5,14,35.7,117,69,2,4,50.0,2,4,50.0,1,4,25.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Sergio Antonio De Luiz Junior,brBRA,"FW,MF",29-166,0.5,5,12,41.7,67,0,2,3,66.7,2,6,33.3,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Alex Teixeira,brBRA,FW,34-257,0.1,11,12,91.7,122,13,8,8,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,Matches
Bruno Lopes,brBRA,FW,17-056,0.1,0,1,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,28.1,25.0,8600,10956,78.5,157717,58448,3702,4225,87.6,3589,4200,85.5,1069,1863,57.4,23,18.6,22.2,+4.4,223,743,178,78,860,
Opponent Total,,,28.4,25.0,9960,12234,81.4,171420,61762,4470,4999,89.4,4249,4918,86.4,895,1573,56.9,29,25.4,24.7,+3.6,286,932,190,60,1112,
