Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Lucas Arcanjo,brBRA,GK,26-042,26.0,551,788,69.9,14205,9073,95,96,99.0,334,336,99.4,121,351,34.5,0,0.0,0.0,0.0,1,4,0,0,0,Matches
Wagner,brBRA,DF,25-058,24.1,1027,1199,85.7,21589,8173,284,306,92.8,593,640,92.7,142,224,63.4,0,0.1,0.3,-0.1,4,66,1,0,76,Matches
Willian,brBRA,MF,31-126,20.6,535,636,84.1,9136,2463,236,273,86.4,232,251,92.4,46,66,69.7,1,0.8,0.4,+0.2,18,50,7,2,69,Matches
Matheusinho,brBRA,"MF,FW",26-337,18.8,469,602,77.9,7954,2159,243,274,88.7,153,198,77.3,59,99,59.6,3,2.5,2.4,+0.5,23,55,11,3,64,Matches
Alerrandro,brBRA,FW,24-251,17.1,227,321,70.7,3189,711,119,154,77.3,81,106,76.4,10,19,52.6,4,2.1,0.9,+1.9,20,18,9,0,32,Matches
Lucas Esteves,brBRA,"DF,MF",24-087,21.6,790,1009,78.3,12622,4552,403,440,91.6,332,410,81.0,41,111,36.9,1,1.4,1.4,-0.4,19,59,12,10,77,Matches
Willean Lepo,brBRA,DF,27-247,18.0,683,895,76.3,11005,4418,335,390,85.9,287,345,83.2,41,93,44.1,0,1.3,1.6,-1.3,18,40,12,8,66,Matches
Luan Silva,brBRA,MF,25-128,13.6,465,525,88.6,8115,1928,195,210,92.9,223,244,91.4,34,47,72.3,0,0.2,0.2,-0.2,5,19,2,1,32,Matches
Osvaldo,brBRA,"MF,FW",37-161,11.9,237,331,71.6,3883,1158,119,142,83.8,81,109,74.3,24,46,52.2,0,1.6,1.2,-1.6,19,15,11,6,37,Matches
Léo Naldi,brBRA,MF,23-032,11.6,303,376,80.6,5270,1623,134,160,83.8,137,159,86.2,25,34,73.5,0,0.2,0.2,-0.2,7,41,2,1,42,Matches
Janderson,brBRA,"FW,MF",25-136,10.0,162,241,67.2,2239,428,101,129,78.3,44,63,69.8,10,19,52.6,1,1.0,0.5,0.0,7,12,2,1,12,Matches
Caio Vinícius,brBRA,"DF,MF",25-252,6.7,296,335,88.4,5530,1679,112,124,90.3,159,169,94.1,23,35,65.7,0,0.0,0.1,0.0,0,23,1,1,27,Matches
Raúl Cáceres,pyPAR,"DF,MF",33-001,8.0,256,371,69.0,4074,1540,138,160,86.3,94,138,68.1,17,49,34.7,1,1.4,1.1,-0.4,13,15,12,9,18,Matches
Patric Calmon PK,brBRA,DF,30-076,5.5,195,258,75.6,3133,1067,99,112,88.4,79,107,73.8,13,26,50.0,1,0.7,0.7,+0.3,4,13,5,5,22,Matches
Neris,brBRA,DF,32-094,5.1,196,233,84.1,4245,1609,49,54,90.7,120,134,89.6,27,45,60.0,0,0.0,0.0,0.0,0,14,0,0,10,Matches
Ricardo,brBRA,MF,30-205,4.7,136,178,76.4,2402,677,53,66,80.3,65,76,85.5,12,24,50.0,0,0.1,0.2,-0.1,4,10,3,1,19,Matches
Camutanga,brBRA,DF,30-358,5.0,163,194,84.0,3233,1284,51,57,89.5,100,107,93.5,12,26,46.2,0,0.0,0.0,0.0,0,6,0,0,10,Matches
Bruno Uvini,brBRA,DF,33-108,4.8,170,199,85.4,3149,975,52,59,88.1,106,116,91.4,10,20,50.0,0,0.0,0.0,0.0,0,6,0,0,12,Matches
Machado,brBRA,MF,28-243,4.6,154,190,81.1,3191,1095,65,72,90.3,53,65,81.5,33,46,71.7,0,0.3,0.6,-0.3,5,16,3,1,19,Matches
Zeca,brBRA,DF,30-126,4.3,170,228,74.6,2646,1087,97,100,97.0,59,79,74.7,10,32,31.3,0,0.2,0.3,-0.2,4,11,6,4,17,Matches
Rodrigo Andrade,brBRA,"MF,FW",27-107,4.3,148,181,81.8,2486,870,70,79,88.6,54,64,84.4,19,24,79.2,0,0.2,0.3,-0.2,3,13,0,0,15,Matches
Dudu,brBRA,MF,25-106,3.3,133,174,76.4,2330,1092,56,68,82.4,65,77,84.4,10,19,52.6,0,0.1,0.1,-0.1,3,27,3,0,30,Matches
Jean Mota,brBRA,MF,30-340,4.1,172,234,73.5,3004,989,85,96,88.5,61,74,82.4,21,47,44.7,0,0.8,1.2,-0.8,9,18,6,3,25,Matches
Reynaldo Cesar Moraes,brBRA,DF,27-260,4.0,94,122,77.0,1730,642,29,32,90.6,57,67,85.1,6,16,37.5,0,0.0,0.0,0.0,0,4,0,0,5,Matches
Carlos Eduardo,brBRA,"FW,MF",27-345,3.2,46,62,74.2,801,228,25,30,83.3,16,21,76.2,4,6,66.7,0,0.0,0.2,0.0,1,7,0,0,5,Matches
Erick Castillo,ecECU,"FW,MF",29-227,3.0,37,50,74.0,512,118,17,22,77.3,16,19,84.2,1,2,50.0,0,0.0,0.1,0.0,1,2,0,0,2,Matches
Mateus Gonçalves Martins,brBRA,"MF,FW",29-357,2.3,46,59,78.0,864,191,20,25,80.0,18,23,78.3,7,8,87.5,0,0.4,0.2,-0.4,7,4,3,2,5,Matches
Luiz Adriano,brBRA,FW,37-160,2.2,32,45,71.1,426,67,13,18,72.2,13,16,81.3,0,1,0.0,1,0.1,0.1,+0.9,2,3,1,0,4,Matches
Everaldo,brBRA,"MF,FW",30-114,1.6,36,45,80.0,589,102,19,20,95.0,13,15,86.7,3,7,42.9,0,0.0,0.1,0.0,1,1,0,0,4,Matches
Daniel Jr,brBRA,"MF,FW",22-133,1.5,57,69,82.6,958,231,25,29,86.2,23,24,95.8,6,9,66.7,0,0.5,0.6,-0.5,7,6,1,1,4,Matches
Gustavo Mosquito,brBRA,FW,27-012,1.3,20,24,83.3,279,76,14,14,100.0,3,5,60.0,2,2,100.0,1,0.6,0.4,+0.4,3,1,1,0,2,Matches
José Hugo,brBRA,"MF,FW",24-338,5.6,110,159,69.2,1797,431,61,72,84.7,33,44,75.0,14,21,66.7,2,0.8,0.9,+1.2,8,8,9,7,16,Matches
EDU,brBRA,DF,24-095,1.5,33,40,82.5,769,348,6,7,85.7,19,20,95.0,7,10,70.0,0,0.0,0.0,0.0,0,2,0,0,3,Matches
Iury de Castilho,brBRA,"FW,MF",29-013,1.4,25,29,86.2,329,115,13,14,92.9,8,9,88.9,1,1,100.0,0,0.0,0.0,0.0,1,0,2,0,8,Matches
Fábio Soares,brBRA,MF,19-291,1.0,17,28,60.7,241,83,11,13,84.6,4,5,80.0,2,4,50.0,0,0.0,0.1,0.0,1,0,2,1,1,Matches
Lawan,brBRA,FW,19-117,1.0,9,16,56.3,122,15,5,8,62.5,4,5,80.0,0,0,,0,0.4,0.2,-0.4,1,0,0,0,1,Matches
Pablo Baianinho,brBRA,"MF,DF",21-047,0.3,6,11,54.5,86,47,4,4,100.0,2,4,50.0,0,2,0.0,0,0.0,0.0,0.0,1,0,0,0,0,Matches
Léo Gamalho,brBRA,FW,38-233,0.2,10,10,100.0,144,34,6,6,100.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,2,Matches
Luis Miguel,brBRA,"MF,FW",19-228,0.2,4,5,80.0,48,8,3,4,75.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,1,Matches
