Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Adriano Martins,brBRA,DF,27-171,22.6,934,902,27,26,0,19,6,0,0,0,0,0,778,5,8,Matches
Guilherme Romão,brBRA,DF,26-348,22.5,1069,846,219,10,0,0,56,209,0,0,0,0,759,4,18,Matches
Luiz Fernando,brBRA,"FW,MF",27-339,21.9,581,565,15,4,2,8,24,6,0,0,0,0,427,1,29,Matches
Ronaldo,brBRA,GK,28-028,22.0,592,372,220,47,0,1,0,0,0,0,0,0,400,0,1,Matches
Shaylon,brBRA,"FW,MF",27-145,19.2,870,734,128,52,4,4,103,7,52,26,22,0,645,8,15,Matches
Gabriel Baralhas,brBRA,MF,25-345,16.6,622,601,16,11,1,11,10,4,0,0,0,0,508,5,13,Matches
Rhaldney,brBRA,MF,25-304,16.4,791,767,24,20,0,11,4,2,0,0,0,0,701,0,12,Matches
Maguinho,brBRA,DF,31-257,15.1,749,603,145,7,0,1,51,138,0,0,0,0,553,1,14,Matches
Alix Vinicius,brBRA,DF,24-318,12.7,485,456,28,25,0,6,1,3,0,0,0,0,417,1,2,Matches
Emiliano Rodríguez,uyURU,FW,21-065,12.2,224,208,14,0,0,0,7,0,0,0,0,0,141,2,9,Matches
Lucas Kal,brBRA,"MF,DF",28-187,12.8,571,551,20,13,1,12,7,3,0,0,0,0,462,0,6,Matches
Alejo Cruz,uyURU,"MF,FW",24-018,13.2,577,471,103,31,2,2,107,25,47,19,23,0,408,3,21,Matches
Luiz Felipe,brBRA,DF,31-010,9.1,310,292,18,17,0,1,1,1,0,0,0,0,254,0,2,Matches
Bruno Tubarão,brBRA,DF,29-198,8.1,411,351,59,4,0,0,33,55,0,0,0,0,307,1,12,Matches
Budiga Roni,brBRA,"MF,DF",25-157,7.9,335,312,22,2,0,6,6,19,0,0,0,0,268,1,9,Matches
Pedrão,brBRA,DF,31-276,6.1,307,299,8,7,0,3,0,0,0,0,0,0,266,0,0,Matches
Gonzalo Freitas,uyURU,MF,32-353,6.0,192,185,7,4,0,3,1,3,0,0,0,0,153,0,6,Matches
Janderson,brBRA,"FW,MF",25-206,5.9,187,158,29,6,0,2,51,9,14,2,12,0,125,0,9,Matches
Joel Campbell,crCRC,"MF,FW",32-085,4.7,206,194,12,2,2,4,15,3,3,0,3,0,164,0,8,Matches
Derek,brBRA,FW,26-292,4.5,68,57,11,2,0,0,2,0,0,0,0,0,50,0,4,Matches
Jan Carlos Hurtado,veVEN,FW,24-198,4.3,69,60,9,0,1,0,1,0,0,0,0,0,54,0,4,Matches
Pedro Rangel,brBRA,GK,24-082,4.0,146,116,30,5,0,0,0,0,0,0,0,0,110,0,0,Matches
Vágner Love,brBRA,"FW,MF",40-100,2.0,36,34,2,0,0,0,2,1,0,0,0,0,28,0,3,Matches
Yony González,coCOL,"FW,MF",30-070,3.0,80,76,4,0,0,1,14,1,0,0,0,0,53,0,3,Matches
Yeferson Rodallega,coCOL,DF,23-301,1.2,54,42,12,1,0,0,4,11,0,0,0,0,38,0,0,Matches
Philipe Sampaio,brBRA,DF,29-313,1.0,77,77,0,0,0,1,1,0,0,0,0,0,70,0,0,Matches
Gabriel Barros,brBRA,"FW,MF",22-330,0.9,24,23,1,0,0,1,2,1,0,0,0,0,18,0,1,Matches
Dé Marcão,brBRA,DF,23-127,0.8,20,18,1,1,0,0,0,0,0,0,0,0,8,1,1,Matches
Luiz Gustavo,brBRA,DF,21-112,0.5,23,21,2,2,0,0,0,0,0,0,0,0,15,0,0,Matches
Max,brBRA,"FW,MF",22-083,2.9,93,91,2,0,0,0,11,0,0,0,0,0,71,0,5,Matches
Danielzinho,brBRA,"MF,FW",28-252,1.1,112,106,6,1,0,0,6,2,2,1,0,0,92,0,1,Matches
Jorginho,brBRA,"MF,FW",33-258,0.8,25,22,2,0,0,0,2,1,1,0,0,0,17,1,0,Matches
Rafael Haller,uyURU,DF,24-033,0.6,26,21,5,0,0,0,3,5,0,0,0,0,16,0,1,Matches
Mateo Zuleta,coCOL,"FW,MF",22-104,0.5,32,32,0,0,0,0,3,0,0,0,0,0,25,0,0,Matches
Matías Lacava,veVEN,MF,21-331,0.4,17,15,2,0,0,0,3,1,1,0,0,0,11,0,2,Matches
Gustavo Campanharo,brBRA,MF,32-168,0.2,22,21,1,1,0,0,0,0,0,0,0,0,21,0,0,Matches
Eli,brBRA,FW,20-180,0.2,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
Randerson,brBRA,MF,20-191,0.2,13,13,0,0,0,0,0,0,0,0,0,0,9,0,1,Matches
Squad Total,,,27.3,26.0,10958,9720,1204,301,13,97,537,510,120,48,60,0,8450,34,220,
Opponent Total,,,28.2,26.0,12622,11409,1185,326,31,110,482,458,145,54,55,3,10123,28,248,
