Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Paulinho,brBRA,"FW,MF",24-066,18.9,716,692,21,2,1,2,13,8,6,0,0,0,618,3,16,Matches
Gustavo Scarpa,brBRA,"DF,MF",30-258,18.6,1196,1016,176,23,2,32,183,91,62,21,18,8,906,4,28,Matches
Rodrigo Battaglia,arARG,"DF,MF",33-069,18.4,1121,1056,64,62,0,1,2,2,0,0,0,0,1003,1,7,Matches
Renzo Saravia,arARG,DF,31-095,15.7,1170,1073,93,17,0,3,40,75,1,0,0,0,996,4,20,Matches
Bruno Fuchs,brBRA,DF,25-171,15.2,1045,1005,38,27,2,9,7,11,0,0,0,0,929,2,4,Matches
Hulk,brBRA,FW,38-056,14.0,408,342,65,15,3,8,17,8,11,1,2,1,312,1,12,Matches
Otávio,brBRA,MF,30-138,13.9,829,808,20,19,1,4,6,1,0,0,0,0,748,1,7,Matches
Éverson,brBRA,GK,34-059,14.0,394,308,86,11,0,0,0,0,0,0,0,0,324,0,0,Matches
Alan Franco,ecECU,MF,26-029,13.0,565,546,15,8,1,1,9,3,4,0,1,0,486,4,6,Matches
Guilherme Arana,brBRA,DF,27-158,12.1,963,863,92,13,0,12,61,75,4,0,4,0,812,8,16,Matches
Carlos Eduardo,brBRA,"FW,MF",20-118,10.0,233,216,15,1,0,0,8,3,0,0,0,0,182,2,8,Matches
Matheus Mendes,brBRA,GK,25-193,10.0,285,203,82,11,0,1,0,0,0,0,0,0,242,0,0,Matches
Igor Gomes,brBRA,MF,25-186,9.1,493,467,24,11,2,3,23,3,10,5,2,0,401,2,7,Matches
Federico Zaracho,arARG,MF,26-193,8.0,336,321,14,8,0,4,5,6,0,0,0,0,289,1,4,Matches
Fausto Vera,arARG,MF,24-177,6.6,400,393,5,3,0,3,7,2,0,0,0,0,347,2,5,Matches
Bernard,brBRA,"MF,FW",32-011,6.2,335,313,21,7,0,2,23,2,12,6,2,0,268,1,4,Matches
Igor Rabello,brBRA,DF,29-144,6.2,370,358,12,12,0,1,0,0,0,0,0,0,325,0,0,Matches
Júnior Alonso,pyPAR,DF,31-223,5.6,418,401,16,9,0,2,5,7,0,0,0,0,356,1,3,Matches
Rômulo,brBRA,DF,20-232,5.5,327,307,19,4,0,3,3,15,0,0,0,0,263,1,3,Matches
Eduardo Vargas,clCHI,"FW,MF",34-304,5.6,164,157,7,0,0,3,3,2,0,0,0,0,136,0,8,Matches
Alisson,brBRA,"DF,MF",18-364,5.3,213,195,18,2,0,13,26,8,8,6,0,0,155,0,5,Matches
Brahian Palacios,coCOL,"DF,MF",21-300,5.3,196,175,20,3,0,0,18,13,4,2,0,0,155,1,6,Matches
Mariano,brBRA,DF,38-088,3.6,283,250,33,6,1,3,7,27,0,0,0,0,236,0,3,Matches
Mauricio Lemos,uyURU,DF,28-266,3.2,211,195,15,5,0,4,0,10,0,0,0,0,180,1,0,Matches
Lyanco,brBRA,DF,27-231,3.5,226,209,16,10,0,4,6,6,0,0,0,0,190,1,2,Matches
Paulo Vitor,brBRA,MF,20-024,3.0,135,134,1,1,0,0,0,0,0,0,0,0,106,0,2,Matches
Rubens,brBRA,"DF,FW",23-090,2.8,148,126,22,2,0,3,14,20,0,0,0,0,109,0,4,Matches
Jemerson,brBRA,DF,32-026,2.3,127,118,8,8,0,0,1,0,0,0,0,0,109,1,1,Matches
Deyverson,brBRA,FW,33-134,2.5,46,41,5,0,0,0,1,0,0,0,0,0,33,0,2,Matches
Pedrinho,brBRA,"MF,DF",26-159,2.3,142,139,3,0,1,2,4,1,2,0,0,0,121,0,2,Matches
Alan Kardec,brBRA,"FW,DF",35-251,0.9,15,12,2,0,0,0,0,0,0,0,0,0,11,1,0,Matches
Robert Conceição,brBRA,"MF,DF",21-061,0.1,17,17,0,0,0,1,1,0,0,0,0,0,12,0,0,Matches
Isaac,brBRA,FW,20-177,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Victor Hugo,brBRA,MF,19-313,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Squad Total,,,28.6,24.0,13531,12460,1028,300,14,124,493,399,124,41,29,9,11363,43,185,
Opponent Total,,,28.9,24.0,9134,8021,1092,352,30,53,357,394,100,39,45,2,7053,21,187,
