Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Marcos Felipe,brBRA,GK,28-159,26.0,1004,756,245,80,1,15,0,0,0,0,0,0,852,3,0,Matches
Jean Lucas,brBRA,MF,26-089,23.4,921,884,34,16,4,13,12,18,0,0,0,0,784,3,26,Matches
Gabriel,brBRA,DF,23-136,24.0,1539,1472,66,54,0,16,1,4,0,0,0,0,1355,1,10,Matches
Caio Alexandre,brBRA,MF,25-208,22.3,1737,1650,83,73,3,16,17,9,0,0,0,0,1578,4,12,Matches
Cauly Oliveira Souza,brBRA,"MF,FW",29-004,21.3,980,890,86,26,3,3,70,3,38,1,33,0,786,4,17,Matches
Luciano Juba,brBRA,DF,25-021,22.9,1514,1319,186,38,1,12,80,122,26,8,13,0,1253,9,19,Matches
Everton Ribeiro,brBRA,MF,35-162,20.2,1307,1246,54,18,10,6,25,8,19,2,0,0,1107,7,24,Matches
Thaciano,brBRA,FW,29-130,19.2,435,420,11,0,2,5,9,2,1,0,1,0,363,4,8,Matches
Everaldo Stum,brBRA,FW,33-076,17.7,376,368,7,1,2,3,27,1,0,0,0,0,262,1,15,Matches
Kanu,brBRA,DF,27-196,20.0,1256,1218,38,36,0,9,0,1,0,0,0,0,1186,0,6,Matches
Santiago Arias,coCOL,DF,32-250,14.2,829,708,120,4,0,1,46,116,0,0,0,0,690,1,24,Matches
Gilberto,brBRA,DF,31-196,10.3,739,649,89,8,1,4,32,81,0,0,0,0,626,1,15,Matches
Víctor Cuesta,arARG,DF,35-305,5.1,303,290,13,12,0,0,1,0,0,0,0,0,274,0,1,Matches
Ademir Santos,brBRA,"FW,MF",29-216,6.0,224,213,10,0,0,1,23,8,1,0,1,0,170,1,6,Matches
Rezende,brBRA,"MF,DF",29-261,5.9,283,272,11,11,0,0,0,0,0,0,0,0,265,0,2,Matches
Biel,brBRA,"FW,MF",23-171,7.7,259,243,13,0,3,3,15,5,8,3,5,0,198,3,12,Matches
Carlos de Pena,uyURU,MF,32-192,6.0,458,391,65,27,3,7,45,7,28,14,13,0,343,2,5,Matches
Iago,brBRA,"DF,MF",27-180,4.1,261,233,27,4,0,0,7,23,0,0,0,0,234,1,3,Matches
Oscar Estupiñan,coCOL,"FW,MF",27-265,2.8,47,45,2,0,0,0,0,0,0,0,0,0,38,0,0,Matches
Luciano Rodríguez,uyURU,FW,21-065,1.9,44,41,3,0,1,0,2,0,0,0,0,0,30,0,1,Matches
Cicinho,bgBUL,"DF,FW",35-268,0.9,107,96,11,4,0,1,2,7,0,0,0,0,95,0,3,Matches
David Duarte,brBRA,DF,29-239,0.8,46,45,1,1,0,0,0,0,0,0,0,0,41,0,0,Matches
Rafael Ratão,brBRA,"FW,MF",28-294,2.4,98,94,4,1,1,0,3,2,0,0,0,0,77,0,4,Matches
Yago,brBRA,MF,29-229,0.3,20,17,2,1,0,0,0,1,0,0,0,0,16,1,1,Matches
Vitor Hugo,brBRA,DF,33-122,0.2,11,11,0,0,0,0,0,0,0,0,0,0,10,0,0,Matches
Tiago,brBRA,FW,19-164,0.1,4,4,0,0,0,0,1,0,0,0,0,0,3,0,0,Matches
Ruan Pablo,brBRA,MF,16-058,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Squad Total,,,28.6,26.0,14804,13577,1181,415,35,115,418,418,121,28,66,0,12637,46,214,
Opponent Total,,,28.2,26.0,11587,10377,1131,319,40,111,478,451,115,48,46,3,9376,79,191,
