Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Walter,brBRA,GK,36-306,24.0,651,402,245,53,0,0,0,0,0,0,0,0,494,4,1,Matches
Marllon Borges,brBRA,DF,32-156,23.0,952,911,40,40,0,1,1,0,0,0,0,0,837,1,9,Matches
Isidro Pitta,pyPAR,FW,25-036,21.3,415,356,56,0,0,3,15,6,0,0,0,0,289,3,17,Matches
Alan Empereur,brBRA,DF,30-193,20.8,1155,1077,72,62,1,20,10,8,2,0,0,0,969,6,5,Matches
Lucas Mineiro,brBRA,MF,28-208,19.9,777,735,42,39,2,8,0,2,0,0,0,0,676,0,9,Matches
Denilson,brBRA,MF,23-180,16.5,723,707,13,7,8,4,22,3,3,2,0,0,625,3,13,Matches
Ramon,brBRA,DF,23-190,17.4,777,626,149,9,2,0,65,137,3,1,2,0,583,2,22,Matches
Matheus Alexandre,brBRA,DF,25-165,16.3,770,616,153,6,0,3,37,147,0,0,0,0,593,1,27,Matches
Clayson,brBRA,"FW,MF",29-184,12.5,404,362,41,7,1,0,50,5,28,10,11,0,288,1,15,Matches
Jonathan Cafu,brBRA,"FW,MF",33-071,13.1,368,361,6,2,0,1,43,4,0,0,0,0,274,1,18,Matches
Max,brBRA,MF,23-130,11.2,428,382,43,14,1,4,41,3,26,10,7,1,300,3,14,Matches
Fernando Sobral,brBRA,MF,29-277,12.6,620,553,61,24,2,5,55,18,19,5,11,0,479,6,13,Matches
Bruno Fabiano Alves,brBRA,DF,33-156,10.4,421,400,21,20,0,0,2,0,0,0,0,0,372,0,3,Matches
Derik Lacerda,brBRA,"FW,MF",24-358,10.4,241,233,8,2,1,0,6,5,0,0,0,0,191,0,5,Matches
Railan,brBRA,"DF,FW",24-193,8.9,442,376,65,6,0,5,25,59,0,0,0,0,346,1,10,Matches
Lucas Fernandes,brBRA,"MF,FW",26-365,6.6,277,255,22,8,1,2,22,1,13,5,6,0,230,0,5,Matches
Rikelme,brBRA,DF,21-065,5.5,202,159,43,6,0,1,18,33,4,3,0,0,141,0,4,Matches
Filipe Augusto,brBRA,MF,31-038,4.3,227,222,5,5,1,2,0,0,0,0,0,0,200,0,0,Matches
Juan Pablo,brBRA,DF,22-147,2.8,113,95,18,0,0,1,6,18,0,0,0,0,92,0,7,Matches
André Luis,brBRA,"FW,MF",27-151,4.6,156,146,9,1,2,0,3,6,0,0,0,0,124,1,7,Matches
Deyverson,brBRA,FW,33-134,2.4,53,45,8,1,0,3,0,0,0,0,0,0,33,0,1,Matches
Gabriel Knesowitsch,brBRA,DF,20-337,2.2,92,89,3,3,0,0,0,0,0,0,0,0,77,0,1,Matches
Eliel Chrystian,brBRA,"FW,MF",21-237,3.6,44,43,1,0,0,0,4,1,0,0,0,0,27,0,5,Matches
Mateus Pasinato,brBRA,GK,32-083,1.0,26,15,11,0,0,0,0,0,0,0,0,0,17,0,0,Matches
Allyson Aires dos Santos,brBRA,DF,33-332,1.0,37,36,1,0,0,0,0,1,0,0,0,0,35,0,1,Matches
Guilherme Madruga,brBRA,"MF,FW",23-313,1.2,57,54,2,0,0,1,2,2,0,0,0,0,44,1,3,Matches
Luciano Giménez,arARG,"FW,MF",24-214,0.8,9,8,1,0,0,0,0,0,0,0,0,0,8,0,0,Matches
Gustavo Sauer,brBRA,"MF,FW",31-142,0.5,12,9,3,1,0,0,3,0,2,2,0,0,6,0,0,Matches
Jadson,brBRA,MF,19-040,0.2,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
Squad Total,,,28.4,25.0,10453,9277,1142,316,22,64,430,459,100,38,37,1,8354,34,215,
Opponent Total,,,28.2,25.0,13448,12219,1183,316,21,135,557,510,136,48,49,1,11260,46,230,
