Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Fábio,brBRA,GK,43-355,25.0,628,403,225,36,0,1,0,0,0,0,0,0,473,0,1,Matches
Martinelli,brBRA,"MF,DF",23-132,18.4,1076,1032,44,36,0,13,4,3,0,0,0,0,968,0,10,Matches
Ganso,brBRA,MF,34-343,17.8,1125,1013,112,60,3,0,52,20,32,11,14,0,974,0,14,Matches
Samuel Xavier,brBRA,DF,34-105,17.8,1025,850,174,16,0,7,25,157,1,0,0,0,879,1,12,Matches
Jhon Arias,coCOL,FW,26-364,14.9,655,608,44,12,1,0,54,11,21,5,14,0,555,3,17,Matches
Germán Cano,arARG,FW,36-230,12.4,187,157,30,0,0,6,3,1,0,0,0,0,145,0,6,Matches
Marquinhos,brBRA,"FW,DF",21-165,12.7,580,525,55,7,0,10,49,47,1,0,1,0,442,0,22,Matches
Thiago dos Santos,brBRA,DF,35-014,12.9,822,767,54,34,0,3,1,15,0,0,0,0,698,1,8,Matches
André,brBRA,MF,23-065,11.9,732,712,20,19,0,5,0,1,0,0,0,0,690,0,6,Matches
Diogo Barbosa,brBRA,DF,32-033,11.6,628,531,95,6,0,1,24,89,0,0,0,0,526,2,11,Matches
Marcelo,brBRA,DF,36-130,9.4,607,486,116,31,1,10,50,68,17,4,12,0,462,5,11,Matches
Lima,brBRA,"MF,FW",28-100,10.8,548,503,39,22,1,4,15,5,12,4,5,0,471,6,12,Matches
Antonio Carlos,brBRA,DF,31-196,10.0,639,615,22,19,0,7,3,0,0,0,0,0,555,2,4,Matches
Keno,brBRA,"FW,MF",35-009,9.4,277,267,10,1,0,0,28,5,3,2,0,0,192,0,16,Matches
Kauã Elias,brBRA,FW,18-175,8.9,219,204,14,0,1,1,2,1,0,0,0,0,168,1,9,Matches
Thiago Silva,brBRA,DF,39-363,8.0,420,383,37,35,1,4,0,0,0,0,0,0,381,0,1,Matches
Alexsander,brBRA,MF,20-347,8.8,457,437,19,10,0,5,7,8,1,1,0,0,392,1,12,Matches
Felipe Melo,brBRA,DF,41-085,4.6,215,208,7,7,1,2,0,0,0,0,0,0,184,0,1,Matches
Manoel,brBRA,DF,34-206,5.5,270,251,19,19,0,2,0,0,0,0,0,0,234,0,2,Matches
John Kennedy,brBRA,"FW,MF",22-124,7.3,144,134,10,2,0,1,2,0,0,0,0,0,112,0,5,Matches
Kevin Serna,coCOL,FW,26-277,4.6,125,124,1,0,0,1,13,1,0,0,0,0,89,0,2,Matches
Marlon,brBRA,DF,29-012,3.9,273,261,12,11,0,4,0,1,0,0,0,0,245,0,2,Matches
Guga,brBRA,DF,26-021,2.9,158,122,35,3,0,0,3,32,0,0,0,0,134,1,3,Matches
Gabriel,brBRA,MF,31-001,2.6,235,224,11,9,1,1,3,1,1,1,0,0,190,0,6,Matches
Facundo Bernal,uyURU,MF,21-029,2.6,106,104,2,2,0,2,0,0,0,0,0,0,91,0,0,Matches
Renato Augusto,brBRA,"MF,FW",36-224,3.5,189,187,2,1,1,2,3,1,0,0,0,0,159,0,3,Matches
Douglas Costa,brBRA,FW,34-005,3.2,206,188,18,4,0,1,26,3,11,7,1,0,156,0,5,Matches
David Terans,uyURU,"MF,FW",30-039,2.4,84,73,11,2,0,0,8,2,6,2,4,0,66,0,0,Matches
Ignácio,brBRA,DF,27-293,2.0,129,122,7,6,0,0,0,1,0,0,0,0,116,0,1,Matches
Nonato,brBRA,MF,26-200,2.1,117,114,3,2,0,0,1,1,0,0,0,0,103,0,1,Matches
Isaac,brBRA,"FW,DF",20-148,1.7,33,32,1,0,0,0,2,1,0,0,0,0,27,0,1,Matches
Esquerdinha,brBRA,"DF,FW",18-204,1.4,78,58,20,4,0,0,10,15,1,0,1,0,59,0,1,Matches
Felipe Vieira,,"DF,MF",,1.8,89,87,2,2,0,0,1,0,0,0,0,0,78,0,2,Matches
Jan Lucumí González,coCOL,"FW,MF",20-221,1.0,40,36,4,3,0,0,3,1,0,0,0,0,35,0,2,Matches
Lucas Calegari,brBRA,DF,22-205,0.9,54,46,8,2,0,0,2,6,0,0,0,0,45,0,0,Matches
Gabriel Fuentes,coCOL,DF,27-223,0.1,10,9,1,0,0,0,0,1,0,0,0,0,6,0,0,Matches
Squad Total,,,31.0,25.0,13180,11873,1284,423,11,93,394,498,107,37,52,0,11100,23,209,
Opponent Total,,,28.3,25.0,10894,9733,1118,312,34,75,491,469,139,37,61,2,8631,43,222,
