Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
João Ricardo Riedi,brBRA,GK,36-013,26.0,687,400,283,74,0,3,0,0,0,0,0,0,455,4,0,Matches
Emanuel Brítez,arARG,DF,32-177,19.0,669,615,52,28,1,14,5,24,0,0,0,0,507,2,6,Matches
Guilherme Tinga,brBRA,DF,31-018,19.7,1021,827,190,33,0,4,55,156,1,1,0,0,703,4,25,Matches
Breno,brBRA,FW,28-239,16.6,521,500,20,8,0,6,54,0,12,12,0,0,415,1,15,Matches
Hércules,brBRA,MF,23-335,15.5,527,518,2,2,1,4,16,0,0,0,0,0,408,7,16,Matches
Tomas Pochettino,arARG,"MF,FW",28-231,14.9,526,442,80,31,5,14,105,4,43,7,31,1,349,4,18,Matches
Felipe Jonatan,brBRA,DF,26-217,15.7,753,595,156,30,1,2,45,122,4,1,0,0,567,2,18,Matches
Yago Pikachu,brBRA,"FW,MF",32-106,15.0,385,358,26,6,0,5,34,9,11,0,5,0,298,1,13,Matches
Juan Martín Lucero,arARG,FW,32-294,15.0,225,193,29,0,3,0,4,0,0,0,0,0,163,3,15,Matches
Titi,brBRA,DF,36-191,14.4,551,508,43,41,0,1,0,2,0,0,0,0,454,0,6,Matches
Lucas Sasha,brBRA,MF,34-202,13.4,431,413,18,15,1,1,4,0,2,0,0,0,360,0,6,Matches
Pedro Borges,brBRA,MF,27-200,12.5,460,453,7,6,1,2,1,1,0,0,0,0,370,0,7,Matches
Tomás Cardona,arARG,DF,28-345,12.0,499,484,14,14,0,3,0,0,0,0,0,0,388,1,3,Matches
Renato Kayser,brBRA,FW,28-215,10.6,198,174,23,4,1,0,2,2,0,0,0,0,135,1,4,Matches
Benjamín Kuscevic,clCHI,DF,28-140,10.6,396,370,25,23,0,4,1,1,0,0,0,0,321,1,3,Matches
Bruno Pacheco,brBRA,DF,32-286,10.7,443,355,84,9,1,3,14,75,0,0,0,0,313,4,6,Matches
Matheus Rossetto,brBRA,MF,28-108,7.5,500,481,18,14,0,4,1,4,0,0,0,0,458,1,9,Matches
José Welison,brBRA,MF,29-192,6.7,255,238,17,16,1,5,5,1,0,0,0,0,218,0,3,Matches
Marinho,brBRA,FW,34-113,6.6,188,159,29,10,0,6,32,1,18,5,7,1,124,0,11,Matches
Moises,brBRA,FW,28-017,6.6,185,177,6,2,2,5,2,4,0,0,0,0,125,2,10,Matches
Imanol Machuca,arARG,"FW,MF",24-248,4.8,177,158,19,1,0,1,29,1,16,8,7,0,119,0,10,Matches
Leandro Emmanuel Martínez,arARG,"MF,FW",30-107,4.0,197,182,14,2,0,0,14,3,9,1,7,0,162,1,2,Matches
Kervin Andrade,veVEN,MF,19-159,3.5,90,83,7,0,0,0,12,1,5,2,0,0,57,0,5,Matches
Eros Mancuso,arARG,DF,25-155,0.8,50,44,6,1,0,1,6,4,1,1,0,0,35,0,3,Matches
Kauan,brBRA,MF,19-156,0.6,36,34,2,1,0,0,0,1,0,0,0,0,33,0,1,Matches
Pedro Rocha Neves,brBRA,"FW,MF",29-355,0.5,21,18,2,0,0,1,3,0,2,1,0,0,14,1,1,Matches
Calebe,brBRA,"FW,MF",24-142,0.3,17,17,0,0,0,0,1,0,0,0,0,0,14,0,0,Matches
Luis Eduardo Marques dos Santos,brBRA,"FW,DF",27-112,0.2,11,10,1,0,0,1,1,1,0,0,0,0,6,0,0,Matches
Squad Total,,,30.5,26.0,10019,8806,1173,371,18,90,446,417,124,39,57,2,7571,40,216,
Opponent Total,,,27.8,26.0,13969,12649,1279,361,30,79,607,509,173,53,83,4,11378,41,276,
