Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
João Pedro,brBRA,DF,27-309,17.9,891,724,166,8,1,3,27,158,0,0,0,0,705,1,22,Matches
Dodi,brBRA,MF,28-155,16.1,464,453,10,10,1,0,4,0,0,0,0,0,398,1,3,Matches
Agustín Marchesín,arARG,GK,36-187,16.0,449,279,169,48,0,1,0,0,0,0,0,0,277,1,0,Matches
Franco Cristaldo,arARG,"MF,FW",28-035,15.4,798,660,136,50,6,7,91,5,71,21,25,1,613,2,15,Matches
Reinaldo,brBRA,"DF,MF",34-357,15.1,883,677,203,35,0,8,52,150,18,1,7,0,673,3,29,Matches
Mathías Villasanti,pyPAR,MF,27-239,15.0,767,709,57,52,3,2,8,4,1,0,0,0,664,1,11,Matches
Cristian Pavón,arARG,"FW,MF",28-242,9.7,389,371,18,1,0,4,42,5,12,0,1,0,275,0,10,Matches
Rodrigo Ely,brBRA,DF,30-321,12.9,566,532,33,31,0,5,0,2,0,0,0,0,456,1,1,Matches
Gustavo Martins Santos,brBRA,DF,22-039,11.5,566,560,6,5,0,1,0,1,0,0,0,0,490,0,3,Matches
Gustavo Nunes,brBRA,"FW,MF",18-304,13.8,490,473,16,4,5,2,22,4,8,0,0,0,353,1,24,Matches
Yeferson Soteldo,veVEN,"FW,MF",27-081,10.5,369,353,15,5,0,1,46,5,4,2,1,0,279,1,13,Matches
Edenílson,brBRA,"FW,MF",34-276,8.2,269,254,14,3,0,1,9,4,4,0,4,0,205,1,10,Matches
Walter Kannemann,arARG,DF,33-189,8.1,250,242,8,5,0,5,0,3,0,0,0,0,196,0,4,Matches
João Pedro Pepê,brBRA,MF,26-257,8.2,399,381,16,11,1,8,5,5,0,0,0,0,348,2,7,Matches
Fábio,brBRA,DF,34-072,7.5,363,287,74,6,1,4,21,68,0,0,0,0,271,2,7,Matches
João Pedro,itITA,FW,32-194,6.4,105,87,18,0,0,0,0,0,0,0,0,0,84,0,0,Matches
Du Queiroz,brBRA,MF,24-244,6.5,404,398,4,0,1,3,4,4,0,0,0,0,351,2,6,Matches
Miguel Monsalve,coCOL,"FW,MF",20-205,5.0,142,135,6,3,1,1,2,1,2,0,0,0,118,1,6,Matches
Nata,brBRA,DF,23-106,5.6,172,164,8,8,0,1,0,0,0,0,0,0,144,0,2,Matches
Pedro Geromel,brBRA,DF,38-364,5.3,278,269,9,6,0,0,2,3,0,0,0,0,233,0,1,Matches
Felipe Carballo,uyURU,MF,27-351,5.3,268,261,7,7,0,0,2,0,0,0,0,0,220,0,8,Matches
Rafael Cabral,brBRA,GK,34-122,5.0,150,97,53,7,0,0,0,0,0,0,0,0,99,0,0,Matches
Everton,brBRA,"FW,MF",27-186,5.1,112,102,10,1,0,2,2,2,2,2,0,0,89,0,6,Matches
Jemerson,brBRA,DF,32-026,3.8,107,102,5,5,0,2,0,0,0,0,0,0,83,0,2,Matches
Martin Braithwaite,dkDEN,FW,33-106,3.2,76,68,7,0,2,0,1,0,0,0,0,0,57,1,2,Matches
Nathan,brBRA,"FW,MF",28-190,3.6,91,86,4,0,0,1,2,0,1,1,0,0,69,1,3,Matches
Caíque,brBRA,GK,27-050,3.0,67,37,30,7,0,0,0,0,0,0,0,0,36,0,0,Matches
Mayk,brBRA,DF,25-019,2.8,141,114,27,3,0,0,3,24,0,0,0,0,105,0,3,Matches
Diego Costa,esESP,FW,35-348,2.3,48,42,6,0,0,0,1,0,0,0,0,0,36,0,1,Matches
Zé Guilherme,brBRA,DF,19-187,2.5,144,119,25,2,0,0,6,23,0,0,0,0,114,0,5,Matches
Cuiabano,brBRA,DF,21-216,1.8,106,83,23,3,0,0,2,20,0,0,0,0,77,0,6,Matches
Nathan Fernandes,brBRA,"FW,MF",19-216,5.2,157,147,9,0,3,4,3,4,5,0,0,0,124,1,6,Matches
Rodrigo Caio,brBRA,DF,31-033,1.2,45,38,7,6,0,0,0,0,0,0,0,0,42,0,1,Matches
Alexander Aravena,clCHI,FW,22-013,1.0,22,21,1,0,0,0,2,1,0,0,0,0,17,0,0,Matches
Matias Arezo,uyURU,"FW,MF",21-303,0.8,31,29,1,0,0,0,0,0,0,0,0,0,22,1,0,Matches
Alysson Edward,brBRA,"MF,FW",18-137,0.5,19,17,2,2,0,0,1,0,0,0,0,0,18,0,1,Matches
Ronald,brBRA,"MF,DF",21-221,0.4,22,22,0,0,0,0,0,0,0,0,0,0,19,0,0,Matches
Squad Total,,,28.8,24.0,10620,9393,1203,334,25,66,360,496,128,27,38,1,8360,24,218,
Opponent Total,,,28.2,24.0,12099,11092,979,260,19,62,467,412,116,48,52,1,9859,28,229,
