Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Luan Cândido,brBRA,DF,23-230,19.0,742,652,90,18,0,2,4,72,0,0,0,0,594,0,5,Matches
Cleiton Schwengber,brBRA,GK,27-031,18.0,602,426,173,56,0,3,0,0,0,0,0,0,415,3,0,Matches
Lucas Evangelista,brBRA,MF,29-136,16.0,579,549,28,12,2,8,24,1,8,5,3,0,474,2,14,Matches
Henry Mosquera,coCOL,"FW,MF",22-309,16.7,365,353,12,1,0,3,27,4,6,0,0,0,279,0,13,Matches
Juninho Capixaba,brBRA,"DF,MF",27-075,13.1,757,628,129,27,1,8,23,99,1,0,1,0,581,0,17,Matches
Pedro Henrique,brBRA,DF,28-353,13.8,678,651,25,24,0,19,1,1,0,0,0,0,532,2,6,Matches
Eduardo Sasha,brBRA,FW,32-208,12.7,294,283,10,2,1,1,10,3,0,0,0,0,200,1,11,Matches
Helinho,brBRA,"FW,MF",24-147,12.2,568,496,69,19,8,8,71,14,35,18,11,0,390,3,15,Matches
Jadsom,brBRA,"MF,DF",23-122,11.3,488,432,50,9,1,5,12,41,0,0,0,0,381,6,11,Matches
Raul,brBRA,MF,28-070,11.8,542,520,21,18,1,10,2,2,0,0,0,0,454,1,7,Matches
Vitinho,brBRA,"FW,MF",25-171,12.9,496,416,77,8,2,3,81,25,37,18,2,0,333,3,21,Matches
Nathan Mendes,brBRA,DF,22-031,12.4,654,516,137,6,0,2,16,131,0,0,0,0,496,1,22,Matches
Douglas Mendes,brBRA,DF,20-098,12.3,460,409,51,24,2,6,6,27,0,0,0,0,340,0,8,Matches
Eric Ramires,brBRA,MF,24-040,11.5,431,412,19,5,1,1,10,3,1,1,0,0,362,0,9,Matches
Eduardo Santos,brBRA,DF,26-296,11.0,509,481,28,23,1,2,2,5,0,0,0,0,418,0,10,Matches
Lincoln,brBRA,"MF,FW",25-317,9.8,472,395,71,24,7,2,49,8,23,9,13,0,361,6,8,Matches
Gustavinho,brBRA,"MF,FW",20-149,8.8,323,291,31,10,0,2,41,0,20,5,13,0,227,1,10,Matches
Thiago Borbas,uyURU,FW,22-165,10.6,156,153,3,0,0,0,1,1,0,0,0,0,98,0,3,Matches
José Hurtado,ecECU,DF,22-271,6.7,306,248,58,0,1,0,24,58,0,0,0,0,207,0,8,Matches
Lucão,brBRA,GK,23-206,6.0,170,97,73,18,0,0,0,0,0,0,0,0,112,0,0,Matches
Jhonatan Jowjow,brBRA,"MF,FW",22-010,4.1,148,135,13,3,5,6,9,2,4,2,1,1,110,0,1,Matches
Lucas Cunha,brBRA,DF,27-240,4.7,160,151,9,7,2,1,0,1,0,0,0,0,130,0,0,Matches
Guilherme,brBRA,DF,22-218,4.5,181,135,45,1,0,0,21,43,0,0,0,0,112,1,3,Matches
Matheus Fernandes,brBRA,MF,26-081,3.6,130,122,8,5,1,0,0,2,0,0,0,0,100,0,8,Matches
Ignacio Laquintana,uyURU,"FW,MF",25-231,3.1,78,76,2,0,0,0,6,2,0,0,0,0,53,0,7,Matches
Vinicius Mendonça,brBRA,FW,20-212,2.1,63,62,1,0,1,0,9,1,0,0,0,0,45,0,5,Matches
Talisson,brBRA,FW,22-121,1.3,16,16,0,0,0,0,6,0,0,0,0,0,6,0,1,Matches
Fabrício,brBRA,GK,24-096,1.0,21,16,5,0,0,0,0,0,0,0,0,0,16,0,0,Matches
Leonardo Realpe,ecECU,DF,23-206,1.0,35,33,2,2,0,0,0,0,0,0,0,0,30,0,0,Matches
Bruninho,brBRA,"FW,MF",21-189,0.9,30,29,1,1,0,2,0,0,0,0,0,0,24,0,0,Matches
Everton,brBRA,FW,22-208,0.3,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
Juliano,brBRA,FW,16-202,0.3,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
Chumbinho,brBRA,"MF,FW",20-363,0.1,6,5,1,1,0,0,0,0,0,0,0,0,3,0,0,Matches
Riquelme,brBRA,MF,18-256,0.1,5,4,1,1,0,0,0,0,0,0,0,0,3,0,1,Matches
Squad Total,,,25.2,25.0,10473,9200,1243,325,37,94,455,546,135,58,44,1,7894,30,224,
Opponent Total,,,28.5,25.0,11676,10282,1341,366,15,111,540,568,157,50,66,1,9038,53,217,
