Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Robert Arboleda,ecECU,DF,32-333,20.7,1304,1262,42,40,0,3,0,0,0,0,0,0,1188,0,7,Matches
Jonathan Calleri,arARG,FW,30-362,17.6,331,314,16,0,1,3,19,0,0,0,0,0,212,1,16,Matches
Igor Vinícius de Souza,brBRA,DF,27-171,17.6,1111,943,165,23,0,1,70,116,26,0,21,0,950,3,22,Matches
Welington,brBRA,DF,23-213,16.9,877,731,145,27,0,5,60,114,4,0,2,0,721,1,16,Matches
Alan Franco,arARG,DF,27-344,15.5,993,968,24,21,0,7,0,2,0,0,0,0,897,1,10,Matches
Luciano,brBRA,"MF,FW",31-124,15.5,517,493,20,7,3,6,5,6,1,0,0,0,433,4,14,Matches
Alisson,brBRA,MF,31-086,15.0,1083,1032,47,38,2,14,13,2,0,0,0,0,970,4,10,Matches
Rafael Pires,brBRA,GK,35-088,15.0,411,288,123,23,0,4,0,0,0,0,0,0,322,0,1,Matches
Lucas Moura,brBRA,"FW,MF",32-037,14.5,627,589,32,8,4,3,25,13,6,3,1,0,494,6,8,Matches
Luiz Gustavo,brBRA,MF,37-058,14.7,904,879,25,23,2,1,7,2,0,0,0,0,824,0,8,Matches
Jandrei,brBRA,GK,31-202,11.0,420,311,109,20,0,3,0,0,0,0,0,0,317,0,0,Matches
Damián Bobadilla,pyPAR,MF,23-070,9.0,484,470,13,8,1,5,7,5,0,0,0,0,437,1,7,Matches
André Silva,brBRA,"FW,MF",27-108,10.2,244,237,6,0,0,3,11,1,0,0,0,0,178,1,13,Matches
Diego,brBRA,DF,25-060,9.9,659,628,29,18,0,5,5,11,0,0,0,0,579,2,6,Matches
Ferreira,brBRA,"FW,MF",26-263,9.4,391,349,42,9,2,0,43,5,26,11,8,0,318,0,11,Matches
Rodrigo Nestor,brBRA,"MF,FW",24-041,8.8,427,382,40,8,1,5,49,13,16,6,6,0,330,5,12,Matches
Nahuel Ferraresi,veVEN,DF,25-305,8.8,552,505,47,19,0,3,10,28,0,0,0,0,481,0,5,Matches
Wellington Rato,brBRA,"FW,MF",32-083,8.7,397,344,53,9,2,17,58,9,33,16,13,0,299,0,7,Matches
Michel Araujo,uyURU,"DF,FW",27-357,8.1,434,387,47,9,0,2,21,33,5,0,5,0,374,0,6,Matches
José Sabino,brBRA,DF,27-330,5.0,275,264,9,6,0,1,1,3,0,0,0,0,240,2,0,Matches
Patryck,brBRA,"DF,FW",21-245,4.3,207,163,44,4,0,0,13,38,2,0,1,0,162,0,5,Matches
Giuliano Galoppo,arARG,MF,25-093,4.1,170,158,9,5,0,3,6,0,1,0,1,0,133,3,2,Matches
Marcos Antônio,brBRA,MF,24-098,3.4,197,193,4,4,3,1,1,0,0,0,0,0,188,0,1,Matches
William Gomes,brBRA,"FW,MF",18-188,3.3,73,67,6,0,0,1,16,5,1,1,0,0,50,0,7,Matches
Juan Santos,brBRA,"FW,MF",22-197,2.9,71,62,6,2,0,0,0,0,0,0,0,0,51,3,4,Matches
Pablo Maia,brBRA,MF,22-253,2.9,200,194,4,3,0,2,0,1,0,0,0,0,182,2,3,Matches
Rafinha,brBRA,DF,39-012,2.6,207,174,33,9,0,3,5,24,0,0,0,0,179,0,5,Matches
João Moreira,ptPOR,"DF,MF",20-121,1.9,77,61,16,2,0,0,2,14,0,0,0,0,63,0,3,Matches
Erick,brBRA,"MF,FW",26-284,3.9,151,130,21,4,1,2,21,7,10,5,3,0,113,0,10,Matches
Liziero,brBRA,MF,26-225,1.1,78,72,5,5,0,1,1,0,0,0,0,0,67,1,1,Matches
Ruan,brBRA,DF,25-104,1.0,34,33,1,1,0,0,0,0,0,0,0,0,30,0,0,Matches
Santiago Longo,arARG,MF,26-160,0.8,19,19,0,0,0,1,0,0,0,0,0,0,17,0,0,Matches
Rodrigo,brBRA,MF,20-187,0.7,26,23,3,1,0,0,3,1,1,1,0,0,20,0,1,Matches
James Rodríguez,coCOL,MF,33-069,0.4,45,39,6,1,0,1,5,1,4,2,2,0,34,0,4,Matches
Jamal Lewis,nirNIR,DF,26-238,0.2,10,9,1,0,0,0,0,1,0,0,0,0,8,0,0,Matches
Henrique,brBRA,FW,17-315,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
Squad Total,,,29.0,26.0,14009,12776,1193,357,22,106,477,455,136,45,63,0,11864,40,225,
Opponent Total,,,28.4,26.0,11021,9878,1125,356,8,72,424,427,109,37,47,0,8901,18,210,
