Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Léo Jardim,brBRA,GK,29-183,25.0,652,385,265,58,0,2,0,0,0,0,0,0,457,2,0,Matches
Pablo Vegetti,arARG,FW,35-340,22.1,378,322,55,0,0,5,11,4,0,0,0,0,226,1,16,Matches
Paulo Henrique,brBRA,DF,28-056,20.6,923,744,175,10,3,7,68,165,0,0,0,0,692,4,23,Matches
Léo Pelé,brBRA,DF,28-197,20.0,842,824,16,14,0,1,3,2,0,0,0,0,713,2,5,Matches
Maicon,brBRA,DF,36-005,19.9,924,853,68,61,0,18,10,6,1,0,0,0,744,3,8,Matches
Lucas Piton,brBRA,DF,23-346,19.4,994,793,198,34,1,3,127,129,35,8,22,0,759,3,35,Matches
David,brBRA,FW,28-338,16.5,448,432,12,2,1,3,14,6,4,1,2,0,336,4,19,Matches
Hugo Moura,brBRA,MF,26-260,13.4,588,578,8,3,1,11,13,5,0,0,0,0,473,2,23,Matches
Mateus Cocão,brBRA,MF,22-185,14.6,720,685,30,25,0,7,6,5,0,0,0,0,615,5,13,Matches
Adson,brBRA,FW,23-349,13.6,622,604,15,2,3,1,22,8,5,3,0,0,528,3,19,Matches
Juan Sforza,arARG,MF,22-218,11.1,678,653,23,21,0,9,5,1,0,0,0,0,589,2,4,Matches
João Victor,brBRA,DF,26-064,9.3,469,433,34,19,0,2,2,15,0,0,0,0,401,2,4,Matches
Pablo Galdames Millán,clCHI,MF,27-264,8.5,369,345,23,14,0,2,15,1,8,1,6,0,306,1,5,Matches
Dimitri Payet,frFRA,MF,37-174,7.8,429,378,49,20,0,2,59,4,25,14,7,0,333,2,8,Matches
Rossi,brBRA,"FW,MF",31-150,5.6,163,140,23,6,0,0,49,2,15,0,13,0,92,0,12,Matches
Victor Luis,brBRA,DF,31-088,4.4,252,204,48,9,0,0,19,37,2,1,1,0,199,0,8,Matches
Rayan Vitor,brBRA,"FW,MF",18-047,5.9,124,116,7,0,1,2,8,2,3,2,0,0,92,1,3,Matches
João Pedro,brBRA,MF,19-153,4.8,157,155,2,2,0,2,1,0,0,0,0,0,128,0,4,Matches
Zé Gabriel,brBRA,MF,25-242,5.1,211,199,11,11,0,2,1,0,0,0,0,0,173,1,4,Matches
José Luis Rodríguez Bebanz,uyURU,DF,27-189,3.6,176,135,40,4,0,1,22,35,1,0,1,0,114,1,5,Matches
Bruno Praxedes,brBRA,MF,22-224,2.9,108,101,6,3,1,0,6,0,3,2,1,0,84,1,2,Matches
Emerson Rodríguez,coCOL,FW,24-025,2.8,78,75,3,0,1,1,12,2,1,0,0,0,51,0,3,Matches
Guilherme Estrella,brBRA,MF,19-150,1.6,46,42,4,2,0,0,2,1,1,0,1,0,36,0,2,Matches
Robert Rojas,pyPAR,DF,28-142,1.9,78,74,4,2,0,0,1,2,0,0,0,0,63,0,2,Matches
Gary Medel,clCHI,DF,37-047,1.2,75,71,4,4,0,0,0,0,0,0,0,0,67,0,0,Matches
Leandrinho,brBRA,"DF,FW",19-186,2.5,126,105,21,4,0,0,9,16,1,1,0,0,94,0,1,Matches
Clayton,brBRA,FW,25-252,1.6,29,26,3,0,0,0,2,1,0,0,0,0,21,0,1,Matches
Philippe Coutinho,brBRA,MF,32-099,1.3,78,71,6,1,1,0,7,2,3,3,0,0,52,1,1,Matches
Jean Meneses,clCHI,"FW,MF",31-187,1.2,34,34,0,0,0,0,2,0,0,0,0,0,30,0,0,Matches
Gabriel Souza,brBRA,FW,19-258,1.0,25,23,2,0,0,0,1,0,0,0,0,0,18,0,2,Matches
Josef de Souza,brBRA,MF,35-221,0.8,57,54,2,2,0,0,0,0,0,0,0,0,46,1,3,Matches
Erick Marcus,brBRA,"FW,MF",20-202,1.9,64,62,2,0,1,1,3,0,1,0,0,0,47,0,4,Matches
Lyncon,brBRA,DF,19-135,0.5,14,12,2,2,0,0,0,0,0,0,0,0,5,0,2,Matches
Sergio Antonio De Luiz Junior,brBRA,"FW,MF",29-166,0.5,12,11,1,1,0,0,3,0,0,0,0,0,5,0,0,Matches
Alex Teixeira,brBRA,FW,34-257,0.1,12,12,0,0,0,0,0,0,0,0,0,0,11,0,1,Matches
Bruno Lopes,brBRA,FW,17-056,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,28.1,25.0,10956,9752,1162,336,14,82,503,451,109,36,54,0,8600,42,242,
Opponent Total,,,28.4,25.0,12234,10973,1225,353,20,58,523,508,138,49,64,1,9960,36,206,
