,Pass Types,Corner Kicks,Outcomes,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out
18.9,brBRA,"FW,MF",24-061,716,692,21,2,1,2,13,8,6,0,0,0,618,3,16,Matches
18.3,brBRA,"DF,MF",30-253,1178,1001,173,23,2,30,179,89,61,21,17,8,893,4,28,Matches
17.4,arARG,"DF,MF",33-064,1070,1008,61,59,0,1,2,2,0,0,0,0,956,1,6,Matches
15.4,arARG,DF,31-090,1144,1050,90,17,0,3,38,72,1,0,0,0,973,4,20,Matches
14.2,brBRA,DF,25-166,985,947,36,25,2,9,7,11,0,0,0,0,872,2,4,Matches
13.9,brBRA,MF,30-133,829,808,20,19,1,4,6,1,0,0,0,0,748,1,7,Matches
13.0,brBRA,FW,38-051,373,312,60,14,3,8,17,8,11,1,2,1,288,1,12,Matches
13.0,brBRA,GK,34-054,368,294,74,11,0,0,0,0,0,0,0,0,303,0,0,Matches
13.0,ecECU,MF,26-024,565,546,15,8,1,1,9,3,4,0,1,0,486,4,6,Matches
12.1,brBRA,DF,27-153,963,863,92,13,0,12,61,75,4,0,4,0,812,8,16,Matches
10.0,brBRA,GK,25-188,285,203,82,11,0,1,0,0,0,0,0,0,242,0,0,Matches
9.3,brBRA,"FW,MF",20-113,223,207,15,1,0,0,8,3,0,0,0,0,175,1,7,Matches
8.0,arARG,MF,26-188,336,321,14,8,0,4,5,6,0,0,0,0,289,1,4,Matches
8.4,brBRA,MF,25-181,467,443,23,10,2,3,23,3,10,5,2,0,384,1,7,Matches
5.9,brBRA,"MF,FW",32-006,317,296,20,7,0,2,21,1,12,6,2,0,254,1,3,Matches
6.2,brBRA,DF,29-139,370,358,12,12,0,1,0,0,0,0,0,0,325,0,0,Matches
5.6,pyPAR,DF,31-218,418,401,16,9,0,2,5,7,0,0,0,0,356,1,3,Matches
5.6,arARG,MF,24-172,343,337,4,2,0,2,7,2,0,0,0,0,298,2,4,Matches
5.5,brBRA,DF,20-227,327,307,19,4,0,3,3,15,0,0,0,0,263,1,3,Matches
5.6,clCHI,"FW,MF",34-299,164,157,7,0,0,3,3,2,0,0,0,0,136,0,8,Matches
5.3,brBRA,"DF,MF",18-359,213,195,18,2,0,13,26,8,8,6,0,0,155,0,5,Matches
3.2,uyURU,DF,28-261,211,195,15,5,0,4,0,10,0,0,0,0,180,1,0,Matches
4.6,coCOL,"DF,MF",21-295,177,157,19,3,0,0,18,12,4,2,0,0,139,1,5,Matches
3.0,brBRA,MF,20-019,135,134,1,1,0,0,0,0,0,0,0,0,106,0,2,Matches
2.9,brBRA,DF,38-083,238,210,28,3,1,2,7,25,0,0,0,0,201,0,2,Matches
2.3,brBRA,DF,32-021,127,118,8,8,0,0,1,0,0,0,0,0,109,1,1,Matches
2.5,brBRA,DF,27-226,181,169,12,6,0,4,6,6,0,0,0,0,151,0,2,Matches
2.2,brBRA,FW,33-129,43,38,5,0,0,0,1,0,0,0,0,0,30,0,2,Matches
2.0,brBRA,"DF,FW",23-085,116,99,17,0,0,2,13,17,0,0,0,0,84,0,3,Matches
2.3,brBRA,"MF,DF",26-154,142,139,3,0,1,2,4,1,2,0,0,0,121,0,2,Matches
0.7,brBRA,"FW,DF",35-246,13,10,2,0,0,0,0,0,0,0,0,0,9,1,0,Matches
0.1,brBRA,"MF,DF",21-056,17,17,0,0,0,1,1,0,0,0,0,0,12,0,0,Matches
0.1,brBRA,FW,20-172,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
0.0,brBRA,MF,19-308,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
