Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Kaique Rocha,brBRA,DF,23-204,23,"1,946",85,90.1,21.6,22,88,21,1,11,1,1.30,24,25,-1,-0.05,+0.37,28.4,27.3,+1.0,+0.05,0.00,Matches
Erick,brBRA,"MF,DF",26-310,22,"1,687",77,78.1,18.7,20,81,14,2,39,2,1.36,23,20,+3,+0.16,+1.11,23.7,21.9,+1.8,+0.10,+0.22,Matches
Lucas Esquivel,arARG,DF,22-341,20,"1,603",80,74.2,17.8,18,86,14,2,24,2,1.35,19,18,+1,+0.06,+0.54,22.6,22.9,-0.3,-0.01,-0.24,Matches
Fernandinho,brBRA,MF,39-138,18,"1,365",76,63.2,15.2,16,82,12,2,24,0,1.61,21,15,+6,+0.40,+1.30,20.5,17.9,+2.6,+0.17,+0.34,Matches
Thiago Heleno,brBRA,DF,36-002,15,"1,305",87,60.4,14.5,15,87,14,0,,3,1.27,18,19,-1,-0.07,+0.04,18.3,17.6,+0.8,+0.05,+0.01,Matches
Leonardo Linck,brBRA,GK,23-200,14,"1,223",87,56.6,13.6,14,87,12,0,,8,0.93,15,21,-6,-0.44,-0.83,18.1,18.2,-0.1,-0.01,-0.13,Matches
Christian,brBRA,"MF,FW",23-275,17,"1,199",71,55.5,13.3,14,78,3,3,35,3,0.94,10,18,-8,-0.60,-1.16,14.6,15.6,-1.0,-0.08,-0.28,Matches
Leonardo Godoy,arARG,DF,29-144,18,"1,071",60,49.6,11.9,14,68,4,4,30,5,1.50,16,15,+1,+0.08,+0.33,17.0,15.0,+2.0,+0.16,+0.23,Matches
Bruno Zapelli,arARG,"MF,FW",22-125,22,"1,071",49,49.6,11.9,13,68,2,9,20,1,1.32,14,18,-4,-0.34,-0.50,16.6,20.0,-3.4,-0.29,-0.66,Matches
Julimar,brBRA,"FW,MF",23-238,23,"1,201",52,55.6,13.3,12,73,3,11,30,1,1.17,15,17,-2,-0.15,-0.15,17.1,19.0,-1.9,-0.14,-0.43,Matches
Mateo Gamarra,pyPAR,DF,23-335,13,"1,044",80,48.3,11.6,11,90,11,2,27,9,1.23,12,16,-4,-0.34,-0.51,16.8,17.1,-0.3,-0.02,-0.14,Matches
Tomás Cuello,arARG,"FW,MF",24-198,19,946,50,43.8,10.5,11,61,0,8,34,0,1.26,13,11,+2,+0.19,+0.49,16.3,10.3,+6.0,+0.57,+0.94,Matches
Agustín Canobbio,uyURU,"FW,MF",25-354,14,874,62,40.5,9.7,10,75,4,4,32,0,1.21,10,11,-1,-0.10,-0.03,13.3,12.3,+1.0,+0.10,+0.09,Matches
Nikão,brBRA,"FW,MF",32-052,15,870,58,40.3,9.7,10,74,1,5,26,2,1.07,11,9,+2,+0.21,+0.49,12.8,11.7,+1.1,+0.12,+0.12,Matches
Pablo,brBRA,"FW,MF",32-088,18,906,50,41.9,10.1,9,75,2,9,26,1,1.56,14,10,+4,+0.40,+0.83,14.5,10.9,+3.6,+0.36,+0.53,Matches
Gabriel,brBRA,MF,32-071,11,847,77,39.2,9.4,9,88,7,2,29,9,1.00,8,15,-7,-0.74,-1.09,13.9,13.4,+0.5,+0.05,0.00,Matches
Gonzalo Mastriani,uyURU,FW,31-144,16,784,49,36.3,8.7,9,73,1,7,18,4,1.06,8,8,0,0.00,+0.13,12.0,10.3,+1.6,+0.19,+0.22,Matches
Bento,brBRA,GK,25-101,7,630,90,29.2,7.0,7,90,7,0,,0,1.86,9,4,+5,+0.71,+1.13,8.1,7.6,+0.5,+0.07,+0.03,Matches
Lucas Di Yorio,arARG,FW,27-302,14,617,44,28.6,6.9,6,81,4,8,17,3,0.86,7,13,-6,-0.88,-1.11,9.4,12.6,-3.3,-0.48,-0.73,Matches
Fernando,brBRA,DF,25-005,8,520,65,24.1,5.8,6,81,3,2,19,12,1.38,8,10,-2,-0.35,-0.35,9.1,6.7,+2.3,+0.41,+0.47,Matches
Mádson,brBRA,DF,32-250,14,680,49,31.5,7.6,5,81,3,9,31,10,1.29,8,7,+1,+0.13,+0.31,8.6,8.7,0.0,0.00,-0.07,Matches
João Machado Cruz,brBRA,MF,18-130,7,384,55,17.8,4.3,5,67,0,2,25,7,0.71,6,4,+2,+0.47,+0.67,6.7,6.7,0.0,+0.01,-0.05,Matches
Mycael,brBRA,GK,20-191,5,305,61,14.1,3.4,3,90,3,2,18,14,0.83,3,4,-1,-0.30,-0.25,5.8,5.0,+0.8,+0.23,+0.21,Matches
Filipinho,brBRA,MF,22-337,8,175,22,8.1,1.9,3,45,0,5,8,6,1.50,0,3,-3,-1.54,-1.59,1.3,1.9,-0.7,-0.35,-0.43,Matches
Emersonn,brBRA,"FW,MF",20-065,4,161,40,7.5,1.8,2,55,0,2,26,0,1.50,2,3,-1,-0.56,-0.51,2.5,1.8,+0.7,+0.40,+0.38,Matches
José Vitor Silva Neves,brBRA,"MF,FW",24-140,9,176,20,8.1,2.0,0,,0,9,20,10,1.22,2,4,-2,-1.02,-1.02,1.8,4.2,-2.4,-1.20,-1.36,Matches
Alex Santana,brBRA,"MF,FW",29-129,4,101,25,4.7,1.1,0,,0,4,25,8,1.75,1,2,-1,-0.89,-0.85,0.6,1.0,-0.4,-0.31,-0.38,Matches
Bruno Praxedes,brBRA,"MF,FW",22-224,2,23,12,1.1,0.3,0,,0,2,12,1,0.50,0,0,0,0.00,+0.08,0.6,0.2,+0.4,+1.57,+1.54,Matches
Kayke Santos,brBRA,FW,16-146,1,3,3,0.1,0.0,0,,0,1,3,8,3.00,0,0,0,0.00,+0.08,0.0,0.0,0.0,+0.51,+0.46,Matches
Marcos André,brBRA,DF,18-088,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Lucas Belezi,brBRA,DF,21-134,0,,,,,0,,0,0,,13,,,,,,,,,,,,Matches
Bernardo Benítez,pyPAR,MF,21-310,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Derik,brBRA,DF,19-057,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Dudu,brBRA,MF,18-262,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Pedro Henrique,brBRA,DF,28-353,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Jader,brBRA,FW,21-057,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Gabriel Pereira,brBRA,GK,22-079,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Renan,brBRA,FW,21-232,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Diogo Riquelme,brBRA,MF,19-149,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Matheus Soares,brBRA,GK,19-253,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Marcos Victor,brBRA,DF,22-268,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,27.3,24,"2,160",90,100,24.0,264,79,145,117,24,170,1.25,27,29,-2,-0.08,,31.9,30.8,+1.2,+0.05,,
Opponent Total,,,28.0,24,"2,160",90,100,24.0,264,79,151,112,21,169,1.50,29,27,+2,+0.08,,30.8,31.9,-1.2,-0.05,,
