Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Adriano Martins,brBRA,DF,27-171,23,"2,031",88,86.8,22.6,23,88,21,0,,0,0.78,19,35,-16,-0.71,+0.75,26.8,28.6,-1.8,-0.08,+0.78,Matches
Guilherme Romão,brBRA,DF,26-348,23,"2,023",88,86.5,22.5,23,88,20,0,,0,0.52,18,38,-20,-0.89,-0.61,25.2,28.0,-2.9,-0.13,+0.39,Matches
Luiz Fernando,brBRA,"FW,MF",27-339,23,"1,974",86,84.4,21.9,23,86,15,0,,0,0.65,15,34,-19,-0.87,-0.37,22.0,25.9,-3.9,-0.18,+0.01,Matches
Ronaldo,brBRA,GK,28-028,22,"1,979",90,84.6,22.0,22,90,21,0,,0,0.77,20,34,-14,-0.64,+1.11,25.6,26.0,-0.4,-0.02,+1.05,Matches
Shaylon,brBRA,"FW,MF",27-145,24,"1,732",72,74.0,19.2,21,79,11,3,26,2,0.63,16,31,-15,-0.78,+0.11,21.1,24.8,-3.7,-0.19,-0.04,Matches
Gabriel Baralhas,brBRA,MF,25-345,22,"1,493",68,63.8,16.6,20,73,6,2,20,0,0.59,13,29,-16,-0.96,-0.43,18.1,19.2,-1.1,-0.07,+0.32,Matches
Rhaldney,brBRA,MF,25-304,21,"1,474",70,63.0,16.4,20,71,5,1,45,1,0.76,12,27,-15,-0.92,-0.29,15.6,19.8,-4.2,-0.26,-0.21,Matches
Maguinho,brBRA,DF,31-257,20,"1,358",68,58.0,15.1,17,79,7,3,7,4,0.70,13,23,-10,-0.66,+0.35,17.0,19.4,-2.4,-0.16,+0.06,Matches
Alix Vinicius,brBRA,DF,24-318,15,"1,142",76,48.8,12.7,14,81,10,1,10,0,0.47,9,20,-11,-0.87,-0.12,11.9,15.9,-4.0,-0.31,-0.26,Matches
Emiliano Rodríguez,uyURU,FW,21-065,21,"1,096",52,46.8,12.2,14,68,1,7,21,2,0.71,10,16,-6,-0.49,+0.59,14.1,11.1,+3.0,+0.25,+0.81,Matches
