Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Paulinho,brBRA,"FW,MF",24-066,21,"1,701",81,78.8,18.9,19,86,7,2,37,0,1.43,26,23,+3,+0.16,+1.53,22.1,20.4,+1.6,+0.09,-0.08,Matches
Gustavo Scarpa,brBRA,"DF,MF",30-258,22,"1,677",76,77.6,18.6,19,86,10,3,17,1,1.45,27,28,-1,-0.05,+0.51,23.9,21.4,+2.5,+0.13,+0.13,Matches
Rodrigo Battaglia,arARG,"DF,MF",33-069,19,"1,655",87,76.6,18.4,19,87,16,0,,1,1.42,26,29,-3,-0.16,+0.02,22.7,21.3,+1.4,+0.08,-0.13,Matches
Renzo Saravia,arARG,DF,31-095,20,"1,416",71,65.6,15.7,16,82,13,4,24,0,1.45,20,21,-1,-0.06,+0.30,17.9,16.8,+1.1,+0.07,-0.10,Matches
Bruno Fuchs,brBRA,DF,25-171,17,"1,368",80,63.3,15.2,16,84,13,1,23,1,1.29,21,27,-6,-0.39,-0.62,20.0,18.7,+1.3,+0.09,-0.05,Matches
Hulk,brBRA,FW,38-056,15,"1,258",84,58.2,14.0,15,84,10,0,,0,1.40,17,19,-2,-0.14,+0.06,15.1,15.1,+0.1,+0.01,-0.24,Matches
Otávio,brBRA,MF,30-138,15,"1,254",84,58.1,13.9,15,84,12,0,,1,1.53,18,18,0,0.00,+0.40,16.8,14.1,+2.7,+0.20,+0.22,Matches
Éverson,brBRA,GK,34-059,14,"1,260",90,58.3,14.0,14,90,14,0,,0,1.36,19,18,+1,+0.07,+0.57,17.0,13.4,+3.5,+0.25,+0.36,Matches
Alan Franco,ecECU,MF,26-029,16,"1,170",73,54.2,13.0,13,85,10,3,22,0,1.56,20,14,+6,+0.46,+1.37,17.9,12.3,+5.6,+0.43,+0.71,Matches
Guilherme Arana,brBRA,DF,27-158,13,"1,092",84,50.6,12.1,11,90,11,2,51,1,1.62,17,13,+4,+0.33,+1.00,15.1,11.6,+3.4,+0.28,+0.36,Matches
Carlos Eduardo,brBRA,"FW,MF",20-118,18,904,50,41.9,10.0,11,72,1,7,15,6,1.06,11,19,-8,-0.80,-1.08,11.4,12.8,-1.4,-0.14,-0.42,Matches
Matheus Mendes,brBRA,GK,25-193,10,900,90,41.7,10.0,10,90,10,0,,14,1.40,13,18,-5,-0.50,-0.57,13.0,14.0,-1.0,-0.10,-0.36,Matches
Igor Gomes,brBRA,MF,25-186,13,817,63,37.8,9.1,10,73,5,3,29,10,1.15,11,16,-5,-0.55,-0.62,9.9,12.2,-2.3,-0.25,-0.58,Matches
Federico Zaracho,arARG,MF,26-193,13,724,56,33.5,8.0,10,64,1,3,27,1,1.38,12,14,-2,-0.25,-0.12,9.0,8.7,+0.3,+0.04,-0.10,Matches
Fausto Vera,arARG,MF,24-177,8,590,74,27.3,6.6,7,80,4,1,30,0,1.38,5,10,-5,-0.76,-0.82,8.2,7.4,+0.8,+0.12,+0.03,Matches
Bernard,brBRA,"MF,FW",32-011,9,559,62,25.9,6.2,7,72,1,2,26,0,1.33,5,9,-4,-0.64,-0.64,8.4,6.8,+1.6,+0.25,+0.20,Matches
Igor Rabello,brBRA,DF,29-144,10,557,56,25.8,6.2,6,69,3,4,35,13,1.60,7,6,+1,+0.16,+0.44,5.9,6.1,-0.3,-0.04,-0.20,Matches
Júnior Alonso,pyPAR,DF,31-223,6,506,84,23.4,5.6,6,84,4,0,,1,1.83,8,6,+2,+0.36,+0.68,9.6,5.7,+3.9,+0.70,+0.78,Matches
Rômulo,brBRA,DF,20-232,8,495,62,22.9,5.5,5,74,2,3,42,7,1.13,9,13,-4,-0.73,-0.73,7.6,9.0,-1.4,-0.25,-0.47,Matches
Eduardo Vargas,clCHI,"FW,MF",34-304,15,502,33,23.2,5.6,4,75,1,11,19,0,1.53,13,10,+3,+0.54,+0.92,10.6,5.3,+5.2,+0.94,+1.09,Matches
Alisson,brBRA,"DF,MF",18-364,11,479,44,22.2,5.3,4,74,1,7,26,1,1.27,7,11,-4,-0.75,-0.75,7.1,6.2,+0.9,+0.17,+0.08,Matches
Brahian Palacios,coCOL,"DF,MF",21-300,13,473,36,21.9,5.3,4,72,0,9,21,8,1.23,9,10,-1,-0.19,-0.03,7.9,8.3,-0.4,-0.08,-0.24,Matches
Mariano,brBRA,DF,38-088,6,325,54,15.0,3.6,4,72,2,2,19,12,1.00,5,6,-1,-0.28,-0.13,4.9,5.9,-1.0,-0.27,-0.44,Matches
Mauricio Lemos,uyURU,DF,28-266,6,290,48,13.4,3.2,4,62,2,2,22,5,2.00,2,1,+1,+0.31,+0.55,2.4,1.7,+0.7,+0.23,+0.14,Matches
Lyanco,brBRA,DF,27-231,5,319,64,14.8,3.5,3,90,3,2,25,2,1.40,2,6,-4,-1.13,-1.13,3.9,3.6,+0.3,+0.08,-0.02,Matches
Paulo Vitor,brBRA,MF,20-024,6,272,45,12.6,3.0,3,68,0,3,23,11,1.67,4,6,-2,-0.66,-0.57,3.6,5.1,-1.5,-0.50,-0.69,Matches
Rubens,brBRA,"DF,FW",23-090,7,255,36,11.8,2.8,3,57,1,4,21,1,0.86,5,4,+1,+0.35,+0.59,4.9,2.6,+2.3,+0.81,+0.80,Matches
Jemerson,brBRA,DF,32-026,3,203,68,9.4,2.3,3,68,1,0,,1,1.67,3,1,+2,+0.89,+1.16,1.7,2.0,-0.3,-0.15,-0.29,Matches
Deyverson,brBRA,FW,33-134,5,221,44,10.2,2.5,2,71,0,3,26,0,1.00,1,4,-3,-1.22,-1.18,3.2,3.7,-0.5,-0.20,-0.34,Matches
Pedrinho,brBRA,"MF,DF",26-159,8,207,26,9.6,2.3,1,80,0,7,18,4,1.50,3,5,-2,-0.87,-0.78,4.2,3.3,+0.9,+0.39,+0.31,Matches
Alan Kardec,brBRA,"FW,DF",35-251,8,81,10,3.8,0.9,0,,0,8,10,12,1.13,3,4,-1,-1.11,-0.98,2.3,2.0,+0.3,+0.31,+0.21,Matches
Robert Conceição,brBRA,"MF,DF",21-061,2,11,6,0.5,0.1,0,,0,2,6,8,0.50,1,0,+1,+8.18,+8.39,0.3,0.2,+0.1,+0.48,+0.38,Matches
Isaac,brBRA,FW,20-177,1,9,9,0.4,0.1,0,,0,1,9,10,0.00,1,0,+1,+10.00,+10.21,0.3,0.2,+0.1,+0.96,+0.86,Matches
Victor Hugo,brBRA,MF,19-313,1,1,1,0.0,0.0,0,,0,1,1,6,0.00,0,1,-1,-90.00,-89.87,0.0,0.0,0.0,-1.92,-2.03,Matches
Gabriel Átila,brBRA,GK,21-241,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Gabriel Delfim,brBRA,GK,22-071,0,,,,,0,,0,0,,13,,,,,,,,,,,,Matches
Squad Total,,,28.6,24,"2,160",90,100,24.0,264,81,158,100,22,154,1.38,32,36,-4,-0.17,,30.0,27.5,+2.5,+0.10,,
Opponent Total,,,28.9,24,"2,160",90,100,24.0,264,81,146,118,19,164,1.25,36,32,+4,+0.17,,27.5,30.0,-2.5,-0.10,,
