Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Marcos Felipe,brBRA,GK,28-159,26,"2,340",90,100.0,26.0,26,90,26,0,,0,1.62,37,27,+10,+0.38,,34.1,27.1,+7.1,+0.27,,Matches
Jean Lucas,brBRA,MF,26-089,25,"2,108",84,90.1,23.4,25,84,16,0,,0,1.64,33,25,+8,+0.34,-0.43,29.3,24.0,+5.3,+0.22,-0.48,Matches
Gabriel,brBRA,DF,23-136,24,"2,160",90,92.3,24.0,24,90,24,0,,1,1.75,36,24,+12,+0.50,+1.50,32.2,24.9,+7.3,+0.30,+0.42,Matches
Caio Alexandre,brBRA,MF,25-208,25,"2,008",80,85.8,22.3,24,83,8,1,15,0,1.64,30,22,+8,+0.36,-0.18,28.2,21.2,+7.0,+0.31,+0.29,Matches
Cauly Oliveira Souza,brBRA,"MF,FW",29-004,26,"1,921",74,82.1,21.3,24,77,5,2,37,0,1.62,26,24,+2,+0.09,-1.62,22.0,22.6,-0.6,-0.03,-1.69,Matches
Luciano Juba,brBRA,DF,25-021,25,"2,061",82,88.1,22.9,23,89,22,2,12,1,1.68,36,23,+13,+0.57,+1.54,30.6,23.8,+6.8,+0.30,+0.22,Matches
Everton Ribeiro,brBRA,MF,35-162,26,"1,817",70,77.6,20.2,23,74,7,3,35,0,1.62,25,21,+4,+0.20,-0.83,25.6,19.0,+6.5,+0.32,+0.23,Matches
Thaciano,brBRA,FW,29-130,25,"1,731",69,74.0,19.2,23,73,3,2,28,0,1.56,24,19,+5,+0.26,-0.48,19.9,18.4,+1.5,+0.08,-0.74,Matches
Everaldo Stum,brBRA,FW,33-076,25,"1,589",64,67.9,17.7,22,70,2,3,17,0,1.68,22,17,+5,+0.28,-0.32,22.7,15.4,+7.3,+0.41,+0.44,Matches
Kanu,brBRA,DF,27-196,20,"1,800",90,76.9,20.0,20,90,20,0,,2,1.67,29,20,+9,+0.45,+0.28,26.7,19.3,+7.4,+0.37,+0.42,Matches
Santiago Arias,coCOL,DF,32-250,15,"1,281",85,54.7,14.2,14,88,13,1,53,1,1.67,19,12,+7,+0.49,+0.24,16.7,13.3,+3.5,+0.24,-0.06,Matches
Gilberto,brBRA,DF,31-196,13,929,71,39.7,10.3,11,77,5,2,39,10,1.31,13,14,-1,-0.10,-0.80,13.0,11.4,+1.6,+0.15,-0.20,Matches
Víctor Cuesta,arARG,DF,35-305,6,461,77,19.7,5.1,6,77,2,0,,16,1.00,5,9,-4,-0.78,-1.45,3.6,6.7,-3.1,-0.61,-1.09,Matches
Ademir Santos,brBRA,"FW,MF",29-216,19,543,29,23.2,6.0,4,55,0,15,22,1,1.74,11,8,+3,+0.50,+0.15,10.4,7.0,+3.4,+0.56,+0.38,Matches
Rezende,brBRA,"MF,DF",29-261,17,529,31,22.6,5.9,4,90,4,13,13,5,1.71,10,6,+4,+0.68,+0.38,9.3,8.4,+0.9,+0.15,-0.16,Matches
Biel,brBRA,"FW,MF",23-171,20,691,35,29.5,7.7,3,65,0,17,29,0,1.62,14,8,+6,+0.78,+0.56,13.5,9.1,+4.4,+0.57,+0.43,Matches
Carlos de Pena,uyURU,MF,32-192,23,543,24,23.2,6.0,3,55,0,20,19,2,1.61,12,5,+7,+1.16,+1.01,9.9,7.6,+2.2,+0.37,+0.13,Matches
Iago,brBRA,"DF,MF",27-180,10,367,37,15.7,4.1,3,90,3,7,14,0,1.20,4,6,-2,-0.49,-1.04,6.6,4.6,+1.9,+0.47,+0.24,Matches
Oscar Estupiñan,coCOL,"FW,MF",27-265,11,252,23,10.8,2.8,1,45,0,10,21,4,1.36,6,1,+5,+1.79,+1.57,6.2,3.5,+2.7,+0.97,+0.78,Matches
Luciano Rodríguez,uyURU,FW,21-065,7,168,24,7.2,1.9,1,61,0,6,18,0,1.57,3,3,0,0.00,-0.41,4.2,2.9,+1.3,+0.68,+0.44,Matches
Cicinho,bgBUL,"DF,FW",35-268,6,85,14,3.6,0.9,1,45,0,5,8,16,2.50,3,1,+2,+2.12,+1.80,2.2,2.1,+0.1,+0.06,-0.22,Matches
David Duarte,brBRA,DF,29-239,1,75,75,3.2,0.8,1,75,0,0,,22,1.00,1,0,+1,+1.20,+0.84,0.3,0.7,-0.4,-0.50,-0.80,Matches
Rafael Ratão,brBRA,"FW,MF",28-294,12,217,18,9.3,2.4,0,,0,12,18,13,1.75,6,2,+4,+1.66,+1.40,5.0,2.5,+2.5,+1.04,+0.85,Matches
Yago,brBRA,MF,29-229,5,30,6,1.3,0.3,0,,0,5,6,21,2.00,1,0,+1,+3.00,+2.65,1.7,1.2,+0.5,+1.50,+1.24,Matches
Vitor Hugo,brBRA,DF,33-122,1,15,15,0.6,0.2,0,,0,1,15,7,1.00,0,1,-1,-6.00,-6.43,0.6,0.8,-0.2,-1.44,-1.73,Matches
Tiago,brBRA,FW,19-164,1,13,13,0.6,0.1,0,,0,1,13,6,1.00,1,0,+1,+6.92,+6.57,0.6,0.1,+0.6,+3.88,+3.63,Matches
Ruan Pablo,brBRA,MF,16-058,1,6,6,0.3,0.1,0,,0,1,6,2,1.00,1,0,+1,+15.00,+14.65,0.5,0.1,+0.5,+7.22,+6.97,Matches
Danilo Fernandes,brBRA,GK,36-169,0,,,0.0,0.0,0,,0,0,,14,3.00,3,1,+2,,,,,,,,Matches
Marcos Victor,brBRA,DF,22-268,0,,,0.0,0.0,0,,0,0,,10,3.00,3,1,+2,,,,,,,,Matches
Adriel,brBRA,GK,23-249,0,,,,,0,,0,0,,14,,,,,,,,,,,,Matches
Ryan Carlos,brBRA,DF,22-218,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
Roger,brBRA,MF,17-220,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Sidney,brBRA,MF,18-191,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,28.6,26,"2,340",90,100,26.0,286,81,160,129,20,179,1.62,37,27,+10,+0.38,,34.1,27.1,+7.1,+0.27,,
Opponent Total,,,28.2,26,"2,340",90,100,26.0,286,81,154,128,21,179,1.15,27,37,-10,-0.38,,27.1,34.1,-7.1,-0.27,,
