Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Bastos,aoANG,DF,33-176,24,"2,061",86,88.1,22.9,24,86,21,0,,1,2.08,39,20,+19,+0.83,+0.51,32.8,24.0,+8.8,+0.38,+0.22,Matches
John,brBRA,GK,28-219,23,"2,070",90,88.5,23.0,23,90,23,0,,3,2.04,37,21,+16,+0.70,-0.64,31.6,25.1,+6.5,+0.28,-0.65,Matches
Luiz Henrique,brBRA,"FW,MF",23-261,24,"1,658",69,70.9,18.4,22,72,4,2,40,1,2.08,28,15,+13,+0.71,-0.22,23.8,18.9,+5.0,+0.27,-0.30,Matches
Marlon Freitas,brBRA,MF,29-176,23,"1,664",72,71.1,18.5,19,82,10,4,28,1,2.17,34,13,+21,+1.14,+1.27,29.4,19.8,+9.6,+0.52,+0.56,Matches
Lucas Halter,brBRA,DF,24-140,16,"1,331",83,56.9,14.8,15,86,13,1,45,8,1.69,23,17,+6,+0.41,-0.84,17.3,17.5,-0.2,-0.02,-0.87,Matches
Júnior Santos,brBRA,FW,29-344,17,"1,314",77,56.2,14.6,15,83,8,2,34,0,2.12,24,11,+13,+0.89,+0.28,18.3,14.5,+3.8,+0.26,-0.23,Matches
Gregore,brBRA,MF,30-201,22,"1,272",58,54.4,14.1,14,80,8,8,20,2,1.86,22,13,+9,+0.64,-0.29,20.2,13.9,+6.3,+0.44,+0.19,Matches
Cuiabano,brBRA,DF,21-216,17,"1,204",71,51.5,13.4,14,78,10,3,39,1,2.00,25,13,+12,+0.90,+0.26,16.8,13.3,+3.5,+0.26,-0.20,Matches
Tchê Tchê,brBRA,"MF,FW",32-020,22,"1,319",60,56.4,14.7,13,81,6,9,29,0,2.14,25,12,+13,+0.89,+0.27,19.7,13.5,+6.2,+0.42,+0.15,Matches
Damián Suárez,uyURU,DF,36-145,17,"1,244",73,53.2,13.8,13,87,10,4,30,1,2.00,21,12,+9,+0.65,-0.25,15.3,14.0,+1.4,+0.10,-0.55,Matches
Alexander Barboza,arARG,DF,29-187,16,"1,134",71,48.5,12.6,13,85,11,3,11,7,2.00,23,11,+12,+0.95,+0.36,22.1,13.7,+8.4,+0.67,+0.60,Matches
Danilo Barbosa,brBRA,MF,28-204,22,"1,072",49,45.8,11.9,13,71,3,9,17,3,2.00,20,14,+6,+0.50,-0.49,15.0,13.7,+1.3,+0.11,-0.46,Matches
Jefferson Savarino,veVEN,"MF,FW",27-313,17,"1,183",70,50.6,13.1,12,86,9,5,30,0,2.06,25,12,+13,+0.99,+0.44,22.9,14.7,+8.2,+0.63,+0.54,Matches
Mateo Ponte,uyURU,DF,21-118,12,844,70,36.1,9.4,11,75,5,1,23,13,2.08,17,11,+6,+0.64,-0.20,15.1,9.4,+5.7,+0.61,+0.39,Matches
Tiquinho Soares,brBRA,"FW,MF",33-246,18,"1,002",56,42.8,11.1,10,76,2,8,30,0,2.17,20,9,+11,+0.99,+0.38,18.7,11.1,+7.6,+0.69,+0.57,Matches
Fernando Marçal,brBRA,DF,35-213,12,750,63,32.1,8.3,8,73,3,4,41,5,2.08,14,6,+8,+0.96,+0.28,14.2,9.4,+4.8,+0.58,+0.32,Matches
Igor,brBRA,"FW,MF",23-207,10,658,66,28.1,7.3,7,83,4,3,26,0,2.00,13,7,+6,+0.82,+0.07,13.0,6.8,+6.1,+0.84,+0.67,Matches
Carlos Eduardo,brBRA,"FW,MF",34-338,10,613,61,26.2,6.8,7,75,1,3,30,0,2.30,9,5,+4,+0.59,-0.25,5.5,6.9,-1.4,-0.20,-0.76,Matches
Óscar Romero,pyPAR,"MF,FW",32-077,17,650,38,27.8,7.2,6,63,1,11,25,7,1.65,13,13,0,0.00,-1.07,10.0,9.8,+0.2,+0.03,-0.46,Matches
Thiago Almada,arARG,"FW,MF",23-146,5,432,86,18.5,4.8,5,86,3,0,,0,2.00,8,5,+3,+0.62,-0.18,9.2,5.6,+3.7,+0.77,+0.50,Matches
Jeffinho,brBRA,"FW,MF",24-264,6,324,54,13.8,3.6,5,59,0,1,31,0,1.67,7,3,+4,+1.11,+0.40,6.0,3.4,+2.5,+0.71,+0.41,Matches
Hugo,brBRA,DF,22-365,9,443,49,18.9,4.9,4,79,3,5,26,16,1.44,9,6,+3,+0.61,-0.20,7.1,5.9,+1.2,+0.25,-0.14,Matches
Gatito Fernández,pyPAR,GK,36-174,3,270,90,11.5,3.0,3,90,3,0,,16,1.75,9,5,+4,+1.33,+0.64,5.6,2.8,+2.8,+0.93,+0.65,Matches
Allan,brBRA,MF,33-255,6,203,34,8.7,2.3,2,60,0,4,21,3,1.67,3,5,-2,-0.89,-1.81,3.1,3.5,-0.3,-0.15,-0.56,Matches
Carlos Alberto,brBRA,FW,22-158,5,183,37,7.8,2.0,2,81,1,3,7,3,1.60,6,4,+2,+0.98,+0.23,3.8,3.4,+0.3,+0.16,-0.22,Matches
