Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Rodrigo Garro,arARG,"MF,FW",26-259,24,"2,045",85,87.4,22.7,24,85,17,0,,0,1.00,21,28,-7,-0.31,+0.61,26.2,27.9,-1.7,-0.08,+0.46,Matches
Raniele,brBRA,"MF,DF",27-263,23,"1,750",76,74.8,19.4,21,81,9,2,30,0,0.91,16,28,-12,-0.62,-0.92,19.6,24.4,-4.8,-0.25,-0.44,Matches
Hugo,brBRA,DF,27-021,22,"1,733",79,74.1,19.3,21,82,12,1,14,4,1.00,18,27,-9,-0.47,-0.32,18.2,23.7,-5.5,-0.29,-0.59,Matches
Cacá,brBRA,DF,25-147,20,"1,783",89,76.2,19.8,20,89,18,0,,4,1.15,20,25,-5,-0.25,+0.56,20.2,24.5,-4.3,-0.22,-0.35,Matches
Wesley,brBRA,FW,19-198,23,"1,438",63,61.5,16.0,17,77,7,6,22,0,0.96,13,20,-7,-0.44,-0.14,15.9,18.0,-2.0,-0.13,+0.02,Matches
Félix Torres Caicedo,ecECU,DF,27-252,17,"1,393",82,59.5,15.5,16,86,14,1,12,1,1.00,10,17,-7,-0.45,-0.17,17.8,15.8,+1.9,+0.12,+0.64,Matches
Yuri Alberto,brBRA,FW,23-185,19,"1,413",74,60.4,15.7,15,81,8,4,49,0,0.89,14,21,-7,-0.45,-0.15,14.7,18.5,-3.8,-0.24,-0.27,Matches
Matheuzinho,brBRA,DF,24-011,22,"1,434",65,61.3,15.9,14,86,9,8,29,3,0.95,15,19,-4,-0.25,+0.34,16.3,19.7,-3.4,-0.22,-0.21,Matches
Ángel Romero,pyPAR,FW,32-077,18,"1,092",61,46.7,12.1,13,72,1,5,32,0,1.06,11,15,-4,-0.33,+0.10,15.0,13.9,+1.1,+0.09,+0.42,Matches
Breno,brBRA,MF,19-212,17,"1,044",61,44.6,11.6,12,75,4,5,28,8,0.76,7,14,-7,-0.60,-0.40,13.1,13.7,-0.6,-0.05,+0.15,Matches
Igor Coronado,brBRA,"MF,FW",32-032,21,"1,112",53,47.5,12.4,10,80,5,11,28,1,0.67,9,15,-6,-0.49,-0.19,11.8,13.5,-1.7,-0.14,0.00,Matches
Hugo Souza,brBRA,GK,25-232,10,900,90,38.5,10.0,10,90,10,0,,0,1.30,11,11,0,0.00,+0.62,12.7,12.4,+0.4,+0.04,+0.28,Matches
André Ramalho,brBRA,DF,32-216,9,810,90,34.6,9.0,9,90,9,0,,0,1.11,9,10,-1,-0.11,+0.42,12.0,11.2,+0.8,+0.09,+0.35,Matches
Gustavo Henrique,brBRA,DF,31-179,9,734,82,31.4,8.2,9,82,7,0,,10,1.00,8,13,-5,-0.61,-0.33,8.1,10.6,-2.5,-0.31,-0.25,Matches
Fagner,brBRA,"DF,MF",35-100,11,689,63,29.4,7.7,9,76,3,2,4,5,1.45,7,9,-2,-0.26,+0.17,11.2,9.7,+1.4,+0.19,+0.46,Matches
Matheus Donelli,brBRA,GK,22-125,7,630,90,26.9,7.0,7,90,7,0,,13,0.71,5,12,-7,-1.00,-0.84,6.2,8.9,-2.7,-0.39,-0.35,Matches
Carlos Miguel,brBRA,GK,25-346,6,540,90,23.1,6.0,6,90,6,0,,2,1.00,7,7,0,0.00,+0.50,6.7,8.2,-1.5,-0.25,-0.16,Matches
Ryan Gustavo,brBRA,MF,21-066,11,526,48,22.5,5.8,6,71,2,5,21,9,1.36,5,5,0,0.00,+0.50,6.5,5.8,+0.7,+0.12,+0.33,Matches
Matheus Bidu,brBRA,DF,25-138,11,554,50,23.7,6.2,5,87,4,6,20,14,1.00,4,6,-2,-0.32,+0.08,7.5,7.7,-0.1,-0.02,+0.15,Matches
Pedro Raul,brBRA,FW,27-319,17,525,31,22.4,5.8,4,68,1,13,20,7,0.53,3,5,-2,-0.34,+0.05,6.6,6.5,+0.1,+0.01,+0.19,Matches
Gustavo Mosquito,brBRA,FW,27-012,10,403,40,17.2,4.5,4,57,0,6,30,3,0.70,6,6,0,0.00,+0.46,4.5,4.5,0.0,+0.01,+0.17,Matches
Alex Santana,brBRA,MF,29-129,4,346,87,14.8,3.8,4,87,3,0,,0,1.75,5,4,+1,+0.26,+0.76,3.5,5.1,-1.6,-0.41,-0.32,Matches
Pedro Henrique,brBRA,"FW,MF",34-095,10,341,34,14.6,3.8,4,51,0,6,23,7,1.00,4,4,0,0.00,+0.45,4.8,2.9,+1.8,+0.48,+0.72,Matches
Caetano,brBRA,DF,25-087,5,281,56,12.0,3.1,4,61,1,1,36,10,0.80,4,7,-3,-0.96,-0.65,3.3,6.3,-3.0,-0.96,-0.93,Matches
Talles Magno,brBRA,"MF,FW",22-085,5,201,40,8.6,2.2,4,39,0,1,45,0,1.00,2,2,0,0.00,+0.42,3.6,3.6,-0.1,-0.04,+0.10,Matches
Charles Rigon Matos,brBRA,"MF,DF",28-092,5,320,64,13.7,3.6,3,86,2,2,31,2,1.00,3,4,-1,-0.28,+0.12,3.4,3.7,-0.3,-0.07,+0.07,Matches
Cássio,brBRA,GK,37-105,3,270,90,11.5,3.0,3,90,3,0,,3,0.33,0,3,-3,-1.00,-0.70,2.8,2.4,+0.4,+0.13,+0.29,Matches
Léo Mana,brBRA,DF,20-166,5,208,42,8.9,2.3,3,64,0,2,9,7,1.00,1,5,-4,-1.73,-1.48,1.6,2.9,-1.3,-0.58,-0.49,Matches
Fausto Vera,arARG,MF,24-177,6,212,35,9.1,2.4,2,77,0,4,15,1,0.50,0,2,-2,-0.85,-0.51,2.1,2.7,-0.6,-0.26,-0.13,Matches
José Andrés Martínez,veVEN,MF,30-043,2,157,79,6.7,1.7,2,79,0,0,,0,1.50,3,3,0,0.00,+0.41,3.3,3.1,+0.2,+0.14,+0.29,Matches
Giovane,brBRA,"FW,MF",20-300,11,274,25,11.7,3.0,1,84,0,10,19,13,1.09,3,4,-1,-0.33,+0.06,3.5,6.0,-2.4,-0.79,-0.74,Matches
Paulinho,brBRA,MF,36-056,6,118,20,5.0,1.3,1,45,0,5,15,0,0.83,0,1,-1,-0.76,-0.40,1.5,1.8,-0.3,-0.20,-0.07,Matches
Raul Bicalho,brBRA,DF,25-148,1,90,90,3.8,1.0,1,90,1,0,,4,0.00,0,1,-1,-1.00,-0.64,1.2,0.5,+0.7,+0.74,+0.91,Matches
Gabriel Moscardo,brBRA,MF,18-357,2,81,41,3.5,0.9,1,45,0,1,36,4,1.00,3,4,-1,-1.11,-0.75,0.6,2.6,-2.0,-2.23,-2.18,Matches
Héctor,esESP,"DF,FW",29-005,2,52,26,2.2,0.6,1,7,0,1,45,0,1.50,1,1,0,0.00,+0.39,1.1,0.4,+0.7,+1.25,+1.41,Matches
Maycon,brBRA,MF,27-066,2,47,24,2.0,0.5,0,,0,2,24,0,0.50,0,2,-2,-3.83,-3.52,0.6,1.2,-0.7,-1.31,-1.20,Matches
Matheus Araújo,brBRA,MF,22-120,4,43,11,1.8,0.5,0,,0,4,11,9,1.25,2,2,0,0.00,+0.39,1.3,1.6,-0.3,-0.68,-0.56,Matches
Arthur,brBRA,FW,21-191,1,21,21,0.9,0.2,0,,0,1,21,5,1.00,1,0,+1,+4.29,+4.71,1.0,0.6,+0.4,+1.58,+1.73,Matches
André Carrillo,pePER,"MF,FW",33-097,1,17,17,0.7,0.2,0,,0,1,17,0,0.00,0,0,0,0.00,+0.39,0.1,0.1,0.0,0.00,+0.13,Matches
Biro,brBRA,"MF,DF",20-152,3,16,5,0.7,0.2,0,,0,3,5,17,1.33,0,0,0,0.00,+0.39,0.8,0.0,+0.8,+4.45,+4.62,Matches
Kayke,brBRA,"MF,FW",20-144,2,15,8,0.6,0.2,0,,0,2,8,4,1.00,2,0,+2,+12.00,+12.46,1.4,0.8,+0.7,+4.04,+4.20,Matches
João Pedro,brBRA,DF,20-263,1,9,9,0.4,0.1,0,,0,1,9,7,1.00,0,0,0,0.00,+0.39,0.0,0.0,0.0,-0.09,+0.05,Matches
Felipe Longo,brBRA,GK,19-198,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Diego Palacios,ecECU,DF,25-069,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Renato Santos,brBRA,DF,19-344,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Guilherme Silva,brBRA,FW,17-226,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,26.6,26,"2,340",90,100,26.0,286,80,163,122,23,187,0.96,23,33,-10,-0.38,,28.4,31.9,-3.5,-0.13,,
Opponent Total,,,28.7,26,"2,340",90,100,26.0,286,80,158,124,19,173,1.65,33,23,+10,+0.38,,31.9,28.4,+3.5,+0.13,,
