Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Marcelo Hermes,brBRA,"DF,MF",29-231,23,"2,035",88,90.4,22.6,23,88,20,0,,1,1.04,28,36,-8,-0.35,-0.35,24.6,31.6,-6.9,-0.31,-0.67,Matches
Gustavo,brBRA,GK,31-193,22,"1,952",89,86.8,21.7,22,89,21,0,,0,1.05,28,36,-8,-0.37,-0.37,25.2,31.7,-6.5,-0.30,-0.42,Matches
Rodrigo Fagundes,brBRA,DF,37-193,20,"1,800",90,80.0,20.0,20,90,20,0,,1,1.10,27,29,-2,-0.10,+1.10,23.3,25.9,-2.6,-0.13,+0.58,Matches
Yannick Bolasie,cdCOD,FW,35-118,22,"1,568",71,69.7,17.4,18,81,7,4,30,1,1.27,22,29,-7,-0.40,-0.27,19.1,24.9,-5.9,-0.34,-0.31,Matches
Barreto,brBRA,MF,28-284,18,"1,473",82,65.5,16.4,18,82,12,0,,1,1.11,22,27,-5,-0.31,+0.04,19.7,21.6,-2.0,-0.12,+0.36,Matches
Claudinho,brBRA,DF,23-361,24,"1,503",63,66.8,16.7,17,77,5,7,28,0,1.13,22,21,+1,+0.06,+1.14,18.2,21.3,-3.1,-0.18,+0.18,Matches
Newton,brBRA,MF,24-191,20,"1,410",71,62.7,15.7,16,84,11,4,17,2,1.15,15,25,-10,-0.64,-0.85,16.8,20.0,-3.2,-0.20,+0.10,Matches
Arthur,brBRA,FW,32-096,23,"1,242",54,55.2,13.8,13,78,4,10,23,0,0.96,19,22,-3,-0.22,+0.23,16.1,16.6,-0.6,-0.04,+0.45,Matches
Miguel Trauco,pePER,DF,32-025,18,"1,115",62,49.6,12.4,13,82,7,5,10,6,1.17,16,13,+3,+0.24,+1.11,13.8,16.0,-2.2,-0.18,+0.13,Matches
Matheusinho,brBRA,"MF,FW",26-221,18,"1,043",58,46.4,11.6,12,78,3,6,18,2,1.00,16,21,-5,-0.43,-0.21,14.4,16.4,-2.0,-0.17,+0.13,Matches
Higor Meritão,brBRA,MF,30-088,16,970,61,43.1,10.8,12,76,5,4,15,8,1.25,16,17,-1,-0.09,+0.40,10.8,17.5,-6.8,-0.63,-0.68,Matches
Fellipe Mateus,brBRA,"MF,FW",33-220,19,"1,163",61,51.7,12.9,11,81,2,8,33,0,1.26,19,15,+4,+0.31,+1.30,13.5,15.4,-2.0,-0.15,+0.19,Matches
Tobias Figueiredo,ptPOR,DF,30-230,13,"1,002",77,44.5,11.1,11,90,11,2,6,4,1.31,14,23,-9,-0.81,-0.88,12.9,15.5,-2.6,-0.23,+0.03,Matches
Wilker Ángel,veVEN,DF,31-185,11,879,80,39.1,9.8,10,88,9,1,3,0,1.18,14,13,+1,+0.10,+0.69,10.5,16.2,-5.7,-0.59,-0.56,Matches
Marquinhos Gabriel,brBRA,MF,34-060,20,847,42,37.6,9.4,10,71,2,10,13,4,1.05,10,15,-5,-0.53,-0.34,10.4,13.7,-3.3,-0.35,-0.17,Matches
Éder,itITA,FW,37-309,16,764,48,34.0,8.5,10,66,1,6,17,0,1.06,12,15,-3,-0.35,-0.05,10.7,13.6,-2.9,-0.34,-0.14,Matches
Walisson Maia,brBRA,DF,33-029,13,852,66,37.9,9.5,9,90,8,4,11,12,1.23,9,17,-8,-0.85,-0.85,9.7,12.0,-2.3,-0.24,0.00,Matches
Ronald,brBRA,MF,27-093,18,845,47,37.6,9.4,9,70,0,9,24,2,1.17,12,22,-10,-1.07,-1.19,11.2,13.7,-2.6,-0.28,-0.05,Matches
Allano,brBRA,"FW,MF",29-148,16,719,45,32.0,8.0,7,76,0,9,21,3,1.31,10,11,-1,-0.13,+0.29,9.2,10.2,-1.0,-0.12,+0.19,Matches
Jonathan,brBRA,DF,32-025,12,517,43,23.0,5.7,6,67,1,6,19,0,1.17,7,14,-7,-1.22,-1.17,7.6,8.6,-1.0,-0.17,+0.09,Matches
Alisson,brBRA,GK,29-103,4,296,74,13.2,3.3,3,90,3,1,26,18,1.20,5,6,-1,-0.30,+0.02,2.9,2.5,+0.4,+0.12,+0.42,Matches
Luis Eduardo Marques dos Santos,brBRA,DF,27-112,5,221,44,9.8,2.5,2,71,0,3,26,0,0.80,3,5,-2,-0.81,-0.55,2.0,2.9,-0.9,-0.37,-0.14,Matches
Patrick de Paula,brBRA,MF,25-011,3,175,58,7.8,1.9,2,79,0,1,17,0,1.00,1,6,-5,-2.57,-2.44,1.4,2.7,-1.3,-0.66,-0.45,Matches
Renato Kayser,brBRA,FW,28-215,1,85,85,3.8,0.9,1,85,0,0,,0,1.00,1,1,0,0.00,+0.33,0.7,0.6,+0.1,+0.09,+0.35,Matches
Felipe Vizeu,brBRA,FW,27-191,6,99,17,4.4,1.1,0,,0,6,17,0,0.67,1,1,0,0.00,+0.33,1.2,1.2,0.0,0.00,+0.26,Matches
Yerson Candelo,coCOL,DF,32-208,2,28,14,1.2,0.3,0,,0,2,14,1,2.00,0,0,0,0.00,+0.32,0.4,0.4,0.0,-0.04,+0.20,Matches
João Carlos,brBRA,"MF,FW",23-090,5,27,5,1.2,0.3,0,,0,5,5,14,0.40,1,0,+1,+3.33,+3.70,0.4,0.2,+0.2,+0.70,+0.96,Matches
Mateo Barcia,uyURU,"MF,FW",23-213,4,25,6,1.1,0.3,0,,0,4,6,10,1.00,3,0,+3,+10.80,+11.24,0.5,0.7,-0.2,-0.70,-0.46,Matches
Eliédson,brBRA,MF,21-186,4,25,6,1.1,0.3,0,,0,4,6,15,1.25,0,0,0,0.00,+0.32,0.1,0.5,-0.4,-1.41,-1.18,Matches
Sergio Antonio De Luiz Junior,brBRA,MF,29-166,2,19,10,0.8,0.2,0,,0,2,10,1,1.50,0,0,0,0.00,+0.32,0.3,0.5,-0.2,-1.06,-0.82,Matches
Werik Popó,brBRA,FW,22-338,1,10,10,0.4,0.1,0,,0,1,10,2,0.00,0,0,0,0.00,+0.32,0.3,0.2,+0.1,+0.78,+1.03,Matches
Eliel,brBRA,MF,21-179,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Adriano Filho,brBRA,MF,20-097,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
