Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Matheus Pereira,ptPOR,"FW,MF",28-137,24,"2,081",87,88.9,23.1,23,89,17,1,45,0,1.67,33,23,+10,+0.43,+1.47,25.5,24.2,+1.2,+0.05,+1.43,Matches
William,brBRA,DF,29-169,23,"2,018",88,86.2,22.4,23,88,21,0,,0,1.70,32,22,+10,+0.45,+1.28,22.7,25.6,-2.8,-0.13,-0.15,Matches
João Marcelo,brBRA,DF,24-098,23,"1,981",86,84.7,22.0,22,90,22,1,1,1,1.61,28,24,+4,+0.18,-0.57,23.4,23.2,+0.2,+0.01,+0.74,Matches
Lucas Romero,arARG,MF,30-154,23,"1,802",78,77.0,20.0,22,80,4,1,45,0,1.61,27,19,+8,+0.40,+0.57,18.6,22.3,-3.8,-0.19,-0.36,Matches
Zé Ivaldo,brBRA,DF,27-211,22,"1,935",88,82.7,21.5,21,90,21,1,45,2,1.64,27,19,+8,+0.37,+0.59,23.3,24.1,-0.8,-0.04,+0.40,Matches
Lucas Silva,brBRA,MF,31-216,22,"1,352",61,57.8,15.0,18,70,1,4,22,3,1.64,18,16,+2,+0.13,-0.32,15.5,14.7,+0.8,+0.05,+0.37,Matches
Marlon,brBRA,DF,27-122,18,"1,433",80,61.2,15.9,17,84,13,1,6,3,1.44,21,16,+5,+0.31,+0.12,15.3,18.0,-2.7,-0.17,-0.17,Matches
Anderson,brBRA,GK,26-198,15,"1,350",90,57.7,15.0,15,90,15,0,,11,1.73,21,17,+4,+0.27,-0.01,15.4,16.5,-1.1,-0.07,+0.08,Matches
Arthur,brBRA,FW,26-078,21,"1,273",61,54.4,14.1,14,76,4,7,29,0,1.62,19,17,+2,+0.14,-0.28,14.6,17.2,-2.6,-0.19,-0.18,Matches
Álvaro Barreal,arARG,"MF,FW",24-033,19,"1,073",56,45.9,11.9,13,68,2,6,32,1,1.74,19,10,+9,+0.75,+0.90,11.5,12.9,-1.4,-0.12,-0.03,Matches
Ramiro Benetti,brBRA,MF,31-120,19,988,52,42.2,11.0,12,76,5,7,12,6,1.74,10,15,-5,-0.46,-1.25,10.0,14.7,-4.6,-0.42,-0.55,Matches
Gabriel Veron,brBRA,"FW,MF",22-016,17,902,53,38.5,10.0,12,67,1,5,20,1,1.53,15,9,+6,+0.60,+0.54,11.0,8.3,+2.7,+0.27,+0.62,Matches
