Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Walter,brBRA,GK,36-306,24,"2,160",90,96.0,24.0,24,90,24,0,,0,0.88,23,38,-15,-0.62,-0.62,23.6,32.2,-8.6,-0.36,-0.43,Matches
Marllon Borges,brBRA,DF,32-156,24,"2,071",86,92.0,23.0,24,86,23,0,,0,0.79,18,35,-17,-0.74,-1.74,20.4,29.5,-9.1,-0.39,-0.67,Matches
Isidro Pitta,pyPAR,FW,25-036,24,"1,921",80,85.4,21.3,23,83,13,1,14,0,0.88,22,32,-10,-0.47,+0.90,21.8,26.9,-5.1,-0.24,+0.69,Matches
Alan Empereur,brBRA,DF,30-193,22,"1,873",85,83.2,20.8,22,85,19,0,,1,0.95,22,29,-7,-0.34,+1.57,21.9,27.2,-5.3,-0.25,+0.51,Matches
Lucas Mineiro,brBRA,MF,28-208,22,"1,788",81,79.5,19.9,21,85,15,1,12,1,1.00,21,29,-8,-0.40,+0.96,18.6,25.9,-7.3,-0.37,-0.14,Matches
Denilson,brBRA,MF,23-180,21,"1,483",71,65.9,16.5,20,73,4,1,18,1,1.00,18,25,-7,-0.42,+0.51,19.2,19.9,-0.7,-0.04,+0.87,Matches
Ramon,brBRA,DF,23-190,18,"1,562",87,69.4,17.4,18,87,14,0,,1,1.11,21,20,+1,+0.06,+2.15,18.2,20.3,-2.1,-0.12,+0.73,Matches
Matheus Alexandre,brBRA,DF,25-165,19,"1,464",77,65.1,16.3,18,79,12,1,45,1,0.79,16,20,-4,-0.25,+1.01,15.6,19.6,-4.0,-0.25,+0.27,Matches
Clayson,brBRA,"FW,MF",29-184,21,"1,122",53,49.9,12.5,16,65,1,5,18,3,0.81,14,15,-1,-0.08,+1.04,13.5,13.4,+0.1,+0.01,+0.70,Matches
Jonathan Cafu,brBRA,"FW,MF",33-071,20,"1,182",59,52.5,13.1,14,74,1,6,25,5,0.85,15,15,0,0.00,+1.26,13.5,14.6,-1.1,-0.08,+0.54,Matches
Max,brBRA,MF,23-130,16,"1,010",63,44.9,11.2,14,68,1,2,30,3,1.00,13,17,-4,-0.36,+0.44,11.3,14.6,-3.2,-0.29,+0.09,Matches
Fernando Sobral,brBRA,MF,29-277,22,"1,135",52,50.4,12.6,11,72,3,11,31,2,0.95,9,16,-7,-0.56,+0.09,10.2,18.0,-7.8,-0.62,-0.56,Matches
Bruno Fabiano Alves,brBRA,DF,33-156,16,935,58,41.6,10.4,9,88,8,7,21,9,1.00,9,20,-11,-1.06,-0.79,10.6,15.7,-5.1,-0.49,-0.25,Matches
Derik Lacerda,brBRA,"FW,MF",24-358,18,935,52,41.6,10.4,9,74,1,9,30,0,0.72,5,19,-14,-1.35,-1.28,7.6,14.2,-6.6,-0.63,-0.50,Matches
Railan,brBRA,"DF,FW",24-193,16,805,50,35.8,8.9,7,79,5,9,28,8,0.88,8,19,-11,-1.23,-0.98,8.8,13.0,-4.1,-0.46,-0.18,Matches
Lucas Fernandes,brBRA,"MF,FW",26-365,14,593,42,26.4,6.6,5,74,0,9,25,5,0.71,3,14,-11,-1.67,-1.45,4.6,10.7,-6.1,-0.93,-0.80,Matches
Rikelme,brBRA,DF,21-065,8,497,62,22.1,5.5,5,87,4,3,21,10,1.00,1,10,-9,-1.63,-1.32,4.2,7.7,-3.5,-0.64,-0.38,Matches
Filipe Augusto,brBRA,MF,31-038,12,390,33,17.3,4.3,3,70,1,9,20,4,0.92,3,5,-2,-0.46,+0.17,5.1,4.6,+0.5,+0.11,+0.54,Matches
Juan Pablo,brBRA,DF,22-147,3,251,84,11.2,2.8,3,84,2,0,,14,0.33,2,8,-6,-2.15,-1.75,2.5,5.4,-2.9,-1.06,-0.80,Matches
André Luis,brBRA,"FW,MF",27-151,17,415,24,18.4,4.6,2,67,0,15,19,5,0.88,3,6,-3,-0.65,-0.06,4.5,7.4,-2.9,-0.62,-0.35,Matches
Deyverson,brBRA,FW,33-134,4,220,55,9.8,2.4,2,83,1,2,27,0,0.75,1,6,-5,-2.05,-1.60,2.2,4.6,-2.5,-1.01,-0.74,Matches
Gabriel Knesowitsch,brBRA,DF,20-337,3,197,66,8.8,2.2,2,64,1,1,70,11,0.00,0,6,-6,-2.74,-2.35,1.3,3.8,-2.5,-1.13,-0.86,Matches
