Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Agustín Rossi,arARG,GK,29-029,24,"2,160",90,96.0,24.0,24,90,24,0,,1,1.75,38,29,+9,+0.37,-1.63,33.3,28.4,+5.0,+0.21,-0.65,Matches
Gerson,brBRA,"MF,FW",27-122,25,"1,828",73,81.2,20.3,20,85,14,5,26,0,1.80,35,22,+13,+0.64,+1.07,29.7,21.0,+8.6,+0.43,+1.03,Matches
Fabrício Bruno,brBRA,DF,28-220,21,"1,761",84,78.3,19.6,20,88,18,1,8,3,1.81,33,23,+10,+0.51,+0.33,28.3,21.9,+6.4,+0.33,+0.45,Matches
Pedro,brBRA,FW,27-091,21,"1,653",79,73.5,18.4,19,83,12,2,37,0,1.95,30,18,+12,+0.65,+0.80,25.8,17.1,+8.7,+0.47,+0.91,Matches
Ayrton Lucas,brBRA,DF,27-092,21,"1,517",72,67.4,16.9,18,81,9,3,17,0,1.76,22,17,+5,+0.30,-0.44,20.8,16.5,+4.2,+0.25,+0.05,Matches
Luiz Araújo,brBRA,"FW,MF",28-109,23,"1,505",65,66.9,16.7,15,78,7,8,41,0,1.96,28,18,+10,+0.60,+0.48,23.3,17.2,+6.1,+0.37,+0.41,Matches
Léo Pereira,brBRA,DF,28-232,20,"1,455",73,64.7,16.2,15,88,13,5,27,3,1.75,21,18,+3,+0.19,-0.72,20.3,21.3,-1.0,-0.06,-0.84,Matches
Wesley,brBRA,DF,21-013,20,"1,455",73,64.7,16.2,15,90,15,5,21,3,1.60,24,22,+2,+0.12,-0.90,22.4,20.9,+1.5,+0.09,-0.40,Matches
David Luiz,brBRA,DF,37-150,16,"1,235",77,54.9,13.7,15,82,11,1,5,8,1.81,25,20,+5,+0.36,-0.17,18.0,17.3,+0.6,+0.05,-0.41,Matches
Bruno Henrique,brBRA,FW,33-264,18,"1,241",69,55.2,13.8,14,76,8,4,45,0,1.78,20,16,+4,+0.29,-0.33,17.0,14.4,+2.6,+0.19,-0.10,Matches
Leo Ortiz,brBRA,"MF,DF",28-260,17,"1,187",70,52.8,13.2,13,85,7,4,21,8,1.65,17,14,+3,+0.23,-0.45,16.0,16.0,0.0,0.00,-0.50,Matches
Allan,brBRA,MF,27-200,19,"1,123",59,49.9,12.5,13,72,3,6,31,3,1.63,19,18,+1,+0.08,-0.72,15.4,17.2,-1.8,-0.15,-0.76,Matches
Erick Pulgar,clCHI,MF,30-248,14,"1,009",72,44.8,11.2,12,78,6,2,35,1,1.79,17,9,+8,+0.71,+0.50,17.2,8.8,+8.3,+0.74,+0.93,Matches
Everton Soares,brBRA,FW,28-181,10,537,54,23.9,6.0,10,54,1,0,,0,2.80,13,4,+9,+1.51,+1.40,9.5,6.2,+3.2,+0.54,+0.40,Matches
