Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Fábio,brBRA,GK,43-355,25,"2,250",90,100.0,25.0,25,90,25,0,,0,1.08,21,28,-7,-0.28,,21.0,29.5,-8.5,-0.34,,Matches
Martinelli,brBRA,"MF,DF",23-132,21,"1,654",79,73.5,18.4,21,79,11,0,,1,1.10,15,22,-7,-0.38,-0.38,15.0,22.8,-7.7,-0.42,-0.31,Matches
Ganso,brBRA,MF,34-343,22,"1,603",73,71.2,17.8,21,75,4,1,21,0,1.18,17,16,+1,+0.06,+1.17,16.5,19.5,-3.0,-0.17,+0.60,Matches
Samuel Xavier,brBRA,DF,34-105,19,"1,600",84,71.1,17.8,19,84,13,0,,0,1.16,14,16,-2,-0.11,+0.58,13.8,19.5,-5.7,-0.32,+0.06,Matches
Jhon Arias,coCOL,FW,26-364,15,"1,342",89,59.6,14.9,15,89,14,0,,0,1.60,18,17,+1,+0.07,+0.86,15.4,15.6,-0.2,-0.02,+0.80,Matches
Germán Cano,arARG,FW,36-230,15,"1,119",75,49.7,12.4,15,75,3,0,,2,0.81,10,18,-8,-0.64,-0.72,11.0,15.5,-4.4,-0.36,-0.03,Matches
Marquinhos,brBRA,"FW,DF",21-165,15,"1,145",76,50.9,12.7,14,80,9,1,31,3,1.07,10,18,-8,-0.63,-0.71,11.9,16.8,-4.9,-0.39,-0.09,Matches
Thiago dos Santos,brBRA,DF,35-014,16,"1,163",73,51.7,12.9,13,82,10,3,32,2,1.19,11,10,+1,+0.08,+0.74,11.5,12.4,-0.9,-0.07,+0.56,Matches
André,brBRA,MF,23-065,12,"1,072",89,47.6,11.9,12,89,11,0,,0,1.83,13,9,+4,+0.34,+1.18,12.0,11.6,+0.5,+0.04,+0.73,Matches
Diogo Barbosa,brBRA,DF,32-033,16,"1,043",65,46.4,11.6,11,85,7,5,22,3,0.94,9,17,-8,-0.69,-0.76,8.3,14.1,-5.8,-0.50,-0.30,Matches
