Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
João Ricardo Riedi,brBRA,GK,36-013,26,"2,340",90,100.0,26.0,26,90,26,0,,0,1.88,32,25,+7,+0.27,,31.4,32.2,-0.9,-0.03,,Matches
Emanuel Brítez,arARG,DF,32-177,20,"1,713",86,73.2,19.0,20,86,17,0,,0,1.71,23,20,+3,+0.16,-0.42,22.4,22.1,+0.4,+0.02,+0.20,Matches
Guilherme Tinga,brBRA,DF,31-018,22,"1,775",81,75.9,19.7,19,90,18,3,22,1,1.82,25,21,+4,+0.20,-0.28,25.2,25.3,-0.1,0.00,+0.12,Matches
Breno,brBRA,FW,28-239,22,"1,496",68,63.9,16.6,19,74,3,3,29,0,1.86,20,18,+2,+0.12,-0.41,18.3,19.3,-1.0,-0.06,-0.07,Matches
Hércules,brBRA,MF,23-335,20,"1,391",70,59.4,15.5,18,75,7,2,18,3,1.75,21,8,+13,+0.84,+1.41,17.3,16.5,+0.9,+0.06,+0.22,Matches
Tomas Pochettino,arARG,"MF,FW",28-231,21,"1,341",64,57.3,14.9,17,73,2,4,26,2,1.81,19,14,+5,+0.34,+0.16,17.4,17.6,-0.2,-0.01,+0.05,Matches
Felipe Jonatan,brBRA,DF,26-217,19,"1,414",74,60.4,15.7,16,85,11,3,16,5,1.84,20,14,+6,+0.38,+0.28,21.3,19.0,+2.2,+0.14,+0.44,Matches
Yago Pikachu,brBRA,"FW,MF",32-106,22,"1,346",61,57.5,15.0,16,78,4,6,16,1,1.96,21,15,+6,+0.40,+0.31,19.1,19.6,-0.5,-0.04,0.00,Matches
Juan Martín Lucero,arARG,FW,32-294,21,"1,354",64,57.9,15.0,15,82,5,6,21,1,1.81,21,16,+5,+0.33,+0.15,18.6,19.6,-0.9,-0.06,-0.07,Matches
Titi,brBRA,DF,36-191,15,"1,300",87,55.6,14.4,15,87,13,0,,9,1.60,16,14,+2,+0.14,-0.29,19.6,16.7,+2.9,+0.20,+0.53,Matches
Lucas Sasha,brBRA,MF,34-202,20,"1,210",61,51.7,13.4,12,81,4,8,30,3,2.10,17,13,+4,+0.30,+0.06,18.5,15.0,+3.5,+0.26,+0.61,Matches
Pedro Borges,brBRA,MF,27-200,23,"1,122",49,47.9,12.5,12,78,7,11,17,1,1.96,14,15,-1,-0.08,-0.67,13.6,17.5,-3.9,-0.31,-0.54,Matches
Tomás Cardona,arARG,DF,28-345,13,"1,079",83,46.1,12.0,12,89,11,1,12,7,2.23,16,10,+6,+0.50,+0.43,12.7,15.7,-3.1,-0.25,-0.41,Matches
Renato Kayser,brBRA,FW,28-215,22,958,44,40.9,10.6,11,74,2,11,13,2,1.82,12,8,+4,+0.38,+0.18,13.4,11.8,+1.7,+0.16,+0.32,Matches
Benjamín Kuscevic,clCHI,DF,28-140,12,958,80,40.9,10.6,11,87,10,1,4,3,2.42,13,8,+5,+0.47,+0.34,11.3,12.0,-0.7,-0.07,-0.06,Matches
Bruno Pacheco,brBRA,DF,32-286,16,964,60,41.2,10.7,10,87,9,6,16,8,1.94,12,13,-1,-0.09,-0.62,10.4,14.4,-3.9,-0.37,-0.57,Matches
Matheus Rossetto,brBRA,MF,28-108,11,673,61,28.8,7.5,8,73,3,3,31,6,2.09,12,6,+6,+0.80,+0.75,9.5,6.5,+3.0,+0.40,+0.61,Matches
José Welison,brBRA,MF,29-192,13,605,47,25.9,6.7,7,69,2,6,21,7,1.77,5,8,-3,-0.45,-0.97,6.8,12.7,-5.9,-0.88,-1.14,Matches
