Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
João Pedro,brBRA,DF,27-309,19,"1,614",85,74.7,17.9,18,88,14,1,23,4,1.16,18,23,-5,-0.28,-0.28,19.0,21.5,-2.6,-0.14,-0.35,Matches
Dodi,brBRA,MF,28-155,20,"1,448",72,67.0,16.1,16,86,7,4,17,2,1.30,16,17,-1,-0.06,+0.44,17.7,16.8,+0.9,+0.06,+0.34,Matches
Agustín Marchesín,arARG,GK,36-187,16,"1,440",90,66.7,16.0,16,90,16,0,,1,1.38,18,17,+1,+0.06,+0.81,18.8,19.7,-0.9,-0.06,0.00,Matches
Franco Cristaldo,arARG,"MF,FW",28-035,21,"1,385",66,64.1,15.4,16,80,5,5,22,1,1.05,18,17,+1,+0.06,+0.76,18.3,19.1,-0.8,-0.05,+0.02,Matches
Reinaldo,brBRA,"DF,MF",34-357,16,"1,360",85,63.0,15.1,15,90,15,1,10,1,1.19,15,20,-5,-0.33,-0.33,18.3,20.1,-1.9,-0.12,-0.18,Matches
Mathías Villasanti,pyPAR,MF,27-239,15,"1,349",90,62.5,15.0,15,90,14,0,,0,1.33,17,19,-2,-0.13,+0.20,16.6,17.0,-0.4,-0.03,+0.08,Matches
Cristian Pavón,arARG,"FW,MF",28-242,14,875,63,40.5,9.7,14,63,0,0,,1,1.00,8,12,-4,-0.41,-0.34,10.6,9.2,+1.4,+0.14,+0.33,Matches
Rodrigo Ely,brBRA,DF,30-321,15,"1,165",78,53.9,12.9,13,89,12,2,6,3,1.20,12,11,+1,+0.08,+0.62,15.1,14.8,+0.2,+0.02,+0.16,Matches
Gustavo Martins Santos,brBRA,DF,22-039,14,"1,031",74,47.7,11.5,12,79,9,2,39,2,1.14,10,15,-5,-0.44,-0.44,12.1,12.5,-0.5,-0.04,+0.03,Matches
Gustavo Nunes,brBRA,"FW,MF",18-304,20,"1,238",62,57.3,13.8,11,85,7,9,34,0,1.20,14,16,-2,-0.15,+0.15,15.9,15.7,+0.2,+0.02,+0.17,Matches
Yeferson Soteldo,veVEN,"FW,MF",27-081,13,943,73,43.7,10.5,11,81,5,2,27,0,1.31,13,11,+2,+0.19,+0.71,12.3,12.2,+0.1,+0.01,+0.11,Matches
Edenílson,brBRA,"FW,MF",34-276,17,739,43,34.2,8.2,10,62,1,7,17,2,1.06,10,12,-2,-0.24,-0.05,9.7,11.8,-2.1,-0.25,-0.30,Matches
