Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Wesley,brBRA,"FW,MF",25-173,21,"1,562",74,72.3,17.4,18,79,7,3,45,0,1.57,20,12,+8,+0.46,+0.61,27.3,11.9,+15.4,+0.89,+0.56,Matches
Thiago Maia,brBRA,MF,27-180,18,"1,307",73,60.5,14.5,17,75,6,1,30,0,1.78,16,11,+5,+0.34,+0.13,21.7,11.5,+10.3,+0.71,-0.06,Matches
Bruno Henrique,brBRA,"MF,FW",34-334,23,"1,358",59,62.9,15.1,16,72,2,7,29,0,1.52,14,11,+3,+0.20,-0.25,19.2,12.5,+6.7,+0.44,-0.78,Matches
Vitão,brBRA,DF,24-230,16,"1,261",79,58.4,14.0,14,86,12,2,29,2,1.81,17,9,+8,+0.57,+0.67,21.5,11.8,+9.7,+0.69,-0.10,Matches
Sergio Rochet,uyURU,GK,31-180,14,"1,260",90,58.3,14.0,14,90,14,0,,0,1.79,18,11,+7,+0.50,+0.50,27.9,10.4,+17.5,+1.25,+1.25,Matches
Gabriel Mercado,arARG,DF,37-185,16,"1,151",72,53.3,12.8,12,90,12,4,18,4,1.94,15,9,+6,+0.47,+0.38,22.6,10.3,+12.3,+0.96,+0.50,Matches
Rafael Borré,coCOL,FW,29-004,12,981,82,45.4,10.9,12,82,7,0,,0,1.83,14,5,+9,+0.83,+0.98,17.9,7.0,+11.0,+1.01,+0.50,Matches
Fernando,brBRA,"DF,MF",37-056,15,"1,045",70,48.4,11.6,11,89,10,4,17,2,1.93,13,7,+6,+0.52,+0.44,16.7,8.3,+8.4,+0.72,-0.02,Matches
Romulo,brBRA,MF,24-202,17,"1,024",60,47.4,11.4,11,82,5,6,21,5,1.41,14,11,+3,+0.26,-0.05,17.7,11.1,+6.5,+0.58,-0.30,Matches
Bruno Gomes,brBRA,"DF,MF",23-168,17,987,58,45.7,11.0,11,79,5,6,20,6,1.59,13,9,+4,+0.36,+0.13,19.9,8.5,+11.4,+1.04,+0.56,Matches
Renê,brBRA,DF,32-005,14,953,68,44.1,10.6,11,86,10,3,3,9,1.43,8,8,0,0.00,-0.52,13.0,8.4,+4.6,+0.43,-0.54,Matches
Robert Renan,brBRA,DF,20-344,12,959,80,44.4,10.7,10,90,10,2,30,7,1.08,10,13,-3,-0.28,-1.03,14.1,10.7,+3.5,+0.33,-0.73,Matches
Alexandro Bernabei,arARG,DF,23-361,10,893,89,41.3,9.9,10,89,9,0,,13,1.90,15,8,+7,+0.71,+0.71,20.8,8.6,+12.2,+1.23,+0.85,Matches
Gabriel Carvalho,brBRA,"FW,MF",17-033,11,756,69,35.0,8.4,10,74,4,1,20,12,1.73,13,8,+5,+0.60,+0.47,18.1,6.3,+11.8,+1.40,+1.03,Matches
Fabricio Bustos,arARG,DF,28-144,11,864,79,40.0,9.6,9,88,6,2,37,1,1.45,10,8,+2,+0.21,-0.14,13.0,8.5,+4.5,+0.47,-0.44,Matches
Wanderson,brBRA,"FW,MF",29-348,13,776,60,35.9,8.6,9,73,3,4,29,0,1.46,9,7,+2,+0.23,-0.09,11.7,6.9,+4.8,+0.55,-0.28,Matches
Alan Patrick,brBRA,"MF,FW",33-129,11,722,66,33.4,8.0,8,78,6,3,34,1,1.91,12,8,+4,+0.50,+0.31,13.6,5.8,+7.8,+0.97,+0.36,Matches
Fabrício,brBRA,GK,38-256,8,720,90,33.3,8.0,8,90,8,0,,9,1.13,7,8,-1,-0.12,-0.62,8.0,6.9,+1.0,+0.13,-0.90,Matches
Igor Gomes,brBRA,DF,23-197,12,618,52,28.6,6.9,7,83,5,5,8,12,1.67,8,8,0,0.00,-0.41,8.6,5.8,+2.8,+0.41,-0.45,Matches
Lucas Alario,arARG,FW,31-347,13,615,47,28.5,6.8,6,71,1,7,27,8,1.38,10,8,+2,+0.29,0.00,11.1,6.3,+4.8,+0.71,-0.03,Matches
Enner Valencia,ecECU,FW,34-320,10,466,47,21.6,5.2,6,64,1,4,20,0,1.90,2,6,-4,-0.77,-1.36,7.5,6.2,+1.2,+0.24,-0.63,Matches
Bruno Tabata,brBRA,"MF,FW",27-173,6,459,77,21.3,5.1,6,77,2,0,,0,2.17,7,3,+4,+0.78,+0.63,10.3,3.2,+7.1,+1.38,+0.83,Matches
Agustín Rogel,uyURU,DF,26-338,5,391,78,18.1,4.3,5,78,4,0,,2,1.60,5,4,+1,+0.23,-0.08,10.3,3.0,+7.3,+1.68,+1.15,Matches
Mauricio,brBRA,MF,23-120,5,381,76,17.6,4.2,5,76,1,0,,0,2.00,3,3,0,0.00,-0.35,6.2,3.3,+2.9,+0.67,-0.07,Matches
