Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Gabriel,brBRA,GK,31-358,23,"2,024",88,86.5,22.5,23,88,22,0,,0,1.09,25,31,-6,-0.27,-0.55,22.2,35.9,-13.8,-0.61,+0.09,Matches
Erick,brBRA,FW,27-260,26,"1,694",65,72.4,18.8,23,68,4,3,45,0,1.23,21,28,-7,-0.37,-0.65,16.9,30.4,-13.5,-0.72,-0.34,Matches
Jadson,brBRA,MF,31-020,22,"1,862",85,79.6,20.7,22,85,15,0,,0,1.45,26,25,+1,+0.05,+1.18,20.3,33.1,-12.8,-0.62,+0.02,Matches
Lucas Barbosa,brBRA,FW,23-210,23,"1,716",75,73.3,19.1,22,76,2,1,45,0,1.13,20,27,-7,-0.37,-0.66,18.5,29.4,-10.9,-0.56,+0.26,Matches
Danilo Boza,brBRA,DF,26-136,21,"1,848",88,79.0,20.5,21,88,19,0,,0,1.38,25,30,-5,-0.24,-0.24,22.4,35.7,-13.4,-0.65,-0.13,Matches
Alan Ruschel,brBRA,DF,35-027,19,"1,607",85,68.7,17.9,19,85,15,0,,1,1.16,19,24,-5,-0.28,-0.28,18.4,30.0,-11.6,-0.65,-0.09,Matches
João Lucas,brBRA,DF,26-194,19,"1,604",84,68.5,17.8,19,84,16,0,,0,1.21,20,24,-4,-0.22,-0.10,18.4,26.6,-8.1,-0.46,+0.53,Matches
Zé Marcos,brBRA,DF,26-231,17,"1,471",87,62.9,16.3,17,87,13,0,,0,1.35,20,20,0,0.00,+0.52,17.0,27.3,-10.3,-0.63,-0.01,Matches
Caíque de Jesus Gonçalves,brBRA,MF,28-345,17,"1,422",84,60.8,15.8,17,84,11,0,,0,1.18,18,20,-2,-0.13,+0.17,17.6,21.0,-3.3,-0.21,+1.05,Matches
Nenê,brBRA,"MF,FW",43-062,20,"1,206",60,51.5,13.4,16,69,1,4,25,4,1.30,16,18,-2,-0.15,+0.09,13.3,19.9,-6.6,-0.49,+0.27,Matches
Jean Carlos Vicente,brBRA,"MF,FW",32-217,17,896,53,38.3,10.0,12,65,2,5,24,1,1.00,10,13,-3,-0.30,-0.18,9.8,17.2,-7.4,-0.74,-0.19,Matches
Marcelinho,brBRA,"FW,MF",21-283,17,817,48,34.9,9.1,9,67,1,8,27,2,1.35,15,11,+4,+0.44,+0.97,10.7,13.7,-2.9,-0.32,+0.47,Matches
Gilberto,brBRA,FW,35-106,15,680,45,29.1,7.6,9,53,0,6,34,2,1.25,9,5,+4,+0.53,+1.02,8.8,8.3,+0.4,+0.06,+0.96,Matches
Ronie Carrillo,ecECU,FW,28-011,9,546,61,23.3,6.1,8,66,2,1,20,3,1.33,8,7,+1,+0.16,+0.47,5.6,9.7,-4.1,-0.68,-0.07,Matches
Gabriel Inocêncio,brBRA,DF,30-030,14,855,61,36.5,9.5,7,90,7,7,32,12,1.21,11,16,-5,-0.53,-0.53,8.8,18.1,-9.3,-0.98,-0.56,Matches
Rodrigo Sam,brBRA,DF,29-057,12,758,63,32.4,8.4,7,83,6,5,35,3,1.17,7,13,-6,-0.71,-0.77,6.8,11.9,-5.1,-0.61,+0.02,Matches
Lucas Freitas,brBRA,DF,23-243,7,559,80,23.9,6.2,7,80,5,0,,12,1.43,9,8,+1,+0.16,+0.46,7.7,9.7,-2.0,-0.32,+0.39,Matches
Ewerton,brBRA,"DF,FW",23-314,14,649,46,27.7,7.2,6,74,3,8,25,3,1.14,10,10,0,0.00,+0.27,9.1,13.0,-3.9,-0.54,+0.11,Matches
Luis Oyama,brBRA,MF,27-233,13,515,40,22.0,5.7,4,82,2,9,21,8,0.92,8,9,-1,-0.17,+0.02,7.5,12.1,-4.6,-0.80,-0.22,Matches
Gabriel Taliari,brBRA,FW,27-159,12,453,38,19.4,5.0,3,58,0,9,31,2,1.17,6,12,-6,-1.19,-1.24,5.3,11.2,-5.9,-1.18,-0.69,Matches
Mateus Claus,brBRA,GK,30-047,4,316,79,13.5,3.5,3,90,3,1,46,19,2.00,6,5,+1,+0.28,+0.55,4.7,7.2,-2.5,-0.70,-0.09,Matches
Thiaguinho,brBRA,MF,27-161,6,279,47,11.9,3.1,3,72,0,3,21,12,1.50,4,4,0,0.00,+0.22,3.4,5.2,-1.8,-0.58,+0.05,Matches
Luis Mandaca,brBRA,"MF,FW",22-353,18,449,25,19.2,5.0,2,73,0,16,19,4,1.33,7,10,-3,-0.60,-0.51,7.6,11.9,-4.2,-0.85,-0.28,Matches
Ronaldo,brBRA,"MF,DF",27-332,2,180,90,7.7,2.0,2,90,2,0,,1,2.00,2,1,+1,+0.50,+0.75,1.2,1.4,-0.2,-0.09,+0.57,Matches
Dudu Vieira,brBRA,MF,30-212,3,174,58,7.4,1.9,2,73,0,1,29,1,1.00,1,4,-3,-1.55,-1.47,0.8,4.9,-4.1,-2.12,-1.62,Matches
Yan Souto,brBRA,"DF,MF",22-350,3,171,57,7.3,1.9,1,80,0,2,46,6,2.00,4,4,0,0.00,+0.21,2.0,3.6,-1.6,-0.85,-0.25,Matches
Abner,brBRA,DF,20-153,3,108,36,4.6,1.2,1,90,1,2,9,17,1.33,2,1,+1,+0.83,+1.08,1.3,2.5,-1.3,-1.07,-0.47,Matches
Davi Goes,brBRA,MF,19-089,2,55,28,2.4,0.6,1,45,0,1,10,5,1.50,2,0,+2,+3.27,+3.55,1.1,0.5,+0.6,+1.02,+1.68,Matches
Edson Carioca,brBRA,"FW,MF",27-077,7,154,22,6.6,1.7,0,,0,7,22,1,1.57,5,2,+3,+1.75,+2.08,1.7,4.2,-2.5,-1.48,-0.91,Matches
Diego Gonçalves,brBRA,"FW,MF",30-059,7,136,19,5.8,1.5,0,,0,7,19,1,0.71,2,4,-2,-1.32,-1.20,1.1,4.8,-3.7,-2.43,-1.92,Matches
Rildo,brBRA,"FW,MF",24-242,6,119,20,5.1,1.3,0,,0,6,20,3,1.17,0,0,0,0.00,+0.20,1.4,1.7,-0.3,-0.24,+0.40,Matches
Ruan,brBRA,"FW,MF",19-139,6,99,17,4.2,1.1,0,,0,6,17,7,0.67,1,4,-3,-2.73,-2.65,1.0,2.2,-1.1,-1.04,-0.43,Matches
Werik Popó,brBRA,FW,22-338,5,42,8,1.8,0.5,0,,0,5,8,2,1.60,1,0,+1,+2.14,+2.38,1.7,0.9,+0.8,+1.73,+2.40,Matches
David,brBRA,MF,24-254,1,37,37,1.6,0.4,0,,0,1,37,4,1.00,0,0,0,0.00,+0.20,0.2,0.6,-0.4,-0.92,-0.30,Matches
Kleiton,brBRA,FW,25-149,1,29,29,1.2,0.3,0,,0,1,29,3,1.00,0,1,-1,-3.10,-2.95,0.9,0.5,+0.5,+1.40,+2.05,Matches
Peixoto,brBRA,MF,27-081,2,20,10,0.9,0.2,0,,0,2,10,9,0.00,0,0,0,0.00,+0.19,0.2,0.5,-0.3,-1.34,-0.72,Matches
Guilherme Carvalho,brBRA,MF,25-000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Renan dos Santos,brBRA,GK,35-124,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Kelvi,brBRA,MF,21-338,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Mário,brBRA,GK,19-098,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Rafael Pinna,brBRA,FW,17-015,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Cauã da Rocha,brBRA,DF,19-281,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Romércio,brBRA,DF,27-207,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Mateus Schaffer,brBRA,,17-158,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
João Trevisol,brBRA,MF,19-153,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
João Vitor,brBRA,DF,22-056,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
Lucas Wingert,brBRA,GK,25-138,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Squad Total,,,29.0,26,"2,340",90,100,26.0,286,78,152,127,24,181,1.23,31,36,-5,-0.19,,26.9,43.1,-16.2,-0.62,,
Opponent Total,,,28.3,26,"2,340",90,100,26.0,286,78,162,123,23,182,1.46,36,31,+5,+0.19,,43.1,26.9,+16.2,+0.62,,
