Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Wéverton,brBRA,GK,36-281,25,"2,250",90,96.2,25.0,25,90,25,0,,1,2.00,43,17,+26,+1.04,+3.04,44.5,24.7,+19.7,+0.79,+0.63,Matches
Aníbal Moreno,arARG,MF,25-129,23,"1,706",74,72.9,19.0,20,82,13,3,23,0,1.91,34,13,+21,+1.11,+0.68,34.1,19.2,+14.9,+0.79,+0.08,Matches
Murilo Cerqueira,brBRA,DF,27-176,18,"1,572",87,67.2,17.5,18,87,14,0,,0,2.06,31,10,+21,+1.20,+0.85,32.1,16.7,+15.4,+0.88,+0.35,Matches
Raphael Veiga,brBRA,MF,29-092,22,"1,526",69,65.2,17.0,18,79,7,4,24,1,1.95,25,12,+13,+0.77,-0.45,29.7,17.2,+12.5,+0.74,-0.08,Matches
Estevão,brBRA,FW,18-148,22,"1,391",63,59.4,15.5,18,72,0,4,24,0,2.05,33,10,+23,+1.49,+1.39,29.2,14.4,+14.8,+0.96,+0.47,Matches
Gustavo Gómez,pyPAR,DF,31-136,16,"1,440",90,61.5,16.0,16,90,16,0,,1,1.75,22,10,+12,+0.75,-0.45,25.3,15.1,+10.2,+0.64,-0.33,Matches
José López,arARG,FW,23-288,23,"1,345",58,57.5,14.9,16,73,4,7,26,1,1.87,26,13,+13,+0.87,-0.13,22.6,15.4,+7.2,+0.48,-0.67,Matches
Joaquín Piquerez,uyURU,DF,26-026,16,"1,314",82,56.2,14.6,15,86,11,1,24,1,1.88,21,12,+9,+0.62,-0.70,26.4,15.2,+11.2,+0.77,0.00,Matches
Marcos Rocha,brBRA,DF,35-283,20,"1,394",70,59.6,15.5,14,85,10,6,35,6,2.00,30,8,+22,+1.42,+1.23,29.9,14.0,+15.9,+1.03,+0.65,Matches
Rony,brBRA,FW,29-131,25,"1,366",55,58.4,15.2,13,83,5,12,24,0,1.88,26,13,+13,+0.86,-0.16,29.3,15.6,+13.7,+0.90,+0.33,Matches
Richard Ríos,coCOL,MF,24-109,14,952,68,40.7,10.6,11,77,3,3,35,1,1.71,17,6,+11,+1.04,+0.20,15.1,9.1,+5.9,+0.56,-0.34,Matches
Gabriel Menino,brBRA,"MF,FW",23-356,19,921,48,39.4,10.2,11,69,1,8,20,3,1.84,17,9,+8,+0.78,-0.23,17.6,9.6,+8.0,+0.78,+0.02,Matches
Mayke,brBRA,DF,31-314,17,865,51,37.0,9.6,10,74,5,7,18,1,1.94,14,9,+5,+0.52,-0.64,17.2,10.7,+6.5,+0.67,-0.15,Matches
Zé Rafael,brBRA,MF,31-095,13,825,63,35.3,9.2,10,77,4,3,17,3,2.15,15,8,+7,+0.76,-0.25,18.7,6.9,+11.8,+1.26,+0.77,Matches
Vitor Reis,brBRA,DF,18-251,10,827,83,35.3,9.2,9,90,9,1,17,7,1.50,13,9,+4,+0.44,-0.75,13.4,10.2,+3.2,+0.35,-0.65,Matches
Kaiky Naves,brBRA,DF,22-134,10,729,73,31.2,8.1,9,81,7,1,1,12,2.20,18,6,+12,+1.48,+0.81,18.2,7.2,+11.0,+1.36,+0.86,Matches
Lázaro,brBRA,"FW,MF",22-191,15,743,50,31.8,8.3,8,71,1,7,25,2,1.67,10,7,+3,+0.36,-0.82,14.0,7.2,+6.8,+0.82,+0.08,Matches
Vanderlan,brBRA,DF,22-012,17,738,43,31.5,8.2,6,86,5,11,20,9,2.18,11,7,+4,+0.49,-0.64,10.9,9.5,+1.4,+0.17,-0.87,Matches
Mauricio,brBRA,"MF,FW",23-120,10,550,55,23.5,6.1,6,80,2,4,18,0,1.70,14,5,+9,+1.47,+0.72,8.7,5.5,+3.2,+0.52,-0.32,Matches
Caio Paulista,brBRA,"DF,FW",26-131,13,462,36,19.7,5.1,6,67,1,7,8,13,2.15,14,3,+11,+2.14,+1.52,10.4,3.4,+7.0,+1.36,+0.74,Matches
Endrick,brBRA,"MF,FW",18-060,6,453,76,19.4,5.0,6,76,3,0,,0,1.33,2,3,-1,-0.20,-1.39,5.4,4.0,+1.3,+0.26,-0.62,Matches
Felipe Anderson,brBRA,"FW,MF",31-157,9,524,58,22.4,5.8,5,80,2,4,31,0,1.78,14,2,+12,+2.06,+1.47,10.5,4.1,+6.4,+1.10,+0.43,Matches
Fabinho,brBRA,MF,22-163,14,402,29,17.2,4.5,3,66,0,11,19,12,2.71,5,3,+2,+0.45,-0.57,9.2,5.3,+3.9,+0.88,+0.13,Matches
Dudu,brBRA,"FW,MF",32-256,10,307,31,13.1,3.4,3,58,0,7,19,5,1.40,4,4,0,0.00,-1.06,5.5,4.5,+1.0,+0.31,-0.53,Matches
Agustín Giay,arARG,DF,20-247,4,251,63,10.7,2.8,3,80,2,1,12,5,1.25,1,4,-3,-1.08,-2.24,3.6,3.4,+0.1,+0.04,-0.81,Matches
Luan Garcia,brBRA,DF,31-132,3,237,79,10.1,2.6,3,79,2,0,,4,1.33,1,1,0,0.00,-1.03,2.4,2.3,0.0,+0.01,-0.84,Matches
Luis Guilherme,brBRA,"FW,DF",18-223,5,183,37,7.8,2.0,1,57,0,4,32,2,2.00,3,1,+2,+0.98,+0.07,4.2,2.0,+2.2,+1.09,+0.35,Matches
Romulo,brBRA,"FW,MF",22-348,7,151,22,6.5,1.7,1,45,0,6,18,12,1.86,3,0,+3,+1.79,+0.92,3.8,0.6,+3.3,+1.93,+1.25,Matches
