Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Luan Cândido,brBRA,DF,23-230,20,"1,707",85,75.9,19.0,20,85,18,0,,0,1.30,23,23,0,0.00,+0.17,17.9,24.2,-6.3,-0.33,-0.56,Matches
Cleiton Schwengber,brBRA,GK,27-031,19,"1,619",85,72.0,18.0,19,85,17,0,,1,1.37,22,22,0,0.00,+0.14,17.2,22.1,-4.9,-0.27,-0.27,Matches
Lucas Evangelista,brBRA,MF,29-136,19,"1,438",76,63.9,16.0,17,81,11,2,31,0,1.16,20,22,-2,-0.13,-0.24,17.5,18.9,-1.3,-0.08,+0.31,Matches
Henry Mosquera,coCOL,"FW,MF",22-309,24,"1,500",63,66.7,16.7,15,77,6,9,38,0,1.29,21,19,+2,+0.12,+0.48,17.9,21.4,-3.4,-0.20,-0.02,Matches
Juninho Capixaba,brBRA,"DF,MF",27-075,15,"1,183",79,52.6,13.1,15,79,8,0,,1,1.47,18,16,+2,+0.15,+0.41,13.6,15.5,-2.0,-0.15,+0.10,Matches
Pedro Henrique,brBRA,DF,28-353,15,"1,239",83,55.1,13.8,14,88,13,1,12,0,1.33,17,15,+2,+0.15,+0.41,13.0,17.8,-4.8,-0.35,-0.34,Matches
Eduardo Sasha,brBRA,FW,32-208,16,"1,147",72,51.0,12.7,14,76,2,2,45,0,1.25,16,17,-1,-0.08,-0.08,13.2,16.3,-3.1,-0.25,-0.10,Matches
Helinho,brBRA,"FW,MF",24-147,17,"1,102",65,49.0,12.2,14,74,4,3,21,1,1.29,16,16,0,0.00,+0.08,12.1,14.0,-1.9,-0.16,+0.08,Matches
Jadsom,brBRA,"MF,DF",23-122,19,"1,020",54,45.3,11.3,14,61,4,5,32,0,1.47,18,19,-1,-0.09,-0.09,12.1,13.3,-1.2,-0.11,+0.17,Matches
Raul,brBRA,MF,28-070,18,"1,063",59,47.2,11.8,13,73,5,5,24,4,1.56,14,14,0,0.00,+0.08,13.9,11.8,+2.2,+0.18,+0.72,Matches
Vitinho,brBRA,"FW,MF",25-171,22,"1,163",53,51.7,12.9,12,71,4,10,31,1,1.27,17,19,-2,-0.15,-0.24,14.1,15.5,-1.4,-0.11,+0.19,Matches
Nathan Mendes,brBRA,DF,22-031,15,"1,120",75,49.8,12.4,11,90,10,4,33,0,1.07,11,13,-2,-0.16,-0.24,11.0,16.4,-5.5,-0.44,-0.48,Matches
Douglas Mendes,brBRA,DF,20-098,14,"1,104",79,49.1,12.3,11,90,11,3,38,9,1.57,15,16,-1,-0.08,-0.08,13.6,15.9,-2.3,-0.19,+0.02,Matches
Eric Ramires,brBRA,MF,24-040,19,"1,033",54,45.9,11.5,11,70,3,8,33,0,1.26,14,12,+2,+0.17,+0.40,10.7,12.5,-1.8,-0.15,+0.08,Matches
