Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Robert Arboleda,ecECU,DF,32-333,22,"1,864",85,79.7,20.7,21,88,20,1,19,2,1.82,30,21,+9,+0.43,+0.62,24.6,18.0,+6.6,+0.32,+0.24,Matches
Jonathan Calleri,arARG,FW,30-362,21,"1,588",76,67.9,17.6,19,81,9,2,22,1,1.48,24,19,+5,+0.28,-0.08,18.3,13.9,+4.4,+0.25,-0.06,Matches
Igor Vinícius de Souza,brBRA,DF,27-171,19,"1,588",84,67.9,17.6,19,84,10,0,,0,1.63,24,17,+7,+0.40,+0.28,20.1,14.5,+5.6,+0.32,+0.14,Matches
Welington,brBRA,DF,23-213,20,"1,524",76,65.1,16.9,17,87,14,3,16,3,1.70,22,17,+5,+0.30,-0.04,17.6,13.6,+4.0,+0.24,-0.09,Matches
Alan Franco,arARG,DF,27-344,18,"1,393",77,59.5,15.5,16,85,13,2,14,3,1.84,25,17,+8,+0.52,+0.52,18.6,12.7,+5.8,+0.38,+0.27,Matches
Luciano,brBRA,"MF,FW",31-124,20,"1,392",70,59.5,15.5,16,79,3,4,32,1,1.45,23,13,+10,+0.65,+0.84,18.9,11.5,+7.4,+0.48,+0.51,Matches
Alisson,brBRA,MF,31-086,16,"1,353",85,57.8,15.0,16,85,11,0,,0,1.88,24,11,+13,+0.86,+1.32,17.9,9.7,+8.1,+0.54,+0.64,Matches
Rafael Pires,brBRA,GK,35-088,15,"1,350",90,57.7,15.0,15,90,15,0,,3,1.40,18,15,+3,+0.20,-0.25,17.2,12.8,+4.4,+0.29,+0.05,Matches
Lucas Moura,brBRA,"FW,MF",32-037,17,"1,303",77,55.7,14.5,15,83,5,2,31,0,1.65,22,16,+6,+0.41,+0.24,14.6,12.4,+2.2,+0.15,-0.27,Matches
Luiz Gustavo,brBRA,MF,37-058,18,"1,325",74,56.6,14.7,14,87,11,4,26,3,1.56,19,19,0,0.00,-0.71,15.0,13.3,+1.8,+0.12,-0.34,Matches
Jandrei,brBRA,GK,31-202,11,990,90,42.3,11.0,11,90,11,0,,14,2.09,16,11,+5,+0.45,+0.25,11.8,9.2,+2.7,+0.24,-0.05,Matches
Damián Bobadilla,pyPAR,MF,23-070,14,808,58,34.5,9.0,11,70,4,3,11,3,1.93,7,7,0,0.00,-0.47,9.4,9.7,-0.3,-0.04,-0.47,Matches
André Silva,brBRA,"FW,MF",27-108,20,920,46,39.3,10.2,10,79,4,10,13,6,1.70,13,10,+3,+0.29,-0.02,12.1,9.6,+2.4,+0.24,-0.05,Matches
Diego,brBRA,DF,25-060,14,894,64,38.2,9.9,9,90,9,5,17,2,1.71,13,12,+1,+0.10,-0.34,11.0,6.3,+4.7,+0.47,+0.32,Matches
Ferreira,brBRA,"FW,MF",26-263,19,843,44,36.0,9.4,9,71,1,10,20,2,1.53,15,10,+5,+0.53,+0.35,12.1,8.3,+3.8,+0.41,+0.22,Matches
Rodrigo Nestor,brBRA,"MF,FW",24-041,18,790,44,33.8,8.8,9,69,2,9,18,5,1.67,13,9,+4,+0.46,+0.22,10.0,8.0,+2.1,+0.23,-0.06,Matches
Nahuel Ferraresi,veVEN,DF,25-305,12,791,66,33.8,8.8,8,84,7,4,29,5,1.58,9,8,+1,+0.11,-0.29,8.6,8.5,+0.1,+0.01,-0.39,Matches
Wellington Rato,brBRA,"FW,MF",32-083,17,784,46,33.5,8.7,8,74,1,9,21,2,1.71,6,8,-2,-0.23,-0.81,8.8,9.2,-0.4,-0.05,-0.48,Matches
Michel Araujo,uyURU,"DF,FW",27-357,17,729,43,31.2,8.1,8,70,2,9,19,5,1.76,7,8,-1,-0.12,-0.63,9.2,6.9,+2.3,+0.29,+0.02,Matches
José Sabino,brBRA,DF,27-330,5,450,90,19.2,5.0,5,90,5,0,,19,1.80,5,5,0,0.00,-0.38,5.2,5.1,+0.1,+0.02,-0.31,Matches
Patryck,brBRA,"DF,FW",21-245,7,387,55,16.5,4.3,4,79,2,3,24,15,1.86,4,4,0,0.00,-0.37,5.5,5.1,+0.4,+0.08,-0.22,Matches
Giuliano Galoppo,arARG,MF,25-093,11,368,33,15.7,4.1,3,65,0,8,22,7,1.82,5,4,+1,+0.24,-0.07,5.1,2.9,+2.2,+0.54,+0.32,Matches
Marcos Antônio,brBRA,MF,24-098,4,305,76,13.0,3.4,3,87,2,1,45,2,2.25,4,2,+2,+0.59,+0.32,4.3,2.6,+1.7,+0.52,+0.28,Matches
William Gomes,brBRA,"FW,MF",18-188,5,293,59,12.5,3.3,3,84,1,2,21,16,1.20,4,6,-2,-0.61,-1.05,2.8,2.3,+0.5,+0.14,-0.14,Matches
Juan Santos,brBRA,"FW,MF",22-197,10,263,26,11.2,2.9,3,69,1,7,8,10,1.70,3,5,-2,-0.68,-1.12,3.0,3.6,-0.6,-0.22,-0.55,Matches
Pablo Maia,brBRA,MF,22-253,3,259,86,11.1,2.9,3,86,1,0,,0,1.00,5,4,+1,+0.35,+0.04,2.7,1.7,+1.0,+0.34,+0.08,Matches
Rafinha,brBRA,DF,39-012,4,235,59,10.0,2.6,3,75,1,1,11,6,1.00,3,3,0,0.00,-0.34,2.0,1.5,+0.4,+0.17,-0.11,Matches
João Moreira,ptPOR,"DF,MF",20-121,3,173,58,7.4,1.9,3,58,0,0,,6,2.00,2,1,+1,+0.52,+0.23,1.6,2.6,-0.9,-0.49,-0.82,Matches
Erick,brBRA,"MF,FW",26-284,13,351,27,15.0,3.9,2,79,0,11,18,12,1.54,7,5,+2,+0.51,+0.24,5.4,3.2,+2.3,+0.58,+0.37,Matches
Liziero,brBRA,MF,26-225,3,100,33,4.3,1.1,1,66,0,2,17,3,2.00,1,0,+1,+0.90,+0.62,1.6,0.6,+1.0,+0.94,+0.70,Matches
