Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Léo Jardim,brBRA,GK,29-183,25,"2,250",90,100.0,25.0,25,90,25,0,,0,1.40,30,35,-5,-0.20,,24.4,34.3,-9.9,-0.39,,Matches
Pablo Vegetti,arARG,FW,35-340,23,"1,992",87,88.5,22.1,22,89,19,1,45,0,1.48,28,30,-2,-0.09,+0.96,22.0,31.2,-9.2,-0.42,-0.20,Matches
Paulo Henrique,brBRA,DF,28-056,24,"1,858",77,82.6,20.6,21,86,13,3,17,0,1.42,22,27,-5,-0.24,-0.24,19.4,26.7,-7.3,-0.35,+0.22,Matches
Léo Pelé,brBRA,DF,28-197,20,"1,800",90,80.0,20.0,20,90,20,0,,5,1.25,21,30,-9,-0.45,-1.25,20.2,28.9,-8.7,-0.44,-0.21,Matches
Maicon,brBRA,DF,36-005,23,"1,795",78,79.8,19.9,20,85,17,3,30,1,1.26,22,30,-8,-0.40,-0.99,18.3,29.0,-10.8,-0.54,-0.72,Matches
Lucas Piton,brBRA,DF,23-346,20,"1,747",87,77.6,19.4,20,87,15,0,,2,1.35,21,29,-8,-0.41,-0.95,19.8,28.7,-8.9,-0.46,-0.29,Matches
David,brBRA,FW,28-338,21,"1,486",71,66.0,16.5,18,80,7,3,17,0,1.33,20,21,-1,-0.06,+0.41,18.5,22.0,-3.4,-0.21,+0.55,Matches
Hugo Moura,brBRA,MF,26-260,18,"1,208",67,53.7,13.4,16,73,2,2,24,3,1.39,17,14,+3,+0.22,+0.91,14.6,16.1,-1.5,-0.11,+0.61,Matches
Mateus Cocão,brBRA,MF,22-185,21,"1,311",62,58.3,14.6,15,81,7,6,17,1,1.57,20,16,+4,+0.27,+1.14,15.1,17.7,-2.5,-0.18,+0.52,Matches
Adson,brBRA,FW,23-349,20,"1,224",61,54.4,13.6,14,77,4,6,25,1,1.55,18,15,+3,+0.22,+0.92,14.4,14.9,-0.4,-0.03,+0.79,Matches
Juan Sforza,arARG,MF,22-218,19,"1,001",53,44.5,11.1,10,81,7,9,21,5,1.26,17,21,-4,-0.36,-0.29,11.1,17.1,-6.0,-0.54,-0.26,Matches
João Victor,brBRA,DF,26-064,12,834,70,37.1,9.3,9,79,6,3,42,4,1.67,15,13,+2,+0.22,+0.66,9.1,12.7,-3.7,-0.40,0.00,Matches
Pablo Galdames Millán,clCHI,MF,27-264,11,762,69,33.9,8.5,9,76,3,2,38,5,0.91,6,17,-11,-1.30,-1.66,5.8,14.3,-8.5,-1.00,-0.92,Matches
Dimitri Payet,frFRA,MF,37-174,12,700,58,31.1,7.8,9,63,0,3,45,0,1.58,12,10,+2,+0.26,+0.66,7.9,9.3,-1.4,-0.19,+0.30,Matches
Rossi,brBRA,"FW,MF",31-150,11,507,46,22.5,5.6,9,49,0,2,31,7,1.17,6,9,-3,-0.53,-0.43,2.4,7.8,-5.5,-0.97,-0.74,Matches
Victor Luis,brBRA,DF,31-088,9,397,44,17.6,4.4,5,76,1,4,5,13,1.33,4,3,+1,+0.23,+0.52,3.2,4.2,-1.0,-0.22,+0.21,Matches
Rayan Vitor,brBRA,"FW,MF",18-047,16,532,33,23.6,5.9,4,52,0,12,27,8,1.31,9,13,-4,-0.68,-0.62,8.0,8.4,-0.4,-0.08,+0.42,Matches
João Pedro,brBRA,MF,19-153,10,432,43,19.2,4.8,4,65,0,6,29,10,2.10,5,2,+3,+0.62,+1.02,2.9,3.4,-0.5,-0.11,+0.35,Matches
Zé Gabriel,brBRA,MF,25-242,14,457,33,20.3,5.1,3,87,1,11,18,3,1.07,3,9,-6,-1.18,-1.23,4.1,7.3,-3.2,-0.64,-0.31,Matches
José Luis Rodríguez Bebanz,uyURU,DF,27-189,10,321,32,14.3,3.6,3,76,1,7,13,12,1.20,6,9,-3,-0.84,-0.75,3.3,8.0,-4.7,-1.31,-1.06,Matches
Bruno Praxedes,brBRA,MF,22-224,6,262,44,11.6,2.9,3,61,0,3,27,3,2.00,4,5,-1,-0.34,-0.16,3.1,5.7,-2.6,-0.90,-0.57,Matches
Emerson Rodríguez,coCOL,FW,24-025,6,248,41,11.0,2.8,3,58,0,3,25,2,1.67,2,1,+1,+0.36,+0.63,2.7,2.9,-0.2,-0.07,+0.37,Matches
Guilherme Estrella,brBRA,MF,19-150,3,146,49,6.5,1.6,3,49,0,0,,2,1.33,3,2,+1,+0.62,+0.87,2.4,1.3,+1.0,+0.62,+1.08,Matches
Robert Rojas,pyPAR,DF,28-142,5,175,35,7.8,1.9,2,41,0,3,31,16,1.80,1,2,-1,-0.51,-0.34,1.3,1.7,-0.3,-0.17,+0.25,Matches
