Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Lucas Arcanjo,brBRA,GK,26-042,26,"2,340",90,100.0,26.0,26,90,26,0,,0,0.96,28,39,-11,-0.42,,27.6,30.7,-3.1,-0.12,,Matches
Wagner,brBRA,DF,25-058,25,"2,166",87,92.6,24.1,25,87,24,0,,0,1.00,26,34,-8,-0.33,+1.22,25.7,26.1,-0.4,-0.02,+1.36,Matches
Willian,brBRA,MF,31-126,24,"1,852",77,79.1,20.6,22,82,16,2,22,1,1.00,24,30,-6,-0.29,+0.63,21.7,24.8,-3.1,-0.15,-0.15,Matches
Matheusinho,brBRA,"MF,FW",26-337,23,"1,690",73,72.2,18.8,22,76,9,1,20,0,1.09,21,25,-4,-0.21,+0.76,18.1,22.1,-3.9,-0.21,-0.32,Matches
Alerrandro,brBRA,FW,24-251,24,"1,537",64,65.7,17.1,22,68,3,2,20,1,1.04,19,22,-3,-0.18,+0.72,19.3,17.3,+2.0,+0.12,+0.69,Matches
Lucas Esteves,brBRA,"DF,MF",24-087,23,"1,942",84,83.0,21.6,21,88,17,2,48,1,0.83,23,34,-11,-0.51,-0.51,22.1,24.9,-2.9,-0.13,-0.08,Matches
Willean Lepo,brBRA,DF,27-247,21,"1,621",77,69.3,18.0,19,83,16,2,24,1,0.76,16,25,-9,-0.50,-0.25,18.0,18.0,0.0,0.00,+0.39,Matches
Luan Silva,brBRA,MF,25-128,19,"1,222",64,52.2,13.6,17,69,3,2,22,2,1.16,12,15,-3,-0.22,+0.42,13.4,13.7,-0.2,-0.02,+0.21,Matches
Osvaldo,brBRA,"MF,FW",37-161,19,"1,072",56,45.8,11.9,17,59,0,2,32,3,1.00,13,13,0,0.00,+0.78,12.9,12.6,+0.3,+0.03,+0.27,Matches
Léo Naldi,brBRA,MF,23-032,17,"1,040",61,44.4,11.6,11,74,5,6,38,7,1.12,14,13,+1,+0.09,+0.92,11.2,12.7,-1.5,-0.13,-0.01,Matches
Janderson,brBRA,"FW,MF",25-136,18,904,50,38.6,10.0,9,75,2,9,26,2,0.89,8,17,-9,-0.90,-0.77,9.3,11.8,-2.5,-0.25,-0.21,Matches
Caio Vinícius,brBRA,"DF,MF",25-252,10,600,60,25.6,6.7,8,70,4,2,21,5,0.90,7,11,-4,-0.60,-0.24,6.3,6.5,-0.2,-0.04,+0.11,Matches
Raúl Cáceres,pyPAR,"DF,MF",33-001,11,716,65,30.6,8.0,7,82,2,4,36,9,1.36,12,8,+4,+0.50,+1.33,9.5,8.7,+0.8,+0.10,+0.31,Matches
Patric Calmon PK,brBRA,DF,30-076,10,495,50,21.2,5.5,7,64,2,3,16,9,0.90,5,7,-2,-0.36,+0.08,6.7,7.2,-0.6,-0.10,+0.02,Matches
Neris,brBRA,DF,32-094,6,459,77,19.6,5.1,6,77,4,0,,0,1.67,6,3,+3,+0.59,+1.26,6.2,3.1,+3.2,+0.62,+0.92,Matches
Ricardo,brBRA,MF,30-205,8,419,52,17.9,4.7,6,62,0,2,25,1,1.25,3,6,-3,-0.64,-0.27,4.3,3.7,+0.5,+0.11,+0.28,Matches
Camutanga,brBRA,DF,30-358,5,449,90,19.2,5.0,5,90,4,0,,1,1.00,4,5,-1,-0.20,+0.28,5.9,4.7,+1.2,+0.23,+0.44,Matches
Bruno Uvini,brBRA,DF,33-108,6,428,71,18.3,4.8,5,85,4,1,5,5,0.67,5,12,-7,-1.47,-1.28,3.8,10.0,-6.1,-1.29,-1.43,Matches
Machado,brBRA,MF,28-243,7,418,60,17.9,4.6,5,71,0,2,31,0,1.43,7,4,+3,+0.65,+1.30,5.7,2.5,+3.2,+0.68,+0.98,Matches
Zeca,brBRA,DF,30-126,5,388,78,16.6,4.3,4,86,3,1,45,0,0.20,5,11,-6,-1.39,-1.16,4.8,8.5,-3.7,-0.85,-0.88,Matches
