Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Kaique Rocha,brBRA,DF,23-204,21.6,1242,199,588,606,61,25,1242,16,12,75.0,3,18.8,701,3246,1894,10,9,1,10,4,775,5,Matches
Erick,brBRA,"MF,DF",26-310,18.7,1049,47,234,661,161,37,1049,18,9,50.0,6,33.3,583,2979,1474,12,17,3,16,13,709,25,Matches
Lucas Esquivel,arARG,DF,22-341,17.8,1333,69,383,637,324,14,1333,34,19,55.9,11,32.4,706,3520,1944,32,22,2,13,14,802,62,Matches
Fernandinho,brBRA,MF,39-138,15.2,1017,29,129,670,234,15,1016,23,11,47.8,9,39.1,606,3198,1827,36,27,3,18,16,701,33,Matches
Thiago Heleno,brBRA,DF,36-002,14.5,875,154,456,397,22,13,875,1,0,0.0,1,100.0,487,2037,821,0,1,0,3,0,581,0,Matches
Leonardo Linck,brBRA,GK,23-200,13.6,387,330,383,4,0,0,387,0,0,,0,,207,1044,700,0,0,0,0,0,166,0,Matches
Christian,brBRA,"MF,FW",23-275,13.3,556,7,57,275,228,40,556,21,8,38.1,11,52.4,330,1446,554,14,13,3,25,9,397,94,Matches
Leonardo Godoy,arARG,DF,29-144,11.9,650,31,161,296,197,25,650,14,4,28.6,9,64.3,325,1249,693,14,13,5,10,5,392,70,Matches
Bruno Zapelli,arARG,"MF,FW",22-125,11.9,711,7,53,326,344,38,711,44,25,56.8,16,36.4,436,2229,978,31,22,7,28,30,512,94,Matches
Julimar,brBRA,"FW,MF",23-238,13.3,615,22,71,226,332,82,615,44,23,52.3,19,43.2,366,2723,1430,59,32,19,24,19,426,128,Matches
Mateo Gamarra,pyPAR,DF,23-335,11.6,826,103,385,409,37,15,826,4,2,50.0,2,50.0,475,2284,1337,4,2,1,3,5,506,1,Matches
Tomás Cuello,arARG,"FW,MF",24-198,10.5,573,8,68,215,304,34,573,60,34,56.7,24,40.0,364,2659,1474,47,27,12,19,17,395,104,Matches
Agustín Canobbio,uyURU,"FW,MF",25-354,9.7,433,2,33,172,235,47,433,26,9,34.6,12,46.2,283,1660,816,32,20,8,26,18,300,102,Matches
Nikão,brBRA,"FW,MF",32-052,9.7,566,5,55,253,264,34,566,16,8,50.0,7,43.8,343,1802,788,24,20,8,22,15,405,79,Matches
Pablo,brBRA,"FW,MF",32-088,10.1,377,12,34,185,159,34,377,3,1,33.3,2,66.7,187,720,314,9,7,4,18,5,249,39,Matches
Gabriel,brBRA,MF,32-071,9.4,737,24,149,477,117,5,737,2,1,50.0,1,50.0,425,1889,944,15,7,0,7,0,494,5,Matches
Gonzalo Mastriani,uyURU,FW,31-144,8.7,251,11,32,111,116,38,251,12,1,8.3,10,83.3,107,349,115,0,3,1,10,12,155,35,Matches
Bento,brBRA,GK,25-101,7.0,184,156,183,1,0,0,184,0,0,,0,,97,508,285,0,0,0,0,0,76,0,Matches
Lucas Di Yorio,arARG,FW,27-302,6.9,210,8,21,87,103,31,210,10,6,60.0,4,40.0,101,429,199,12,4,8,21,10,138,31,Matches
Fernando,brBRA,DF,25-005,5.8,387,13,112,205,75,0,387,18,7,38.9,11,61.1,234,1258,661,8,7,0,6,0,243,15,Matches
Mádson,brBRA,DF,32-250,7.6,392,32,100,180,112,16,392,5,0,0.0,4,80.0,161,681,346,10,5,2,3,2,205,46,Matches
João Machado Cruz,brBRA,MF,18-130,4.3,262,6,36,116,110,9,262,4,1,25.0,3,75.0,158,783,402,14,10,3,8,4,179,31,Matches
Mycael,brBRA,GK,20-191,3.4,91,83,91,0,0,0,91,0,0,,0,,44,251,118,0,0,0,0,0,36,0,Matches
Filipinho,brBRA,MF,22-337,1.9,92,3,21,54,17,0,92,6,3,50.0,1,16.7,49,254,126,3,2,0,0,4,50,2,Matches
Emersonn,brBRA,"FW,MF",20-065,1.8,58,1,8,19,32,8,58,7,5,71.4,2,28.6,23,174,104,4,4,2,5,3,27,12,Matches
José Vitor Silva Neves,brBRA,"MF,FW",24-140,2.0,154,3,20,81,57,4,154,15,5,33.3,9,60.0,84,487,204,4,6,1,10,8,104,6,Matches
Alex Santana,brBRA,"MF,FW",29-129,1.1,59,0,4,31,24,2,59,2,1,50.0,1,50.0,35,205,98,1,4,1,0,0,39,1,Matches
Bruno Praxedes,brBRA,"MF,FW",22-224,0.3,28,1,2,9,17,0,28,0,0,,0,,12,54,26,0,1,0,0,0,19,5,Matches
Kayke Santos,brBRA,FW,16-146,0.0,5,0,1,3,2,0,5,2,0,0.0,2,100.0,3,9,0,0,0,0,0,2,3,1,Matches
Squad Total,,,27.3,24.0,14120,1366,3870,6706,3684,566,14119,407,195,47.9,180,44.2,7932,40127,20672,395,285,94,305,215,9084,1026,
Opponent Total,,,28.0,24.0,13476,1654,4735,6084,2822,421,13475,416,219,52.6,161,38.7,7005,39431,20839,383,266,88,390,233,8369,870,
