Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Adriano Martins,brBRA,DF,27-171,22.6,1181,172,611,528,53,24,1181,11,6,54.5,5,45.5,604,3215,2009,19,8,1,10,3,711,6,Matches
Guilherme Romão,brBRA,DF,26-348,22.5,1307,70,324,602,392,51,1307,49,21,42.9,25,51.0,681,3765,1997,54,33,8,25,12,760,104,Matches
Luiz Fernando,brBRA,"FW,MF",27-339,21.9,826,24,109,295,446,73,826,51,18,35.3,32,62.7,535,3984,1980,66,45,19,40,23,600,189,Matches
Ronaldo,brBRA,GK,28-028,22.0,638,555,633,5,1,1,638,0,0,,0,,299,1635,1062,0,0,0,1,0,224,0,Matches
Shaylon,brBRA,"FW,MF",27-145,19.2,1023,13,140,473,416,31,1021,18,5,27.8,13,72.2,583,2626,1001,27,34,6,25,17,673,71,Matches
Gabriel Baralhas,brBRA,MF,25-345,16.6,824,34,148,470,213,27,824,28,9,32.1,15,53.6,404,1537,676,12,18,5,25,10,488,42,Matches
Rhaldney,brBRA,MF,25-304,16.4,932,28,158,560,228,17,932,16,13,81.3,3,18.8,579,2944,1276,20,27,1,28,13,643,38,Matches
Maguinho,brBRA,DF,31-257,15.1,894,33,240,365,296,32,894,21,7,33.3,11,52.4,431,2256,1002,26,20,5,18,9,514,66,Matches
Alix Vinicius,brBRA,DF,24-318,12.7,626,99,291,304,40,20,626,8,6,75.0,1,12.5,306,1621,1001,7,3,1,1,4,345,8,Matches
Emiliano Rodríguez,uyURU,FW,21-065,12.2,378,11,30,175,179,64,378,28,9,32.1,16,57.1,195,882,283,10,11,6,43,15,253,64,Matches
Lucas Kal,brBRA,"MF,DF",28-187,12.8,677,42,199,403,81,6,677,7,3,42.9,4,57.1,345,1730,953,7,9,0,11,3,430,8,Matches
Alejo Cruz,uyURU,"MF,FW",24-018,13.2,708,11,94,277,350,22,707,26,10,38.5,14,53.8,388,1924,1114,32,30,4,23,10,419,93,Matches
Luiz Felipe,brBRA,DF,31-010,9.1,399,54,210,178,14,8,399,1,1,100.0,0,0.0,186,811,458,2,2,0,1,0,216,0,Matches
Bruno Tubarão,brBRA,DF,29-198,8.1,489,19,139,218,137,4,489,16,6,37.5,7,43.8,269,1756,887,22,19,0,7,7,292,22,Matches
Budiga Roni,brBRA,"MF,DF",25-157,7.9,407,34,133,204,72,5,407,5,4,80.0,1,20.0,190,696,250,1,2,0,7,8,238,13,Matches
Pedrão,brBRA,DF,31-276,6.1,367,40,195,164,9,4,367,0,0,,0,,226,978,492,1,1,0,1,0,249,0,Matches
Gonzalo Freitas,uyURU,MF,32-353,6.0,265,26,89,136,40,9,265,3,2,66.7,1,33.3,111,453,98,1,1,0,4,3,128,3,Matches
Janderson,brBRA,"FW,MF",25-206,5.9,261,2,31,90,149,18,261,22,7,31.8,13,59.1,152,976,509,20,15,5,22,7,163,49,Matches
Joel Campbell,crCRC,"MF,FW",32-085,4.7,254,1,20,123,116,13,253,20,7,35.0,11,55.0,172,1041,468,17,10,2,11,10,189,32,Matches
Derek,brBRA,FW,26-292,4.5,142,2,8,55,81,28,142,10,4,40.0,5,50.0,68,408,169,8,4,5,20,7,84,21,Matches
Jan Carlos Hurtado,veVEN,FW,24-198,4.3,126,6,9,49,70,14,126,8,2,25.0,5,62.5,65,228,82,3,3,1,12,7,79,22,Matches
Pedro Rangel,brBRA,GK,24-082,4.0,158,114,158,0,0,0,158,1,1,100.0,0,0.0,106,607,428,0,1,1,0,0,80,0,Matches
Vágner Love,brBRA,"FW,MF",40-100,2.0,61,2,3,21,37,8,61,1,0,0.0,1,100.0,35,108,33,1,1,0,6,4,46,7,Matches
Yony González,coCOL,"FW,MF",30-070,3.0,115,3,22,34,61,12,115,10,5,50.0,4,40.0,62,341,167,5,5,1,7,4,77,32,Matches
Yeferson Rodallega,coCOL,DF,23-301,1.2,66,7,23,30,13,0,66,0,0,,0,,28,123,73,2,1,0,0,0,30,3,Matches
Philipe Sampaio,brBRA,DF,29-313,1.0,82,7,50,29,3,1,82,0,0,,0,,55,327,144,0,0,0,1,1,65,0,Matches
Gabriel Barros,brBRA,"FW,MF",22-330,0.9,30,0,4,18,9,0,30,3,3,100.0,0,0.0,18,121,30,0,0,0,3,1,19,4,Matches
Dé Marcão,brBRA,DF,23-127,0.8,35,5,17,15,3,1,35,0,0,,0,,12,76,39,0,1,0,0,0,14,0,Matches
Luiz Gustavo,brBRA,DF,21-112,0.5,27,3,17,10,0,0,27,0,0,,0,,14,73,44,0,0,0,0,0,14,0,Matches
Max,brBRA,"FW,MF",22-083,2.9,135,2,11,57,72,16,135,14,6,42.9,8,57.1,82,687,361,13,11,5,10,3,95,32,Matches
Danielzinho,brBRA,"MF,FW",28-252,1.1,117,2,10,64,44,2,117,1,1,100.0,0,0.0,75,384,218,4,4,0,1,0,95,9,Matches
Jorginho,brBRA,"MF,FW",33-258,0.8,35,2,8,10,17,3,35,1,1,100.0,0,0.0,21,113,43,2,1,1,3,1,25,4,Matches
Rafael Haller,uyURU,DF,24-033,0.6,39,2,15,11,13,1,39,0,0,,0,,12,27,14,0,0,0,3,1,14,2,Matches
Mateo Zuleta,coCOL,"FW,MF",22-104,0.5,45,0,3,19,24,3,45,1,1,100.0,0,0.0,26,175,60,3,1,2,3,3,31,13,Matches
Matías Lacava,veVEN,MF,21-331,0.4,27,0,1,8,18,3,27,3,0,0.0,2,66.7,17,87,30,1,0,0,2,0,17,1,Matches
Gustavo Campanharo,brBRA,MF,32-168,0.2,29,1,9,12,8,2,29,0,0,,0,,18,92,21,0,0,0,1,1,21,0,Matches
Eli,brBRA,FW,20-180,0.2,11,0,1,2,8,1,11,2,1,50.0,1,50.0,8,41,30,1,1,0,0,1,8,2,Matches
Randerson,brBRA,MF,20-191,0.2,16,0,2,11,3,0,16,1,1,100.0,0,0.0,9,27,7,0,0,0,1,0,13,1,Matches
Squad Total,,,27.3,26.0,13752,1426,4165,6025,3716,524,13748,386,160,41.5,198,51.3,7387,38875,19509,387,322,79,376,188,8362,961,
Opponent Total,,,28.2,26.0,15348,1590,4698,7140,3667,494,15342,409,217,53.1,163,39.9,8404,45956,23984,424,342,91,373,234,10032,1008,
