Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Paulinho,brBRA,"FW,MF",24-066,18.9,877,7,83,403,407,58,876,46,26,56.5,20,43.5,569,3403,1508,43,48,16,37,35,719,139,Matches
Gustavo Scarpa,brBRA,"DF,MF",30-258,18.6,1375,35,229,552,606,28,1373,35,16,45.7,16,45.7,856,5332,2277,62,45,9,28,20,981,183,Matches
Rodrigo Battaglia,arARG,"DF,MF",33-069,18.4,1285,150,523,676,94,10,1285,11,4,36.4,5,45.5,711,4116,2325,16,19,0,14,0,870,5,Matches
Renzo Saravia,arARG,DF,31-095,15.7,1366,49,392,767,223,9,1366,31,7,22.6,21,67.7,805,4092,2391,38,26,1,28,10,946,57,Matches
Bruno Fuchs,brBRA,DF,25-171,15.2,1199,138,535,606,63,6,1199,9,8,88.9,1,11.1,717,3770,2348,14,12,0,12,1,866,4,Matches
Hulk,brBRA,FW,38-056,14.0,581,10,23,227,335,47,578,49,21,42.9,26,53.1,347,1801,786,22,20,14,31,46,463,91,Matches
Otávio,brBRA,MF,30-138,13.9,960,38,241,619,104,9,960,14,9,64.3,5,35.7,563,2759,1146,12,11,2,9,7,682,13,Matches
Éverson,brBRA,GK,34-059,14.0,416,358,411,5,0,0,416,0,0,,0,,223,916,474,0,0,0,2,0,219,0,Matches
Alan Franco,ecECU,MF,26-029,13.0,658,15,118,365,176,14,658,5,1,20.0,4,80.0,326,1179,464,3,12,1,10,4,447,44,Matches
Guilherme Arana,brBRA,DF,27-158,12.1,1077,21,252,483,347,31,1077,22,10,45.5,12,54.5,660,3341,1947,39,27,5,8,2,795,105,Matches
Carlos Eduardo,brBRA,"FW,MF",20-118,10.0,332,7,43,153,138,37,332,17,10,58.8,4,23.5,194,1199,467,13,17,1,21,14,239,60,Matches
Matheus Mendes,brBRA,GK,25-193,10.0,320,277,319,1,0,0,320,0,0,,0,,151,615,340,0,0,0,0,0,134,0,Matches
Igor Gomes,brBRA,MF,25-186,9.1,579,9,100,315,171,19,578,17,7,41.2,8,47.1,326,1615,799,16,9,3,15,12,417,43,Matches
Federico Zaracho,arARG,MF,26-193,8.0,429,4,61,246,123,19,429,16,4,25.0,11,68.8,219,833,307,5,6,0,23,6,278,30,Matches
Fausto Vera,arARG,MF,24-177,6.6,458,8,79,291,92,6,458,8,5,62.5,3,37.5,241,915,396,6,7,0,6,9,350,12,Matches
Bernard,brBRA,"MF,FW",32-011,6.2,389,4,30,182,180,17,389,23,12,52.2,11,47.8,242,1123,554,20,14,5,17,7,305,55,Matches
Igor Rabello,brBRA,DF,29-144,6.2,449,61,227,207,17,5,449,2,1,50.0,1,50.0,209,1049,633,2,3,0,2,1,278,0,Matches
Júnior Alonso,pyPAR,DF,31-223,5.6,467,29,158,254,58,5,467,3,1,33.3,2,66.7,269,1210,758,10,10,0,2,1,350,4,Matches
Rômulo,brBRA,DF,20-232,5.5,397,36,155,199,46,6,397,6,3,50.0,3,50.0,214,1042,583,8,9,0,7,0,259,4,Matches
Eduardo Vargas,clCHI,"FW,MF",34-304,5.6,227,8,29,97,106,32,227,9,5,55.6,4,44.4,151,1032,382,9,10,1,18,13,177,42,Matches
Alisson,brBRA,"DF,MF",18-364,5.3,293,7,35,115,146,25,293,33,14,42.4,14,42.4,201,1578,628,20,14,7,14,5,221,62,Matches
Brahian Palacios,coCOL,"DF,MF",21-300,5.3,287,3,31,111,149,19,286,35,11,31.4,21,60.0,168,1382,769,29,17,6,18,10,210,69,Matches
