Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Marcos Felipe,brBRA,GK,28-159,26.0,1071,830,1061,10,0,0,1071,0,0,,0,,604,2739,1724,0,0,0,2,0,544,0,Matches
Jean Lucas,brBRA,MF,26-089,23.4,1179,20,176,626,390,45,1179,55,28,50.9,24,43.6,738,4140,1495,38,46,11,46,39,883,126,Matches
Gabriel,brBRA,DF,23-136,24.0,1823,232,961,820,47,16,1823,6,3,50.0,1,16.7,1015,4584,2692,10,7,1,5,3,1247,3,Matches
Caio Alexandre,brBRA,MF,25-208,22.3,1899,26,380,1254,275,11,1899,19,12,63.2,6,31.6,1279,6841,3970,56,48,5,30,20,1556,34,Matches
Cauly Oliveira Souza,brBRA,"MF,FW",29-004,21.3,1164,6,57,609,519,53,1164,65,28,43.1,31,47.7,726,3569,1750,48,40,17,58,30,965,132,Matches
Luciano Juba,brBRA,DF,25-021,22.9,1688,94,600,796,313,10,1688,19,6,31.6,11,57.9,898,3751,2109,23,26,1,11,3,1110,52,Matches
Everton Ribeiro,brBRA,MF,35-162,20.2,1509,12,195,799,530,25,1509,49,19,38.8,27,55.1,975,4694,2652,52,57,6,37,29,1214,103,Matches
Thaciano,brBRA,FW,29-130,19.2,586,24,101,254,238,73,586,13,7,53.8,5,38.5,323,1314,566,15,10,4,21,10,407,91,Matches
Everaldo Stum,brBRA,FW,33-076,17.7,533,20,54,195,290,78,532,27,9,33.3,14,51.9,324,1723,597,27,17,7,33,27,428,132,Matches
Kanu,brBRA,DF,27-196,20.0,1413,179,736,661,17,4,1413,8,4,50.0,2,25.0,900,4606,2828,8,3,0,3,1,1080,0,Matches
Santiago Arias,coCOL,DF,32-250,14.2,939,42,248,405,289,15,939,9,3,33.3,5,55.6,490,2113,1215,36,19,2,9,10,606,126,Matches
Gilberto,brBRA,DF,31-196,10.3,855,30,201,381,276,19,855,39,19,48.7,16,41.0,509,2580,1350,40,25,5,18,10,615,97,Matches
Víctor Cuesta,arARG,DF,35-305,5.1,355,38,139,206,12,1,355,1,0,0.0,0,0.0,227,1260,696,1,3,0,4,1,253,1,Matches
Ademir Santos,brBRA,"FW,MF",29-216,6.0,306,4,38,109,170,29,306,30,17,56.7,11,36.7,202,1769,988,35,12,13,14,6,219,67,Matches
Rezende,brBRA,"MF,DF",29-261,5.9,365,41,159,191,18,6,365,4,3,75.0,1,25.0,173,885,431,2,1,0,6,6,233,1,Matches
Biel,brBRA,"FW,MF",23-171,7.7,351,6,52,127,176,36,351,30,12,40.0,15,50.0,231,1547,915,31,23,10,17,5,267,79,Matches
Carlos de Pena,uyURU,MF,32-192,6.0,523,11,93,288,152,7,523,10,6,60.0,3,30.0,266,1196,538,7,11,0,5,3,339,16,Matches
Iago,brBRA,"DF,MF",27-180,4.1,306,18,75,161,71,7,306,4,0,0.0,3,75.0,179,989,521,11,9,1,6,1,208,18,Matches
Oscar Estupiñan,coCOL,"FW,MF",27-265,2.8,80,5,6,34,41,13,80,4,0,0.0,3,75.0,38,151,48,1,4,1,5,4,58,17,Matches
Luciano Rodríguez,uyURU,FW,21-065,1.9,74,2,11,30,36,10,74,8,2,25.0,5,62.5,53,334,204,6,5,2,6,4,53,12,Matches
Cicinho,bgBUL,"DF,FW",35-268,0.9,110,4,25,60,25,0,110,1,1,100.0,0,0.0,57,255,140,1,3,0,0,1,83,6,Matches
David Duarte,brBRA,DF,29-239,0.8,51,12,35,15,1,1,51,0,0,,0,,37,311,153,0,0,0,0,0,43,0,Matches
Rafael Ratão,brBRA,"FW,MF",28-294,2.4,139,2,16,52,72,16,139,13,8,61.5,5,38.5,83,464,283,11,6,6,10,3,104,34,Matches
Yago,brBRA,MF,29-229,0.3,24,0,4,14,6,0,24,0,0,,0,,16,96,55,0,0,0,1,0,17,1,Matches
Vitor Hugo,brBRA,DF,33-122,0.2,13,2,11,1,1,1,13,0,0,,0,,7,39,4,0,0,0,0,0,6,0,Matches
Tiago,brBRA,FW,19-164,0.1,11,0,0,4,7,0,11,1,0,0.0,1,100.0,6,27,14,1,1,0,3,0,7,2,Matches
Ruan Pablo,brBRA,MF,16-058,0.1,3,0,0,1,2,1,3,1,0,0.0,1,100.0,3,36,8,1,0,1,0,0,3,3,Matches
Squad Total,,,28.6,26.0,17370,1660,5434,8103,3974,477,17369,416,187,45.0,190,45.7,10359,52013,27946,461,376,93,350,216,12548,1153,
Opponent Total,,,28.2,26.0,14129,1347,4030,7136,3122,431,14129,433,222,51.3,177,40.9,8155,44397,23763,428,304,86,313,210,9278,900,
