Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Rodrigo Garro,arARG,"MF,FW",26-259,22.7,1471,9,135,758,601,41,1470,47,17,36.2,26,55.3,833,4187,1887,44,41,5,49,40,1017,118,Matches
Raniele,brBRA,"MF,DF",27-263,19.4,881,66,302,484,105,32,881,10,6,60.0,3,30.0,404,1993,885,15,9,1,19,7,472,22,Matches
Hugo,brBRA,DF,27-021,19.3,1100,70,347,549,209,28,1100,16,10,62.5,5,31.3,467,2006,1138,22,8,5,24,13,563,61,Matches
Cacá,brBRA,DF,25-147,19.8,1095,171,583,470,48,24,1095,3,1,33.3,1,33.3,658,3205,1772,9,4,0,7,5,703,1,Matches
Wesley,brBRA,FW,19-198,16.0,634,3,67,243,348,54,634,130,61,46.9,58,44.6,443,4377,2260,79,59,26,33,36,448,124,Matches
Félix Torres Caicedo,ecECU,DF,27-252,15.5,921,112,463,427,38,17,921,8,3,37.5,5,62.5,464,2093,1210,5,3,0,8,2,540,1,Matches
Yuri Alberto,brBRA,FW,23-185,15.7,435,8,25,182,235,74,434,36,12,33.3,21,58.3,250,1163,484,23,12,14,37,22,307,107,Matches
Matheuzinho,brBRA,DF,24-011,15.9,933,55,288,387,262,18,933,4,2,50.0,2,50.0,424,1968,930,21,20,4,9,4,520,79,Matches
Ángel Romero,pyPAR,FW,32-077,12.1,526,10,39,226,263,30,525,32,13,40.6,17,53.1,343,1494,646,18,16,3,28,18,426,97,Matches
Breno,brBRA,MF,19-212,11.6,636,19,120,392,130,4,636,22,15,68.2,6,27.3,361,1644,758,11,10,0,13,15,422,36,Matches
Igor Coronado,brBRA,"MF,FW",32-032,12.4,844,10,93,424,339,21,844,65,25,38.5,35,53.8,521,3283,1818,54,47,7,34,26,614,70,Matches
Hugo Souza,brBRA,GK,25-232,10.0,278,235,274,4,0,0,278,1,1,100.0,0,0.0,142,759,554,1,0,0,0,0,95,0,Matches
André Ramalho,brBRA,DF,32-216,9.0,548,69,264,258,28,9,548,4,3,75.0,1,25.0,300,1976,1245,5,3,0,2,0,340,2,Matches
Gustavo Henrique,brBRA,DF,31-179,8.2,432,69,225,194,13,12,432,0,0,,0,,238,979,546,5,1,0,4,1,278,1,Matches
Fagner,brBRA,"DF,MF",35-100,7.7,441,20,108,202,134,3,441,5,3,60.0,2,40.0,197,889,591,9,5,0,3,3,249,29,Matches
Matheus Donelli,brBRA,GK,22-125,7.0,215,201,215,0,0,0,215,0,0,,0,,107,507,294,0,0,0,0,0,94,0,Matches
Carlos Miguel,brBRA,GK,25-346,6.0,201,159,200,1,0,0,201,0,0,,0,,104,462,314,0,0,0,0,0,78,0,Matches
Ryan Gustavo,brBRA,MF,21-066,5.8,282,11,66,175,43,5,282,9,4,44.4,4,44.4,146,686,294,4,5,0,6,8,170,8,Matches
Matheus Bidu,brBRA,DF,25-138,6.2,410,25,130,192,95,10,410,7,5,71.4,2,28.6,220,1105,603,13,10,1,7,6,220,19,Matches
Pedro Raul,brBRA,FW,27-319,5.8,181,6,14,95,77,34,181,5,4,80.0,1,20.0,81,307,127,5,3,2,20,7,113,40,Matches
Gustavo Mosquito,brBRA,FW,27-012,4.5,155,1,12,67,78,12,155,16,4,25.0,10,62.5,102,649,275,9,7,6,6,10,117,39,Matches
Alex Santana,brBRA,MF,29-129,3.8,184,9,50,102,35,8,184,4,1,25.0,3,75.0,96,557,327,3,10,0,10,1,101,4,Matches
Pedro Henrique,brBRA,"FW,MF",34-095,3.8,145,6,16,53,77,18,145,8,3,37.5,4,50.0,85,498,277,10,10,1,7,4,100,30,Matches
Caetano,brBRA,DF,25-087,3.1,157,37,94,61,2,1,157,0,0,,0,,81,295,171,0,0,0,0,0,103,0,Matches
Talles Magno,brBRA,"MF,FW",22-085,2.2,84,2,13,39,35,8,84,6,1,16.7,4,66.7,52,284,114,3,6,1,7,7,62,9,Matches
Charles Rigon Matos,brBRA,"MF,DF",28-092,3.6,167,7,34,93,42,5,167,2,1,50.0,1,50.0,72,429,218,4,4,0,3,2,96,11,Matches
Cássio,brBRA,GK,37-105,3.0,91,75,91,0,0,0,91,0,0,,0,,53,294,187,0,0,0,0,0,36,0,Matches
Léo Mana,brBRA,DF,20-166,2.3,139,13,50,64,26,0,139,0,0,,0,,61,176,81,1,2,0,5,1,71,5,Matches
Fausto Vera,arARG,MF,24-177,2.4,162,2,24,105,33,3,162,5,2,40.0,3,60.0,90,495,255,6,3,0,1,3,120,6,Matches
José Andrés Martínez,veVEN,MF,30-043,1.7,91,6,31,45,15,1,91,0,0,,0,,49,159,104,1,2,0,2,1,58,1,Matches
Giovane,brBRA,"FW,MF",20-300,3.0,108,2,10,43,58,20,108,13,4,30.8,9,69.2,71,418,142,3,2,3,10,10,83,28,Matches
Paulinho,brBRA,MF,36-056,1.3,82,4,23,40,20,11,82,0,0,,0,,32,179,69,3,2,0,4,2,48,2,Matches
Raul Bicalho,brBRA,DF,25-148,1.0,71,4,39,27,5,1,71,3,2,66.7,1,33.3,37,130,62,1,0,0,1,0,47,2,Matches
Gabriel Moscardo,brBRA,MF,18-357,0.9,35,4,10,18,7,1,35,0,0,,0,,17,80,39,1,0,0,1,2,22,0,Matches
Héctor,esESP,"DF,FW",29-005,0.6,18,0,0,13,5,4,18,2,0,0.0,2,100.0,14,120,27,1,0,2,1,0,17,2,Matches
