Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Marcelo Hermes,brBRA,"DF,MF",29-231,22.6,1134,67,330,404,407,33,1134,22,10,45.5,10,45.5,472,2222,1220,28,26,8,15,9,566,96,Matches
Gustavo,brBRA,GK,31-193,21.7,641,535,636,5,0,0,641,0,0,,0,,299,1894,1242,0,0,0,1,0,221,0,Matches
Rodrigo Fagundes,brBRA,DF,37-193,20.0,1207,189,638,525,54,14,1207,8,5,62.5,3,37.5,617,3208,1850,11,11,1,11,5,668,1,Matches
Yannick Bolasie,cdCOD,FW,35-118,17.4,536,14,40,212,296,70,536,45,17,37.8,27,60.0,328,2176,1052,47,23,21,45,25,417,115,Matches
Barreto,brBRA,MF,28-284,16.4,756,53,220,414,126,18,756,22,14,63.6,7,31.8,369,1894,1008,12,12,1,16,17,449,24,Matches
Claudinho,brBRA,DF,23-361,16.7,1028,63,311,457,270,14,1028,27,15,55.6,11,40.7,496,2569,1295,30,25,1,21,18,594,75,Matches
Newton,brBRA,MF,24-191,15.7,771,39,201,439,144,12,771,16,10,62.5,2,12.5,430,2425,1216,23,18,3,23,9,535,39,Matches
Arthur,brBRA,FW,32-096,13.8,384,17,41,170,180,56,384,13,3,23.1,8,61.5,190,731,244,8,11,3,45,14,263,68,Matches
Miguel Trauco,pePER,DF,32-025,12.4,752,32,257,360,146,4,752,16,7,43.8,9,56.3,325,1072,573,2,5,0,6,1,415,12,Matches
Matheusinho,brBRA,"MF,FW",26-221,11.6,594,7,90,271,243,36,594,60,30,50.0,27,45.0,381,1878,670,13,23,3,32,23,406,77,Matches
Higor Meritão,brBRA,MF,30-088,10.8,606,32,175,362,77,7,606,11,6,54.5,3,27.3,338,1824,918,9,15,1,12,20,397,12,Matches
Fellipe Mateus,brBRA,"MF,FW",33-220,12.9,626,15,94,304,241,27,626,32,17,53.1,12,37.5,353,1490,611,12,11,1,24,23,428,78,Matches
Tobias Figueiredo,ptPOR,DF,30-230,11.1,603,125,330,258,19,7,603,1,1,100.0,0,0.0,289,1478,749,1,2,0,3,3,344,1,Matches
Wilker Ángel,veVEN,DF,31-185,9.8,437,112,258,160,19,14,437,0,0,,0,,198,822,353,1,1,0,3,2,230,3,Matches
Marquinhos Gabriel,brBRA,MF,34-060,9.4,477,13,88,228,168,16,477,33,14,42.4,15,45.5,282,1508,654,20,14,4,17,24,330,51,Matches
Éder,itITA,FW,37-309,8.5,275,0,17,135,125,22,275,10,1,10.0,7,70.0,171,853,349,13,6,6,13,8,200,60,Matches
Walisson Maia,brBRA,DF,33-029,9.5,464,85,259,198,9,8,464,1,1,100.0,0,0.0,245,937,372,1,1,0,3,2,285,2,Matches
Ronald,brBRA,MF,27-093,9.4,503,10,99,275,141,15,503,46,26,56.5,15,32.6,316,1830,779,15,14,5,23,23,341,40,Matches
Allano,brBRA,"FW,MF",29-148,8.0,413,3,38,183,199,32,413,40,16,40.0,16,40.0,264,1827,892,32,19,9,32,19,328,85,Matches
Jonathan,brBRA,DF,32-025,5.7,375,19,133,159,88,2,375,10,5,50.0,5,50.0,162,1029,501,6,8,0,8,4,191,11,Matches
Alisson,brBRA,GK,29-103,3.3,110,101,110,0,0,0,110,0,0,,0,,42,184,137,0,0,0,0,0,32,0,Matches
Luis Eduardo Marques dos Santos,brBRA,DF,27-112,2.5,202,6,45,87,70,4,202,5,1,20.0,4,80.0,109,484,310,7,4,1,3,0,124,17,Matches
Patrick de Paula,brBRA,MF,25-011,1.9,114,11,35,64,16,0,114,1,1,100.0,0,0.0,62,291,160,2,1,0,1,0,68,2,Matches
Renato Kayser,brBRA,FW,28-215,0.9,23,1,2,13,8,5,23,1,0,0.0,1,100.0,14,33,10,0,0,0,1,1,18,3,Matches
Felipe Vizeu,brBRA,FW,27-191,1.1,43,0,2,29,13,3,43,7,4,57.1,1,14.3,22,206,112,2,3,1,2,2,34,7,Matches
Yerson Candelo,coCOL,DF,32-208,0.3,28,0,14,7,7,0,28,0,0,,0,,14,25,9,0,1,0,0,0,13,3,Matches
João Carlos,brBRA,"MF,FW",23-090,0.3,20,0,0,6,14,5,20,2,0,0.0,2,100.0,9,39,16,1,1,0,1,1,10,5,Matches
Mateo Barcia,uyURU,"MF,FW",23-213,0.3,16,1,6,9,2,0,16,2,1,50.0,1,50.0,8,63,2,0,0,0,6,4,7,1,Matches
Eliédson,brBRA,MF,21-186,0.3,25,2,7,13,6,0,25,1,0,0.0,1,100.0,13,85,26,0,1,0,1,1,15,0,Matches
Sergio Antonio De Luiz Junior,brBRA,MF,29-166,0.2,10,0,2,4,5,2,10,0,0,,0,,6,12,8,1,0,1,2,0,8,0,Matches
Werik Popó,brBRA,FW,22-338,0.1,6,0,0,4,2,1,6,1,1,100.0,0,0.0,5,22,1,0,0,0,2,0,3,1,Matches
Squad Total,,,30.9,25.0,13179,1552,4478,5755,3095,427,13179,433,206,47.6,187,43.2,6829,35111,17339,297,256,70,372,258,7940,889,
Opponent Total,,,28.5,25.0,15930,1338,4413,7504,4177,554,15925,499,236,47.3,211,42.3,9093,49019,25654,465,386,99,360,198,10673,1112,
