Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Matheus Pereira,ptPOR,"FW,MF",28-137,23.1,1380,5,77,703,616,59,1380,64,31,48.4,24,37.5,872,4853,2276,66,61,9,56,27,1071,118,Matches
William,brBRA,DF,29-169,22.4,1568,68,410,675,498,39,1565,56,27,48.2,28,50.0,762,4206,2394,52,32,9,26,12,866,133,Matches
João Marcelo,brBRA,DF,24-098,22.0,1504,248,721,717,75,22,1504,16,8,50.0,5,31.3,879,5826,3745,32,13,0,10,6,1013,4,Matches
Lucas Romero,arARG,MF,30-154,20.0,1341,35,296,853,200,6,1341,21,13,61.9,7,33.3,751,3328,1493,10,24,0,21,17,960,20,Matches
Zé Ivaldo,brBRA,DF,27-211,21.5,1355,169,670,606,89,25,1355,15,8,53.3,3,20.0,791,4291,2573,21,26,0,10,3,891,6,Matches
Lucas Silva,brBRA,MF,31-216,15.0,811,33,123,505,194,10,811,21,12,57.1,8,38.1,458,2464,1151,21,26,2,14,12,550,33,Matches
Marlon,brBRA,DF,27-122,15.9,1117,46,356,534,232,16,1117,15,9,60.0,6,40.0,588,2957,1728,31,18,5,21,6,702,70,Matches
Anderson,brBRA,GK,26-198,15.0,418,366,418,0,0,0,418,0,0,,0,,206,845,514,0,0,0,0,0,172,0,Matches
Arthur,brBRA,FW,26-078,14.1,597,8,63,199,343,48,597,60,26,43.3,31,51.7,413,2730,1276,48,20,19,32,22,470,130,Matches
Álvaro Barreal,arARG,"MF,FW",24-033,11.9,741,18,161,347,236,32,741,31,14,45.2,16,51.6,405,1722,769,15,13,4,21,14,504,76,Matches
Ramiro Benetti,brBRA,MF,31-120,11.0,641,32,144,355,143,13,641,3,1,33.3,2,66.7,285,1034,437,7,7,2,12,9,403,26,Matches
Gabriel Veron,brBRA,"FW,MF",22-016,10.0,301,8,39,119,152,30,301,20,7,35.0,13,65.0,178,817,426,13,12,5,17,9,220,64,Matches
Cássio,brBRA,GK,37-105,11.0,310,260,308,2,0,0,310,0,0,,0,,163,793,551,0,0,0,0,0,131,0,Matches
Kaiki,brBRA,DF,21-195,9.4,644,26,181,321,152,18,644,40,21,52.5,13,32.5,298,1785,1036,24,18,4,11,14,364,55,Matches
Matheus Henrique,brBRA,"MF,FW",26-275,8.9,442,10,75,233,141,16,442,16,7,43.8,7,43.8,250,1534,699,17,10,2,11,13,291,34,Matches
Rafael Silva,brBRA,FW,32-168,5.9,146,3,8,65,75,19,146,10,5,50.0,4,40.0,88,353,135,6,6,2,11,12,112,27,Matches
Kaio Jorge,brBRA,FW,22-239,7.0,176,7,16,81,81,21,175,7,2,28.6,4,57.1,104,448,182,8,5,3,17,6,132,28,Matches
Lucas Villalba,arARG,DF,30-031,6.7,448,61,212,214,22,1,448,0,0,,0,,246,1341,813,6,8,0,0,1,304,7,Matches
Lautaro Díaz,arARG,FW,26-121,4.5,147,5,11,62,74,11,147,12,2,16.7,10,83.3,80,358,165,6,7,1,11,4,108,26,Matches
Neris,brBRA,DF,32-094,3.4,180,23,91,85,6,5,180,3,3,100.0,0,0.0,105,570,368,1,0,0,2,0,117,1,Matches
Walace,brBRA,MF,29-168,3.2,214,6,54,125,38,0,214,5,3,60.0,1,20.0,146,735,394,5,13,0,5,2,167,5,Matches
