Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Walter,brBRA,GK,36-306,24.0,695,648,695,0,0,0,695,1,1,100.0,0,0.0,341,1911,1364,0,0,0,1,0,240,0,Matches
Marllon Borges,brBRA,DF,32-156,23.0,1193,188,624,546,31,17,1193,2,2,100.0,0,0.0,591,2381,1420,3,2,0,5,3,716,1,Matches
Isidro Pitta,pyPAR,FW,25-036,21.3,597,17,35,258,310,111,593,31,12,38.7,17,54.8,346,1704,724,35,21,21,45,29,445,120,Matches
Alan Empereur,brBRA,DF,30-193,20.8,1307,160,632,611,76,15,1307,4,2,50.0,1,25.0,831,4183,2410,14,16,0,5,3,939,9,Matches
Lucas Mineiro,brBRA,MF,28-208,19.9,977,60,230,651,101,11,977,16,12,75.0,2,12.5,514,2732,1215,17,6,1,22,16,619,12,Matches
Denilson,brBRA,MF,23-180,16.5,855,14,138,500,235,10,855,66,47,71.2,14,21.2,526,2880,1306,25,22,4,15,18,616,31,Matches
Ramon,brBRA,DF,23-190,17.4,957,55,317,403,242,14,957,28,13,46.4,14,50.0,450,2084,1159,29,18,4,14,14,559,63,Matches
Matheus Alexandre,brBRA,DF,25-165,16.3,926,40,314,434,183,10,926,11,4,36.4,7,63.6,426,2152,1087,17,10,2,19,13,504,50,Matches
Clayson,brBRA,"FW,MF",29-184,12.5,563,9,66,200,305,36,563,46,13,28.3,27,58.7,345,2207,988,37,23,16,40,14,413,70,Matches
Jonathan Cafu,brBRA,"FW,MF",33-071,13.1,509,5,67,202,262,34,509,36,20,55.6,13,36.1,329,1848,953,35,19,4,39,27,372,107,Matches
Max,brBRA,MF,23-130,11.2,545,10,77,270,207,11,545,23,15,65.2,7,30.4,267,1421,566,17,16,2,21,13,335,43,Matches
Fernando Sobral,brBRA,MF,29-277,12.6,782,28,149,428,213,11,781,15,9,60.0,5,33.3,392,1923,849,15,21,2,23,11,488,40,Matches
Bruno Fabiano Alves,brBRA,DF,33-156,10.4,515,70,234,265,21,6,515,3,1,33.3,1,33.3,245,1228,795,8,2,0,1,0,323,2,Matches
Derik Lacerda,brBRA,"FW,MF",24-358,10.4,358,7,41,169,157,34,358,41,21,51.2,13,31.7,222,1880,892,28,25,9,25,18,269,61,Matches
Railan,brBRA,"DF,FW",24-193,8.9,554,15,145,271,144,10,554,36,19,52.8,14,38.9,267,1547,933,24,13,3,15,9,335,40,Matches
Lucas Fernandes,brBRA,"MF,FW",26-365,6.6,337,0,35,180,124,8,337,7,4,57.1,3,42.9,187,1080,320,4,7,0,11,9,242,20,Matches
Rikelme,brBRA,DF,21-065,5.5,266,18,93,113,60,3,266,10,2,20.0,7,70.0,96,440,186,4,2,0,4,2,126,14,Matches
Filipe Augusto,brBRA,MF,31-038,4.3,261,10,64,163,41,1,261,7,5,71.4,2,28.6,137,621,253,2,5,0,5,4,199,6,Matches
Juan Pablo,brBRA,DF,22-147,2.8,144,6,31,77,38,1,144,4,0,0.0,4,100.0,70,305,140,1,1,0,3,3,84,12,Matches
André Luis,brBRA,"FW,MF",27-151,4.6,206,3,29,80,101,18,206,11,4,36.4,5,45.5,103,536,143,4,5,0,11,6,144,41,Matches
Deyverson,brBRA,FW,33-134,2.4,81,3,9,40,33,13,81,3,2,66.7,1,33.3,35,123,39,2,0,0,6,2,54,7,Matches
Gabriel Knesowitsch,brBRA,DF,20-337,2.2,110,17,50,57,3,0,110,1,1,100.0,0,0.0,61,273,99,0,0,0,0,0,74,0,Matches
Eliel Chrystian,brBRA,"FW,MF",21-237,3.6,102,2,22,37,45,12,102,6,2,33.3,2,33.3,51,376,158,4,1,1,10,2,67,19,Matches
Mateus Pasinato,brBRA,GK,32-083,1.0,29,27,29,0,0,0,29,0,0,,0,,14,74,42,0,0,0,0,0,11,0,Matches
Allyson Aires dos Santos,brBRA,DF,33-332,1.0,48,8,24,24,0,0,48,0,0,,0,,20,98,22,0,0,0,0,0,31,0,Matches
Guilherme Madruga,brBRA,"MF,FW",23-313,1.2,76,3,19,38,19,5,76,2,1,50.0,1,50.0,31,124,45,1,2,0,4,1,39,4,Matches
Luciano Giménez,arARG,"FW,MF",24-214,0.8,25,2,3,14,8,3,25,1,1,100.0,0,0.0,11,26,0,0,0,0,5,2,14,4,Matches
Gustavo Sauer,brBRA,"MF,FW",31-142,0.5,19,0,4,6,11,1,19,4,2,50.0,1,25.0,12,66,34,2,2,0,0,2,12,2,Matches
Jadson,brBRA,MF,19-040,0.2,7,0,0,3,4,2,7,1,0,0.0,1,100.0,6,23,18,0,0,0,1,1,8,3,Matches
Squad Total,,,28.4,25.0,13044,1425,4176,6040,2974,397,13039,416,215,51.7,162,38.9,6926,36246,18160,328,239,69,350,222,8278,781,
Opponent Total,,,28.2,25.0,16041,1343,4237,7825,4092,484,16036,391,164,41.9,187,47.8,8954,44910,22481,379,290,78,385,193,11154,1100,
