Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Agustín Rossi,arARG,GK,29-029,24.0,903,715,888,15,0,0,903,2,1,50.0,1,50.0,557,2767,1790,0,0,0,1,1,490,0,Matches
Gerson,brBRA,"MF,FW",27-122,20.3,1221,24,163,593,473,60,1221,55,22,40.0,26,47.3,757,4476,2135,55,43,22,21,23,905,126,Matches
Fabrício Bruno,brBRA,DF,28-220,19.6,1323,182,636,654,36,19,1323,4,2,50.0,2,50.0,792,3470,1924,6,2,1,3,0,930,6,Matches
Pedro,brBRA,FW,27-091,18.4,485,15,32,216,239,91,480,36,15,41.7,19,52.8,255,1007,375,16,8,10,38,21,349,74,Matches
Ayrton Lucas,brBRA,DF,27-092,16.9,1064,34,272,492,317,38,1064,53,25,47.2,19,35.8,549,3137,1709,41,31,11,20,17,622,66,Matches
Luiz Araújo,brBRA,"FW,MF",28-109,16.7,852,12,106,351,415,50,852,62,37,59.7,21,33.9,507,3127,1640,52,36,16,36,22,552,119,Matches
Léo Pereira,brBRA,DF,28-232,16.2,1092,105,438,554,105,12,1092,7,5,71.4,1,14.3,635,3560,1984,14,18,1,6,2,725,24,Matches
Wesley,brBRA,DF,21-013,16.2,999,63,293,411,301,23,999,37,14,37.8,19,51.4,540,2841,1586,30,26,2,23,13,580,120,Matches
David Luiz,brBRA,DF,37-150,13.7,845,98,340,451,61,14,845,8,4,50.0,2,25.0,542,3878,2529,26,21,0,9,4,588,6,Matches
Bruno Henrique,brBRA,FW,33-264,13.8,481,13,57,198,237,52,481,37,15,40.5,15,40.5,304,2105,1359,45,27,16,31,17,351,91,Matches
Leo Ortiz,brBRA,"MF,DF",28-260,13.2,699,40,198,424,83,10,699,10,6,60.0,3,30.0,384,2071,1214,11,12,2,6,2,459,8,Matches
Allan,brBRA,MF,27-200,12.5,780,28,165,505,112,1,780,12,2,16.7,8,66.7,462,2835,1290,13,15,0,13,3,543,10,Matches
Erick Pulgar,clCHI,MF,30-248,11.2,744,18,162,479,106,14,744,6,3,50.0,2,33.3,377,1912,785,6,14,0,20,8,488,15,Matches
Everton Soares,brBRA,FW,28-181,6.0,224,4,20,72,136,26,224,41,17,41.5,19,46.3,151,1200,581,23,12,11,7,14,166,54,Matches
Giorgian De Arrascaeta,uyURU,MF,30-110,8.7,550,5,36,258,261,31,550,25,13,52.0,7,28.0,311,1459,654,12,12,7,16,18,423,66,Matches
Nicolás De La Cruz,uyURU,MF,27-110,8.6,672,13,73,400,207,18,672,14,7,50.0,4,28.6,375,2029,1076,14,21,2,10,10,467,29,Matches
Guillermo Varela,uyURU,DF,31-179,8.2,498,12,143,225,132,10,498,10,2,20.0,3,30.0,255,1170,594,11,12,1,4,3,313,41,Matches
Lorran,brBRA,"MF,FW",18-077,6.6,342,1,25,143,184,29,342,42,22,52.4,15,35.7,228,1764,1006,28,27,8,13,12,251,55,Matches
Matías Viña,uyURU,DF,26-315,4.7,294,8,69,130,97,9,294,14,5,35.7,9,64.3,136,830,431,7,2,1,12,6,167,37,Matches
Carlinhos,brBRA,FW,27-220,4.1,100,3,8,42,50,17,100,4,3,75.0,0,0.0,48,179,50,2,0,0,10,7,72,19,Matches
Matheus Gonçalves,brBRA,"FW,MF",19-032,2.2,173,1,16,64,93,15,173,10,8,80.0,2,20.0,118,642,397,8,3,3,8,4,129,37,Matches
Igor,brBRA,MF,21-196,0.8,57,7,17,30,10,1,57,7,3,42.9,4,57.1,27,150,78,2,0,0,4,0,33,0,Matches
Gabriel Barbosa,brBRA,"MF,FW",28-020,3.5,119,2,8,62,49,9,118,5,2,40.0,2,40.0,88,507,236,10,7,0,6,1,90,14,Matches
Victor Hugo,brBRA,"FW,MF",20-131,2.9,134,1,22,64,50,8,134,4,1,25.0,2,50.0,84,564,224,8,2,0,7,5,96,17,Matches
Matheus Cunha,brBRA,GK,23-118,1.0,50,37,50,0,0,0,50,0,0,,0,,32,132,76,0,0,0,0,0,33,0,Matches
Michael,brBRA,FW,28-191,1.0,57,2,7,18,32,6,57,4,0,0.0,4,100.0,35,144,80,1,2,1,3,1,42,17,Matches
Gonzalo Plata,ecECU,FW,23-323,1.0,70,2,7,15,48,4,70,6,2,33.3,4,66.7,39,210,87,2,1,1,2,3,54,11,Matches
Alex Sandro,brBRA,DF,33-237,1.0,75,1,16,28,32,1,75,1,1,100.0,0,0.0,49,256,147,5,4,0,0,1,57,13,Matches
Evertton,brBRA,MF,21-204,1.0,71,6,17,45,9,3,71,1,1,100.0,0,0.0,39,166,79,1,1,0,1,0,49,2,Matches
Werton,brBRA,"MF,FW",21-003,0.5,24,0,2,16,8,1,24,5,2,40.0,3,60.0,13,84,36,1,0,0,2,2,9,3,Matches
Carlos Alcaraz,arARG,MF,21-294,0.5,36,3,9,24,5,1,36,1,0,0.0,0,0.0,27,147,71,1,1,0,0,0,26,3,Matches
Cleiton,brBRA,DF,21-147,0.1,2,0,0,1,1,1,2,0,0,,0,,1,1,1,0,0,0,0,0,1,0,Matches
Squad Total,,,28.2,25.0,15036,1455,4295,6980,3889,574,15030,523,240,45.9,216,41.3,8717,48820,26224,451,360,116,332,220,10060,1083,
Opponent Total,,,28.2,25.0,13497,1705,4713,6022,2900,377,13493,394,181,45.9,173,43.9,7338,37412,18667,313,288,69,325,243,8571,800,
