Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Fábio,brBRA,GK,43-355,25.0,693,633,693,0,0,0,693,0,0,,0,,338,1554,789,0,0,0,1,0,243,0,Matches
Martinelli,brBRA,"MF,DF",23-132,18.4,1256,137,479,637,144,15,1256,35,16,45.7,16,45.7,715,3364,1841,20,13,3,26,35,959,23,Matches
Ganso,brBRA,MF,34-343,17.8,1224,17,234,660,340,9,1224,16,12,75.0,4,25.0,721,2514,1128,12,18,0,20,13,935,51,Matches
Samuel Xavier,brBRA,DF,34-105,17.8,1179,42,371,550,269,19,1179,23,5,21.7,16,69.6,628,3006,1473,27,26,2,7,16,747,48,Matches
Jhon Arias,coCOL,FW,26-364,14.9,859,15,132,388,354,49,859,77,33,42.9,34,44.2,548,3345,1787,61,47,8,26,34,665,102,Matches
Germán Cano,arARG,FW,36-230,12.4,276,16,47,134,101,36,276,13,4,30.8,7,53.8,123,474,133,3,6,3,13,6,167,24,Matches
Marquinhos,brBRA,"FW,DF",21-165,12.7,777,20,164,306,316,30,777,55,17,30.9,32,58.2,448,2869,1460,52,29,16,39,24,557,91,Matches
Thiago dos Santos,brBRA,DF,35-014,12.9,964,131,486,450,34,14,964,4,3,75.0,1,25.0,581,3060,1569,6,4,0,8,3,635,3,Matches
André,brBRA,MF,23-065,11.9,847,57,238,555,63,0,847,28,11,39.3,14,50.0,516,2317,1144,9,8,0,11,12,619,7,Matches
Diogo Barbosa,brBRA,DF,32-033,11.6,722,26,225,347,156,4,722,24,14,58.3,10,41.7,375,2133,1199,26,23,2,11,10,458,41,Matches
Marcelo,brBRA,DF,36-130,9.4,700,45,213,327,165,11,699,11,5,45.5,4,36.4,386,1515,833,15,7,3,6,7,440,23,Matches
Lima,brBRA,"MF,FW",28-100,10.8,678,36,207,317,160,12,678,36,13,36.1,21,58.3,361,1722,903,14,14,1,18,15,487,23,Matches
Antonio Carlos,brBRA,DF,31-196,10.0,743,117,396,332,17,8,743,2,1,50.0,1,50.0,449,2316,1238,6,5,0,3,1,525,2,Matches
Keno,brBRA,"FW,MF",35-009,9.4,397,15,51,144,207,29,397,50,22,44.0,26,52.0,251,1743,934,39,16,12,20,11,299,97,Matches
Kauã Elias,brBRA,FW,18-175,8.9,369,7,30,166,176,32,369,45,17,37.8,28,62.2,238,1052,447,15,15,8,41,36,267,57,Matches
Thiago Silva,brBRA,DF,39-363,8.0,493,82,255,228,11,5,493,0,0,,0,,282,1148,706,0,1,0,1,1,324,0,Matches
Alexsander,brBRA,MF,20-347,8.8,598,32,140,326,136,16,598,40,18,45.0,20,50.0,335,1635,893,15,8,4,23,17,430,24,Matches
Felipe Melo,brBRA,DF,41-085,4.6,269,53,167,99,3,2,269,1,0,0.0,1,100.0,142,573,265,0,2,1,4,3,171,0,Matches
Manoel,brBRA,DF,34-206,5.5,312,48,172,131,9,2,312,1,1,100.0,0,0.0,162,829,437,0,2,0,4,0,206,0,Matches
John Kennedy,brBRA,"FW,MF",22-124,7.3,266,8,29,114,126,34,266,44,13,29.5,29,65.9,156,818,261,11,7,9,38,13,211,65,Matches
Kevin Serna,coCOL,FW,26-277,4.6,196,3,41,67,94,16,196,24,11,45.8,12,50.0,123,918,487,20,8,7,14,6,129,32,Matches
Marlon,brBRA,DF,29-012,3.9,312,51,166,142,4,2,312,1,1,100.0,0,0.0,184,857,371,2,0,0,4,1,228,0,Matches
Guga,brBRA,DF,26-021,2.9,187,19,81,79,30,0,187,2,2,100.0,0,0.0,89,472,314,8,4,0,1,0,104,3,Matches
Gabriel,brBRA,MF,31-001,2.6,272,10,62,170,43,1,272,5,2,40.0,3,60.0,156,798,365,6,2,0,3,6,214,5,Matches
Facundo Bernal,uyURU,MF,21-029,2.6,136,10,34,92,11,1,136,4,2,50.0,2,50.0,78,313,108,1,1,0,1,6,93,1,Matches
Renato Augusto,brBRA,"MF,FW",36-224,3.5,216,5,42,109,67,7,216,4,2,50.0,1,25.0,135,678,320,7,6,1,7,4,181,8,Matches
Douglas Costa,brBRA,FW,34-005,3.2,238,2,25,97,120,7,238,24,15,62.5,8,33.3,158,1090,448,12,12,4,6,8,179,30,Matches
David Terans,uyURU,"MF,FW",30-039,2.4,113,4,16,48,50,7,113,6,4,66.7,2,33.3,67,379,155,5,3,3,8,4,83,10,Matches
Ignácio,brBRA,DF,27-293,2.0,156,19,83,70,5,2,156,2,1,50.0,1,50.0,100,508,254,3,0,0,0,1,105,0,Matches
Nonato,brBRA,MF,26-200,2.1,145,5,42,68,36,1,145,3,1,33.3,2,66.7,72,237,131,2,4,0,3,2,96,6,Matches
Isaac,brBRA,"FW,DF",20-148,1.7,63,2,8,22,35,3,63,14,8,57.1,6,42.9,40,418,212,10,8,1,6,2,41,15,Matches
Esquerdinha,brBRA,"DF,FW",18-204,1.4,94,4,20,39,35,4,94,8,4,50.0,4,50.0,53,422,218,8,3,2,2,0,56,5,Matches
