Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
João Ricardo Riedi,brBRA,GK,36-013,26.0,770,661,770,0,0,0,770,0,0,,0,,358,2329,1632,0,0,0,1,0,215,0,Matches
Emanuel Brítez,arARG,DF,32-177,19.0,879,113,400,422,64,15,879,7,4,57.1,2,28.6,405,2071,1120,8,4,0,9,6,449,5,Matches
Guilherme Tinga,brBRA,DF,31-018,19.7,1241,100,400,611,247,23,1241,18,9,50.0,8,44.4,570,3024,1767,28,18,2,13,12,637,60,Matches
Breno,brBRA,FW,28-239,16.6,667,11,75,328,279,49,667,45,24,53.3,13,28.9,464,3647,1803,68,43,25,23,20,525,116,Matches
Hércules,brBRA,MF,23-335,15.5,674,26,109,423,152,18,674,36,24,66.7,10,27.8,403,2042,869,15,17,2,20,13,443,38,Matches
Tomas Pochettino,arARG,"MF,FW",28-231,14.9,702,17,78,326,309,25,702,39,18,46.2,19,48.7,381,2234,861,34,22,9,32,13,443,88,Matches
Felipe Jonatan,brBRA,DF,26-217,15.7,920,61,294,459,177,12,920,25,12,48.0,10,40.0,438,1721,966,13,11,1,6,9,499,45,Matches
Yago Pikachu,brBRA,"FW,MF",32-106,15.0,519,12,81,233,214,42,519,25,10,40.0,12,48.0,307,1520,785,19,17,9,19,18,354,87,Matches
Juan Martín Lucero,arARG,FW,32-294,15.0,340,15,34,163,145,50,338,4,2,50.0,2,50.0,170,692,296,7,7,4,25,12,218,53,Matches
Titi,brBRA,DF,36-191,14.4,681,76,362,310,14,8,681,2,1,50.0,0,0.0,371,1867,1013,3,3,0,11,5,405,0,Matches
Lucas Sasha,brBRA,MF,34-202,13.4,601,41,143,367,95,13,601,12,6,50.0,3,25.0,253,1044,364,7,5,0,15,4,287,24,Matches
Pedro Borges,brBRA,MF,27-200,12.5,640,61,196,384,63,3,640,8,3,37.5,2,25.0,278,1176,485,2,3,0,16,6,321,9,Matches
Tomás Cardona,arARG,DF,28-345,12.0,643,107,330,303,12,9,643,0,0,,0,,334,1655,949,8,1,0,6,0,385,0,Matches
Renato Kayser,brBRA,FW,28-215,10.6,339,15,38,170,134,37,338,22,10,45.5,11,50.0,170,805,360,18,8,6,30,11,215,37,Matches
Benjamín Kuscevic,clCHI,DF,28-140,10.6,538,106,296,231,15,10,538,2,0,0.0,1,50.0,248,1258,689,1,0,0,8,1,293,4,Matches
Bruno Pacheco,brBRA,DF,32-286,10.7,550,32,181,277,105,10,550,25,15,60.0,5,20.0,246,1407,789,17,15,4,9,13,305,13,Matches
Matheus Rossetto,brBRA,MF,28-108,7.5,546,14,97,409,45,0,546,12,7,58.3,3,25.0,324,1655,809,19,10,0,4,5,393,4,Matches
José Welison,brBRA,MF,29-192,6.7,334,25,88,217,30,2,334,2,0,0.0,2,100.0,152,583,241,4,1,0,11,9,174,6,Matches
Marinho,brBRA,FW,34-113,6.6,293,3,29,113,158,18,293,32,13,40.6,11,34.4,170,1288,684,24,19,10,28,11,201,44,Matches
Moises,brBRA,FW,28-017,6.6,278,8,35,116,136,44,278,54,27,50.0,24,44.4,164,1488,856,37,19,24,17,9,193,53,Matches
Imanol Machuca,arARG,"FW,MF",24-248,4.8,234,2,19,98,124,11,234,30,11,36.7,15,50.0,143,1453,595,25,16,6,13,15,164,34,Matches
Leandro Emmanuel Martínez,arARG,"MF,FW",30-107,4.0,248,6,40,136,79,7,248,9,5,55.6,4,44.4,154,769,356,6,11,0,6,6,167,18,Matches
Kervin Andrade,veVEN,MF,19-159,3.5,138,1,15,58,69,8,138,12,1,8.3,6,50.0,80,364,179,4,5,0,11,8,90,30,Matches
Eros Mancuso,arARG,DF,25-155,0.8,61,1,11,38,12,0,61,0,0,,0,,28,117,58,2,2,0,2,1,35,4,Matches
Kauan,brBRA,MF,19-156,0.6,46,1,11,27,8,0,46,1,0,0.0,1,100.0,27,111,48,2,1,0,2,2,35,1,Matches
Pedro Rocha Neves,brBRA,"FW,MF",29-355,0.5,39,0,4,13,22,3,39,6,2,33.3,3,50.0,30,158,84,2,2,1,3,3,27,5,Matches
Calebe,brBRA,"FW,MF",24-142,0.3,23,0,3,12,9,1,23,3,2,66.7,1,33.3,18,171,66,3,2,1,2,0,17,3,Matches
Luis Eduardo Marques dos Santos,brBRA,"FW,DF",27-112,0.2,12,1,4,3,5,0,12,0,0,,0,,8,33,17,0,1,0,1,0,8,1,Matches
Squad Total,,,30.5,26.0,12956,1516,4143,6247,2722,418,12953,431,206,47.8,168,39.0,6694,36682,18741,376,263,104,343,212,7498,782,
Opponent Total,,,27.8,26.0,16681,1430,4577,8297,3973,547,16678,491,236,48.1,208,42.4,9500,50144,26234,476,371,77,369,249,11274,1120,
